up6
Upload #6, 968 records
Reader: Noname  Site: AA
--------- upload 6 start ---------
E 2016-03-18 09:38:07.09 upload 5 complete
E 2016-03-18 09:41:16.11 parameter change: mux sequence '13'
D 2016-03-18 09:41:53.95 00:00:00.41 HR 0000_0000000181177678 A3    3   165
D 2016-03-18 09:41:55.76 00:00:00.41 HR 0000_0000000181177678 A3    3     6
D 2016-03-18 09:41:59.89 00:00:00.21 HR 0000_0000000181177678 A1    2  3988
D 2016-03-18 09:43:27.13 00:00:00.40 HR 0000_0000000181177678 A3    3   451
D 2016-03-18 09:43:31.04 00:00:00.21 HR 0000_0000000181177678 A1    2   451
D 2016-03-18 09:43:39.10 00:00:00.80 HR 0000_0000000181177678 A1    5    38
D 2016-03-18 09:43:42.33 00:00:00.00 HR 0000_0000000181177678 A1    1    11
D 2016-03-18 09:43:42.73 00:00:00.81 HR 0000_0000000181177678 A1    5     1
D 2016-03-18 09:48:31.19 00:00:00.20 HA      900_226000080333 A3    2  1508
D 2016-03-18 09:48:43.78 00:00:01.01 HA      900_226000080333 A1    6  1491
D 2016-03-18 09:48:44.19 00:00:00.20 HA      900_226000080333 A1    2     1
E 2016-03-18 09:49:08.74 parameter change: mux sequence '1'
D 2016-03-18 09:49:18.91 00:00:00.00 HA      900_226000080333 A1    1   216
D 2016-03-18 09:49:19.22 00:00:00.10 HA      900_226000080333 A1    2     2
D 2016-03-18 09:49:21.55 00:00:00.30 HA      900_226000080333 A1    4    21
D 2016-03-18 09:49:21.05 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 09:49:21.25 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 09:49:23.57 00:00:00.00 HA      900_226000080333 A1    1    12
D 2016-03-18 09:49:23.77 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 09:49:24.18 00:00:00.00 HA      900_226000080333 A1    1     3
D 2016-03-18 09:49:49.83 00:00:00.10 HR 0000_0000000180843403 A1    2   254
