up
Upload #52
Reader: Noname  Site: AA
--------- upload 52 start ---------
E 2016-04-20 09:15:07.55 upload 51 complete
E 2016-04-20 09:18:23.08 supply power ok 11.7V
E 2016-04-20 09:18:23.08 database file opened
E 2016-04-20 09:18:23.08 starting reader after power up
D 2016-04-20 09:18:38.81 00:00:01.01 HA      900_226000791719 A3    6    47
D 2016-04-20 09:19:04.39 00:00:00.20 HA      900_226000791719 A3    2   121
D 2016-04-20 09:19:05.00 00:00:01.80 HA      900_226000791719 A3    5     6
D 2016-04-20 09:19:23.20 00:00:00.81 HR 0000_0000000181177678 A1    5   268
D 2016-04-20 09:19:34.48 00:00:00.81 HA      900_226000080333 A1    5    51
D 2016-04-20 09:24:19.26 00:00:00.00 HR 0000_0000000180843440 A3    1  1551
D 2016-04-20 09:26:09.70 00:00:00.00 HR 0000_0000000180598569 A1    1  1958
D 2016-04-20 09:39:17.57 00:00:00.00 HR 0000_0000000180843440 A3    1  4461
D 2016-04-20 09:41:06.18 00:00:00.19 HR 0000_0000000180598569 A1    2  4452
D 2016-04-20 09:54:16.06 00:00:00.00 HR 0000_0000000180843440 A3    1  4462
D 2016-04-20 09:56:02.85 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-04-20 10:09:14.72 00:00:00.00 HR 0000_0000000180843440 A3    1  4463
D 2016-04-20 10:10:59.51 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2016-04-20 10:24:13.59 00:00:00.00 HR 0000_0000000180843440 A3    1  4464
D 2016-04-20 10:25:56.17 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2016-04-20 10:39:12.49 00:00:00.19 HR 0000_0000000180843440 A3    2  4464
D 2016-04-20 10:40:53.05 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2016-04-20 10:54:11.57 00:00:00.00 HR 0000_0000000180843440 A3    1  4464
D 2016-04-20 10:55:49.71 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2016-04-20 11:09:10.44 00:00:00.00 HR 0000_0000000180843440 A3    1  4464
