up
Upload #25
Reader: Noname  Site: AA
--------- upload 25 start ---------
E 2016-05-04 14:37:02.74 upload 24 complete
E 2016-05-04 14:38:17.89 supply power ok 11.8V
E 2016-05-04 14:38:17.89 database file opened
E 2016-05-04 14:38:17.89 starting reader after power up
D 2016-05-04 14:38:49.06 00:00:00.00 HR 0000_0000000180573731 A3    1   135
D 2016-05-04 14:39:04.26 00:00:00.40 HA      900_226000080333 A1    3   211
D 2016-05-04 14:39:04.48 00:00:00.00 HA      900_226000080333 A1    1     3
D 2016-05-04 14:39:06.49 00:00:00.00 HA      900_226000080333 A1    1     4
D 2016-05-04 14:39:10.72 00:00:00.20 HA      900_226000080333 A1    2    20
D 2016-05-04 14:39:11.73 00:00:00.20 HA      900_226000080333 A1    2     3
D 2016-05-04 14:40:39.89 00:00:00.62 HA      900_226000080333 A1    4   436
D 2016-05-04 14:40:41.71 00:00:00.20 HA      900_226000080333 A1    2     5
D 2016-05-04 14:41:08.60 00:00:00.40 HA      900_226000080322 A3    3   692
D 2016-05-04 14:41:14.25 00:00:00.61 HA      900_226000080322 A3    4    25
D 2016-05-04 14:41:15.26 00:00:00.60 HA      900_226000080322 A3    4     1
D 2016-05-04 14:41:20.31 00:00:00.60 HA      900_226000080322 A3    4    21
D 2016-05-04 14:41:22.53 00:00:00.40 HA      900_226000080322 A3    3     7
D 2016-05-04 14:41:24.14 00:00:01.02 HA      900_226000080322 A3    6     5
D 2016-05-04 14:42:36.33 00:00:00.00 HR 0000_0000000180843403 A1    1   567
D 2016-05-04 14:53:45.95 00:00:00.00 HR 0000_0000000180573731 A3    1  3678
D 2016-05-04 14:57:31.17 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 15:08:43.21 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-04 15:12:26.01 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-04 15:23:40.43 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-04 15:27:21.04 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 15:38:37.67 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-04 15:42:16.05 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-04 15:53:34.67 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-04 15:57:11.02 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-04 16:08:31.72 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-04 16:12:06.06 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-04 16:23:28.75 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-04 16:27:01.08 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-04 16:38:25.94 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-04 16:41:55.85 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 16:53:23.17 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-04 16:56:50.86 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-04 17:08:20.38 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-04 17:11:45.67 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
E 2016-05-04 17:14:00.01 11.8V 0.20A 0.88A 0.00A 0.81A 0.00A  1N  0N  3N  
D 2016-05-04 17:23:17.42 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-04 17:26:40.48 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-04 17:38:14.47 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-04 17:41:35.51 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 17:53:11.30 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-04 17:56:30.53 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-04 18:08:08.31 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-04 18:11:25.34 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 18:23:05.34 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-04 18:26:20.36 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-04 18:38:02.19 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-04 18:41:15.19 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-04 18:52:58.84 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-04 18:56:10.26 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 19:07:55.30 00:00:00.21 HR 0000_0000000180573731 A3    2  4451
D 2016-05-04 19:11:05.10 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 19:22:51.95 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
D 2016-05-04 19:26:00.13 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-04 19:37:48.45 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
D 2016-05-04 19:40:55.01 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
E 2016-05-04 19:51:00.01 11.7V 0.20A 0.87A 0.00A 0.81A 0.00A  0N  0N  0N  
D 2016-05-04 19:52:45.15 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-04 19:55:49.89 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-04 20:07:41.80 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
D 2016-05-04 20:10:44.96 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 20:22:38.52 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-04 20:25:39.85 00:00:00.21 HR 0000_0000000180843403 A1    2  4443
D 2016-05-04 20:37:35.27 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-04 20:40:35.00 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 20:52:31.97 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-04 20:55:29.87 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 21:07:28.47 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
D 2016-05-04 21:10:24.97 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-04 21:22:25.18 00:00:00.21 HR 0000_0000000180573731 A3    2  4452
D 2016-05-04 21:25:19.87 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 21:37:21.92 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
D 2016-05-04 21:40:14.80 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 21:52:18.65 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-04 21:55:09.72 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 22:07:15.18 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
D 2016-05-04 22:10:04.65 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-04 22:22:11.89 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-04 22:24:59.73 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
E 2016-05-04 22:28:00.01 11.7V 0.20A 0.84A 0.00A 0.80A 0.00A  0N  0N  0N  
D 2016-05-04 22:37:08.55 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-04 22:39:54.78 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-04 22:52:05.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-04 22:54:49.68 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-04 23:07:01.80 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-04 23:09:44.94 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-05-04 23:21:58.45 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-04 23:24:39.96 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-05-04 23:36:55.08 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-04 23:39:34.79 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-04 23:51:51.55 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-04 23:54:29.84 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-05-05 00:06:47.99 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-05 00:09:24.67 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
