
Type 'HE' for help

>up
Upload #46
Reader: Noname  Site: AA
--------- upload 46 start ---------
E 2016-06-24 10:59:47.57 upload 45 complete
E 2016-06-24 11:01:58.10 supply power ok 11.8V
E 2016-06-24 11:01:58.10 database file opened
E 2016-06-24 11:01:58.10 starting reader after power up
D 2016-06-24 11:02:33.76 00:00:01.63 HA      900_226000080322 A3    9   153
D 2016-06-24 11:02:35.99 00:00:00.80 HA      900_226000080322 A3    5     2
D 2016-06-24 11:02:41.83 00:00:00.41 HA      900_226000080322 A3    3    24
D 2016-06-24 11:02:42.64 00:00:00.80 HA      900_226000080322 A3    5     1
D 2016-06-24 11:02:43.26 00:00:01.20 HA      900_226000080322 A3    2     3
D 2016-06-24 11:02:46.67 00:00:00.41 HA      900_226000080322 A3    3    10
D 2016-06-24 11:02:47.48 00:00:00.20 HA      900_226000080322 A3    2     1
D 2016-06-24 11:03:06.21 00:00:07.47 HA      900_226000080322 A3   38    91
D 2016-06-24 11:04:02.80 00:00:00.00 HR 0000_0000000180573731 A3    1   243
D 2016-06-24 11:19:04.55 00:00:00.00 HR 0000_0000000180573731 A3    1  4479
D 2016-06-24 11:34:06.34 00:00:00.00 HR 0000_0000000180573731 A3    1  4479
D 2016-06-24 11:49:08.10 00:00:00.20 HR 0000_0000000180573731 A3    2  4479
D 2016-06-24 12:04:09.86 00:00:00.00 HR 0000_0000000180573731 A3    1  4478
D 2016-06-24 12:19:11.44 00:00:00.00 HR 0000_0000000180573731 A3    1  4478
D 2016-06-24 12:34:13.02 00:00:00.00 HR 0000_0000000180573731 A3    1  4478
D 2016-06-24 12:49:14.38 00:00:00.00 HR 0000_0000000180573731 A3    1  4477
D 2016-06-24 13:04:15.74 00:00:00.00 HR 0000_0000000180573731 A3    1  4477
D 2016-06-24 13:19:16.90 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-06-24 13:34:17.82 00:00:00.20 HR 0000_0000000180573731 A3    2  4475
E 2016-06-24 13:38:00.01 11.9V 0.20A 0.37A 0.00A 0.85A 0.00A  0N  0N  1N  
D 2016-06-24 13:49:19.12 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-06-24 14:04:19.42 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2016-06-24 14:19:19.71 00:00:00.20 HR 0000_0000000180573731 A3    2  4472
D 2016-06-24 14:34:20.22 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2016-06-24 14:49:20.53 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2016-06-24 15:04:21.05 00:00:00.00 HR 0000_0000000180573731 A3    1  4473
D 2016-06-24 15:19:21.76 00:00:00.00 HR 0000_0000000180573731 A3    1  4474
D 2016-06-24 15:34:22.65 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-06-24 15:49:22.94 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2016-06-24 16:04:23.02 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
E 2016-06-24 16:15:00.01 11.9V 0.20A 0.37A 0.00A 0.85A 0.00A  0N  0N  1N  
D 2016-06-24 16:19:22.73 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-06-24 16:34:22.25 00:00:00.20 HR 0000_0000000180573731 A3    2  4468
D 2016-06-24 16:49:21.75 00:00:00.00 HR 0000_0000000180573731 A3    1  4467
D 2016-06-24 17:04:21.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-06-24 17:19:20.70 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-06-24 17:34:20.41 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-06-24 17:49:19.73 00:00:00.00 HR 0000_0000000180573731 A3    1  4467
D 2016-06-24 18:04:18.83 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2016-06-24 18:19:17.95 00:00:00.21 HR 0000_0000000180573731 A3    2  4466
D 2016-06-24 18:34:16.84 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
