up
Upload #24
Reader: Noname  Site: AA
--------- upload 24 start ---------
E 2016-05-02 14:29:39.52 upload 23 complete
E 2016-05-02 14:30:37.77 parameter change: mux sequence '13'
D 2016-05-02 14:30:50.94 00:00:00.00 HA      900_226000080333 A1    1  1138
D 2016-05-02 14:30:53.97 00:00:00.41 HA      900_226000080333 A1    3    14
D 2016-05-02 14:30:54.78 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-05-02 14:30:54.19 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-05-02 14:30:55.99 00:00:00.00 HA      900_226000080333 A1    1     3
D 2016-05-02 14:31:01.44 00:00:00.61 HA      900_226000080333 A1    4    26
D 2016-05-02 14:31:02.45 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-05-02 14:31:02.25 00:00:00.21 HA      900_226000080333 A1    2     3
D 2016-05-02 14:31:04.86 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-05-02 14:31:04.47 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-05-02 14:31:04.87 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-05-02 14:31:06.68 00:00:00.00 HA      900_226000080333 A1    1     3
D 2016-05-02 14:31:06.28 00:00:00.40 HA      900_226000080333 A1    3     2
D 2016-05-02 14:31:10.52 00:00:00.00 HA      900_226000080333 A1    1    18
E 2016-05-02 14:34:21.41 supply power ok 12.0V
E 2016-05-02 14:34:21.41 database file opened
E 2016-05-02 14:34:21.41 starting reader after power up
D 2016-05-02 14:34:41.22 00:00:00.00 HA      900_226000080333 A1    1    79
D 2016-05-02 14:34:41.83 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-05-02 14:34:44.45 00:00:01.22 HA      900_226000080333 A1    7    12
D 2016-05-02 14:34:45.48 00:00:01.80 HA      900_226000080333 A1    5     3
D 2016-05-02 14:34:48.49 00:00:00.00 HA      900_226000080333 A1    1     5
D 2016-05-02 14:34:48.90 00:00:01.01 HA      900_226000080333 A1    6     1
D 2016-05-02 14:34:54.74 00:00:00.61 HR 0000_0000000181177678 A1    4    23
D 2016-05-02 14:34:56.36 00:00:00.00 HR 0000_0000000181177678 A1    1     4
D 2016-05-02 14:43:44.48 00:00:00.00 HR 0000_0000000180843403 A1    1  2623
D 2016-05-02 14:48:38.42 00:00:00.20 HR 0000_0000000180573731 A3    2  4238
D 2016-05-02 14:56:32.36 00:00:02.63 HA      900_226000080322 A3   14  2353
D 2016-05-02 14:56:50.10 00:00:00.40 HA      900_226000080322 A3    3    74
D 2016-05-02 14:56:53.93 00:00:00.00 HA      900_226000080322 A3    1    16
D 2016-05-02 14:56:54.33 00:00:00.60 HA      900_226000080322 A3    4     1
D 2016-05-02 14:56:55.74 00:00:00.61 HA      900_226000080322 A3    4     3
D 2016-05-02 14:57:02.19 00:00:00.61 HA      900_226000080322 A3    4    28
D 2016-05-02 14:57:06.23 00:00:00.60 HA      900_226000080322 A3    4    16
D 2016-05-02 14:57:10.26 00:00:02.43 HA      900_226000080322 A3   13    16
D 2016-05-02 14:57:12.09 00:00:00.00 HA      900_226000080322 A3    1     1
D 2016-05-02 14:57:14.10 00:00:00.40 HA      900_226000080322 A3    3     4
D 2016-05-02 14:57:15.72 00:00:00.40 HA      900_226000080322 A3    3     5
D 2016-05-02 14:57:38.16 00:00:00.40 HA      900_226000080322 A1    3  4141
D 2016-05-02 14:57:38.38 00:00:01.60 HA      900_226000080322 A1    4     3
D 2016-05-02 14:58:29.71 00:00:00.61 HA      900_226000080322 A1    4   246
D 2016-05-02 14:58:30.12 00:00:01.20 HA      900_226000080322 A1    2     3
D 2016-05-02 14:58:39.19 00:00:00.00 HR 0000_0000000180843403 A1    1    38
D 2016-05-02 15:03:36.44 00:00:00.00 HR 0000_0000000180573731 A3    1  1888
D 2016-05-02 15:13:34.07 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 15:18:34.13 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2016-05-02 15:28:28.76 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-02 15:33:31.85 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2016-05-02 15:43:23.48 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-02 15:48:29.39 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-05-02 15:58:18.17 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-02 16:03:27.13 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2016-05-02 16:13:12.90 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-02 16:18:24.66 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-05-02 16:28:07.62 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-02 16:33:22.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-05-02 16:43:02.37 00:00:00.20 HR 0000_0000000180843403 A1    2  4442
D 2016-05-02 16:48:20.15 00:00:00.20 HR 0000_0000000180573731 A3    2  4459
D 2016-05-02 16:57:57.07 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-02 17:03:18.13 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
E 2016-05-02 17:10:00.01 11.9V 0.20A 0.90A 0.00A 0.83A 0.00A  1N  0N  1N  
D 2016-05-02 17:12:51.84 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-02 17:18:15.87 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2016-05-02 17:27:46.77 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 17:33:13.44 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-05-02 17:42:41.52 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-02 17:48:10.82 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-02 17:57:36.29 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-02 18:03:08.20 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-02 18:12:31.01 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-02 18:18:05.53 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-02 18:27:25.77 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-02 18:33:02.71 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-02 18:42:20.73 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-02 18:48:00.11 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
