up
Upload #38
Reader: Noname  Site: AA
--------- upload 38 start ---------
E 2016-06-06 09:36:16.02 upload 37 complete
E 2016-06-06 09:38:31.81 supply power ok 11.4V
E 2016-06-06 09:38:31.81 database file opened
E 2016-06-06 09:38:31.81 starting reader after power up
D 2016-06-06 09:39:23.32 00:00:00.60 HA      900_226000080322 A3    4   236
D 2016-06-06 09:39:42.05 00:00:00.60 HA      900_226000080322 A3    4    89
D 2016-06-06 09:39:45.48 00:00:01.00 HA      900_226000080322 A3    6    13
D 2016-06-06 09:39:46.09 00:00:01.41 HA      900_226000080322 A3    3     2
D 2016-06-06 09:39:47.31 00:00:01.40 HA      900_226000080322 A3    3     3
D 2016-06-06 09:39:48.11 00:00:00.20 HA      900_226000080322 A3    2     1
D 2016-06-06 09:39:54.35 00:00:00.00 HA      900_226000080322 A3    1    24
D 2016-06-06 09:41:02.29 00:00:00.40 HA      900_226000080333 A1    3   728
D 2016-06-06 09:41:04.71 23:59:59.40 HA      900_226000080333 A1    3     4
D 2016-06-06 09:41:12.77 00:00:01.20 HR 0000_0000000181177678 A1    7    42
D 2016-06-06 09:41:14.38 00:00:00.00 HR 0000_0000000181177678 A1    1     1
D 2016-06-06 09:48:48.87 00:00:00.20 HR 0000_0000000180843403 A1    2  2257
D 2016-06-06 09:50:39.58 00:00:00.20 HA      900_226000080333 A1    2   548
D 2016-06-06 09:50:41.00 00:00:00.00 HA      900_226000080333 A1    1     5
D 2016-06-06 09:50:41.40 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-06-06 09:51:39.08 00:00:00.00 HR 0000_0000000180573731 A3    1  3500
D 2016-06-06 10:03:16.35 00:00:03.84 HR 0000_0000000181177678 A1   20  3749
D 2016-06-06 10:03:20.79 00:00:00.40 HR 0000_0000000181177678 A1    3     2
D 2016-06-06 10:03:48.78 00:00:00.20 HA      900_226000080333 A1    2   136
D 2016-06-06 10:03:50.19 00:00:01.61 HA      900_226000080333 A1    9     5
D 2016-06-06 10:03:52.61 00:00:01.42 HA      900_226000080333 A1    8     3
D 2016-06-06 10:03:55.23 00:00:01.02 HA      900_226000080333 A1    6     5
D 2016-06-06 10:03:59.27 00:00:00.00 HA      900_226000080333 A1    1    14
D 2016-06-06 10:03:59.88 00:00:00.81 HA      900_226000080333 A1    5     2
D 2016-06-06 10:04:02.10 00:00:00.60 HA      900_226000080333 A1    4     6
D 2016-06-06 10:04:04.92 23:59:59.20 HA      900_226000080333 A1    2     5
D 2016-06-06 10:04:11.97 00:00:02.22 HR 0000_0000000181177678 A1   12    38
D 2016-06-06 10:04:14.00 00:00:02.62 HR 0000_0000000181177678 A1    9     3
D 2016-06-06 10:06:39.86 00:00:00.00 HR 0000_0000000180573731 A3    1  4473
D 2016-06-06 10:18:37.27 00:00:00.20 HR 0000_0000000180843403 A1    2  4274
D 2016-06-06 10:21:40.96 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-06-06 10:33:31.35 00:00:00.20 HR 0000_0000000180843403 A1    2  4439
D 2016-06-06 10:36:42.10 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-06-06 10:48:25.58 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 10:51:43.38 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-06-06 11:03:19.82 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 11:06:44.85 00:00:00.00 HR 0000_0000000180573731 A3    1  4477
D 2016-06-06 11:18:14.05 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 11:21:46.53 00:00:00.00 HR 0000_0000000180573731 A3    1  4478
D 2016-06-06 11:33:08.26 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 11:36:48.20 00:00:00.00 HR 0000_0000000180573731 A3    1  4478
D 2016-06-06 11:48:02.53 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 11:51:49.72 00:00:00.00 HR 0000_0000000180573731 A3    1  4477
D 2016-06-06 12:02:56.79 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 12:06:51.42 00:00:00.00 HR 0000_0000000180573731 A3    1  4478
E 2016-06-06 12:14:00.01 11.4V 0.19A 0.69A 0.00A 0.82A 0.00A  0N  0N  0N  
D 2016-06-06 12:17:50.86 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 12:21:52.98 00:00:00.00 HR 0000_0000000180573731 A3    1  4477
D 2016-06-06 12:32:45.03 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 12:36:54.40 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-06-06 12:47:39.02 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2016-06-06 12:51:56.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4478
D 2016-06-06 13:02:33.20 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 13:06:57.67 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-06-06 13:17:27.41 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 13:21:59.13 00:00:00.20 HR 0000_0000000180573731 A3    2  4476
D 2016-06-06 13:32:21.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 13:37:00.58 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-06-06 13:47:15.59 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2016-06-06 13:52:02.02 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-06-06 14:02:09.80 00:00:00.21 HR 0000_0000000180843403 A1    2  4440
D 2016-06-06 14:07:03.27 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-06-06 14:17:04.20 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 14:22:04.09 00:00:00.00 HR 0000_0000000180573731 A3    1  4473
D 2016-06-06 14:31:58.78 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-06-06 14:37:04.74 00:00:00.20 HR 0000_0000000180573731 A3    2  4472
D 2016-06-06 14:46:53.18 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
E 2016-06-06 14:51:00.01 11.3V 0.19A 0.69A 0.00A 0.81A 0.00A  1N  0N  2N  
D 2016-06-06 14:52:05.36 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
D 2016-06-06 15:01:47.56 00:00:00.20 HR 0000_0000000180843403 A1    2  4441
D 2016-06-06 15:07:05.81 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
D 2016-06-06 15:16:41.96 00:00:00.21 HR 0000_0000000180843403 A1    2  4440
D 2016-06-06 15:22:06.25 00:00:00.21 HR 0000_0000000180573731 A3    2  4471
D 2016-06-06 15:31:36.40 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 15:37:06.31 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-06-06 15:46:30.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 15:52:06.13 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-06-06 16:01:24.78 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 16:07:06.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-06-06 16:16:18.96 00:00:00.21 HR 0000_0000000180843403 A1    2  4440
D 2016-06-06 16:22:06.20 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-06-06 16:31:13.40 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 16:37:06.10 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-06-06 16:46:07.45 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2016-06-06 16:52:05.75 00:00:00.00 HR 0000_0000000180573731 A3    1  4467
D 2016-06-06 17:01:01.64 00:00:00.20 HR 0000_0000000180843403 A1    2  4440
D 2016-06-06 17:07:05.60 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-06-06 17:15:56.11 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 17:22:05.07 00:00:00.20 HR 0000_0000000180573731 A3    2  4466
E 2016-06-06 17:28:00.01 11.4V 0.19A 0.71A 0.00A 0.82A 0.00A  0N  0N  0N  
D 2016-06-06 17:30:50.53 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 17:37:04.58 00:00:00.00 HR 0000_0000000180573731 A3    1  4465
D 2016-06-06 17:45:44.96 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 17:52:03.82 00:00:00.00 HR 0000_0000000180573731 A3    1  4465
D 2016-06-06 18:00:39.37 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 18:07:03.25 00:00:00.20 HR 0000_0000000180573731 A3    2  4466
D 2016-06-06 18:15:33.78 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 18:22:02.68 00:00:00.00 HR 0000_0000000180573731 A3    1  4465
D 2016-06-06 18:30:28.17 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 18:37:01.71 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2016-06-06 18:45:22.57 00:00:00.20 HR 0000_0000000180843403 A1    2  4441
D 2016-06-06 18:52:00.55 00:00:00.00 HR 0000_0000000180573731 A3    1  4463
D 2016-06-06 19:00:16.99 00:00:00.20 HR 0000_0000000180843403 A1    2  4440
D 2016-06-06 19:06:59.39 00:00:00.00 HR 0000_0000000180573731 A3    1  4463
D 2016-06-06 19:15:11.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 19:21:58.06 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2016-06-06 19:30:05.85 00:00:00.21 HR 0000_0000000180843403 A1    2  4440
D 2016-06-06 19:36:56.76 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2016-06-06 19:45:00.29 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 19:51:55.19 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2016-06-06 19:59:54.70 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
E 2016-06-06 20:05:00.01 11.3V 0.19A 0.69A 0.00A 0.80A 0.00A  0N  0N  1N  
D 2016-06-06 20:06:53.60 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2016-06-06 20:14:49.10 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 20:21:51.85 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2016-06-06 20:29:43.51 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 20:36:50.08 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2016-06-06 20:44:37.72 00:00:00.20 HR 0000_0000000180843403 A1    2  4439
D 2016-06-06 20:51:48.34 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2016-06-06 20:59:32.16 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 21:06:46.39 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2016-06-06 21:14:26.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 21:21:44.47 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2016-06-06 21:29:20.86 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-06 21:36:42.56 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2016-06-06 21:44:15.28 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 21:51:40.75 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2016-06-06 21:59:09.87 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-06-06 22:06:38.59 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2016-06-06 22:14:04.29 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-06 22:21:36.44 00:00:00.20 HR 0000_0000000180573731 A3    2  4458
D 2016-06-06 22:28:58.91 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-06-06 22:36:34.48 00:00:00.20 HR 0000_0000000180573731 A3    2  4458
E 2016-06-06 22:42:00.01 11.3V 0.19A 0.68A 0.00A 0.80A 0.00A  0N  0N  1N  
D 2016-06-06 22:43:53.32 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
