up
Upload #17
Reader: Noname  Site: AA
--------- upload 17 start ---------
E 2016-04-15 14:45:11.70 upload 16 complete
E 2016-04-15 14:46:46.68 supply power ok 11.6V
E 2016-04-15 14:46:46.68 database file opened
E 2016-04-15 14:46:46.68 starting reader after power up
D 2016-04-15 14:47:40.12 00:00:01.22 HA      900_226000080333 A1    7   246
D 2016-04-15 14:47:50.40 00:00:00.00 HR 0000_0000000181177678 A1    1    44
D 2016-04-15 14:47:50.80 23:59:59.41 HR 0000_0000000181177678 A1    3     1
D 2016-04-15 14:47:51.61 00:00:01.62 HR 0000_0000000181177678 A1    9     1
D 2016-04-15 14:48:03.39 00:00:00.60 HA      900_226000791719 A3    4   361
D 2016-04-15 14:48:11.44 00:00:00.00 HA      900_226000791719 A3    1    36
D 2016-04-15 14:48:17.69 00:00:00.00 HA      900_226000791719 A3    1    30
D 2016-04-15 14:48:19.70 00:00:00.20 HA      900_226000791719 A3    2     4
D 2016-04-15 14:51:27.92 00:00:00.00 HR 0000_0000000180573731 A3    1   938
D 2016-04-15 14:53:55.21 00:00:00.00 HR 0000_0000000180843403 A1    1  1797
D 2016-04-15 15:06:26.74 00:00:00.00 HR 0000_0000000180573731 A3    1  4463
D 2016-04-15 15:08:50.00 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-04-15 15:21:25.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4463
D 2016-04-15 15:23:45.02 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-04-15 15:36:24.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4463
D 2016-04-15 15:38:39.83 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-04-15 15:51:23.25 00:00:00.20 HR 0000_0000000180573731 A3    2  4462
D 2016-04-15 15:53:34.62 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-04-15 16:06:21.87 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2016-04-15 16:08:29.44 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-04-15 16:21:20.32 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2016-04-15 16:23:24.26 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-04-15 16:36:18.56 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2016-04-15 16:38:19.28 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-04-15 16:51:16.98 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2016-04-15 16:53:14.27 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-04-15 17:06:15.22 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2016-04-15 17:08:09.50 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-15 17:21:13.49 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
E 2016-04-15 17:22:00.01 11.8V 0.20A 0.91A 0.00A 0.84A 0.00A  0N  0N  1N  
D 2016-04-15 17:23:04.56 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-04-15 17:36:11.59 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
