up
Upload #23
Reader: Noname  Site: AA
--------- upload 23 start ---------
E 2016-04-29 16:03:32.05 upload 22 complete
E 2016-04-29 16:04:53.08 supply power ok 11.8V
E 2016-04-29 16:04:53.08 database file opened
E 2016-04-29 16:04:53.08 starting reader after power up
D 2016-04-29 16:05:07.85 00:00:00.61 HR 0000_0000000181177678 A1    4    49
D 2016-04-29 16:05:31.20 00:00:00.82 HA      900_226000080333 A1    5   112
D 2016-04-29 16:06:00.79 00:00:00.41 HA      900_226000080333 A1    3   142
D 2016-04-29 16:06:07.65 00:00:00.00 HA      900_226000080333 A1    1    31
D 2016-04-29 16:06:08.65 00:00:00.21 HA      900_226000080333 A1    2     4
D 2016-04-29 16:06:09.27 00:00:01.21 HA      900_226000080333 A1    7     1
D 2016-04-29 16:06:53.35 00:00:00.40 HA      900_226000080333 A1    3   212
D 2016-04-29 16:06:55.56 00:00:00.62 HA      900_226000080333 A1    4     8
D 2016-04-29 16:06:57.39 00:00:00.00 HA      900_226000080333 A1    1     5
D 2016-04-29 16:06:59.20 00:00:00.40 HA      900_226000080333 A1    3     8
D 2016-04-29 16:07:12.49 00:00:00.20 HR 0000_0000000180843403 A1    2    63
E 2016-04-29 16:15:52.76 supply power ok 12.0V
E 2016-04-29 16:15:52.77 database file opened
E 2016-04-29 16:15:52.77 starting reader after power up
E 2016-04-29 16:16:47.66 parameter change: mux sequence '1'
D 2016-04-29 16:20:34.12 00:00:00.21 HA      900_226000080333 A1    3  2504
D 2016-04-29 16:20:34.73 00:00:00.10 HA      900_226000080333 A1    2     3
D 2016-04-29 16:20:35.84 00:00:00.20 HA      900_226000080333 A1    3     9
D 2016-04-29 16:20:36.44 00:00:00.10 HA      900_226000080333 A1    2     3
D 2016-04-29 16:20:45.02 00:00:00.50 HA      900_226000080333 A1    6    83
D 2016-04-29 16:20:46.53 00:00:00.20 HA      900_226000080333 A1    3     9
D 2016-04-29 16:20:46.93 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-04-29 16:20:48.96 00:00:00.00 HA      900_226000080333 A1    1    19
D 2016-04-29 16:20:49.16 00:00:00.20 HA      900_226000080333 A1    3     1
D 2016-04-29 16:20:49.56 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-04-29 16:20:53.21 00:00:00.40 HA      900_226000080333 A1    5    35
