up
Upload #68
Reader: Noname  Site: AA
--------- upload 68 start ---------
E 2016-05-30 09:10:39.29 upload 67 complete
E 2016-05-30 09:14:54.43 supply power ok 10.2V
E 2016-05-30 09:14:54.44 database file opened
E 2016-05-30 09:14:54.44 starting reader after power up
E 2016-05-30 09:17:18.64 supply power ok 11.6V
E 2016-05-30 09:17:18.64 database file opened
E 2016-05-30 09:17:18.64 starting reader after power up
D 2016-05-30 09:18:26.61 00:00:04.83 HR 0000_0000000181177678 A1   25   306
D 2016-05-30 09:18:31.84 23:59:59.21 HR 0000_0000000181177678 A1    2     1
D 2016-05-30 09:18:40.29 00:00:01.41 HA      900_226000080333 A1    8    40
D 2016-05-30 09:18:41.11 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-05-30 09:19:10.39 00:00:00.80 HA      900_226000080322 A3    5   524
D 2016-05-30 09:20:46.10 00:00:00.00 HR 0000_0000000180598569 A1    1   615
D 2016-05-30 09:28:51.60 00:00:00.00 HR 0000_0000000180843440 A3    1  2882
D 2016-05-30 09:35:43.01 00:00:00.20 HR 0000_0000000180598569 A1    2  4454
D 2016-05-30 09:43:49.70 00:00:00.20 HR 0000_0000000180843440 A3    2  4460
D 2016-05-30 09:50:40.10 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2016-05-30 09:58:48.59 00:00:00.00 HR 0000_0000000180843440 A3    1  4463
D 2016-05-30 10:05:37.19 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2016-05-30 10:13:47.31 00:00:00.00 HR 0000_0000000180843440 A3    1  4463
D 2016-05-30 10:20:34.30 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2016-05-30 10:28:46.01 00:00:00.20 HR 0000_0000000180843440 A3    2  4463
D 2016-05-30 10:35:31.18 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2016-05-30 10:43:45.90 00:00:00.00 HR 0000_0000000180843440 A3    1  4468
D 2016-05-30 10:50:28.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4456
D 2016-05-30 10:58:46.38 00:00:00.00 HR 0000_0000000180843440 A3    1  4472
D 2016-05-30 11:05:25.48 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2016-05-30 11:13:45.24 00:00:00.00 HR 0000_0000000180843440 A3    1  4464
D 2016-05-30 11:20:22.70 00:00:00.00 HR 0000_0000000180598569 A1    1  4456
D 2016-05-30 11:28:43.66 00:00:00.00 HR 0000_0000000180843440 A3    1  4462
D 2016-05-30 11:35:19.74 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2016-05-30 11:43:42.73 00:00:00.20 HR 0000_0000000180843440 A3    2  4465
D 2016-05-30 11:50:17.01 00:00:00.00 HR 0000_0000000180598569 A1    1  4456
D 2016-05-30 11:58:41.00 00:00:00.20 HR 0000_0000000180843440 A3    2  4460
D 2016-05-30 12:05:14.27 00:00:00.00 HR 0000_0000000180598569 A1    1  4456
D 2016-05-30 12:13:39.22 00:00:00.00 HR 0000_0000000180843440 A3    1  4460
D 2016-05-30 12:20:11.47 00:00:00.00 HR 0000_0000000180598569 A1    1  4456
D 2016-05-30 12:28:37.45 00:00:00.19 HR 0000_0000000180843440 A3    2  4461
D 2016-05-30 12:35:08.89 00:00:00.00 HR 0000_0000000180598569 A1    1  4457
D 2016-05-30 12:43:36.11 00:00:00.00 HR 0000_0000000180843440 A3    1  4462
D 2016-05-30 12:50:06.16 00:00:00.20 HR 0000_0000000180598569 A1    2  4456
D 2016-05-30 12:58:33.97 00:00:00.00 HR 0000_0000000180843440 A3    1  4459
D 2016-05-30 13:05:03.62 00:00:00.00 HR 0000_0000000180598569 A1    1  4456
D 2016-05-30 13:13:32.02 00:00:00.00 HR 0000_0000000180843440 A3    1  4460
D 2016-05-30 13:20:01.09 00:00:00.00 HR 0000_0000000180598569 A1    1  4457
D 2016-05-30 13:28:30.51 00:00:00.00 HR 0000_0000000180843440 A3    1  4462
D 2016-05-30 13:34:58.72 00:00:00.00 HR 0000_0000000180598569 A1    1  4458
D 2016-05-30 13:43:28.37 00:00:00.00 HR 0000_0000000180843440 A3    1  4459
D 2016-05-30 13:49:56.21 00:00:00.00 HR 0000_0000000180598569 A1    1  4457
D 2016-05-30 13:52:00.23 00:00:00.20 HR 0000_0000000181177665 A1    2   615
D 2016-05-30 13:52:02.84 00:00:00.61 HR 0000_0000000181177665 A1    4    11
D 2016-05-30 13:58:26.25 00:00:00.00 HR 0000_0000000180843440 A3    1  4459
D 2016-05-30 14:04:53.68 00:00:00.00 HR 0000_0000000180598569 A1    1  3825
D 2016-05-30 14:13:24.12 00:00:00.00 HR 0000_0000000180843440 A3    1  4459
D 2016-05-30 14:19:51.13 00:00:00.00 HR 0000_0000000180598569 A1    1  4457
D 2016-05-30 14:28:21.96 00:00:00.00 HR 0000_0000000180843440 A3    1  4459
D 2016-05-30 14:34:48.36 00:00:00.00 HR 0000_0000000180598569 A1    1  4456
D 2016-05-30 14:43:19.38 00:00:00.00 HR 0000_0000000180843440 A3    1  4457
D 2016-05-30 14:49:45.81 00:00:00.00 HR 0000_0000000180598569 A1    1  4457
D 2016-05-30 14:58:16.63 00:00:00.00 HR 0000_0000000180843440 A3    1  4456
