up
Upload #36
Reader: Noname  Site: AA
--------- upload 36 start ---------
E 2016-06-01 10:19:40.46 upload 35 complete
E 2016-06-01 10:22:08.73 supply power ok 11.6V
E 2016-06-01 10:22:08.73 database file opened
E 2016-06-01 10:22:08.73 starting reader after power up
D 2016-06-01 10:22:29.45 00:00:00.40 HA      900_226000080322 A3    3    83
D 2016-06-01 10:22:30.85 00:00:00.00 HA      900_226000080322 A3    1     4
D 2016-06-01 10:22:32.08 00:00:00.60 HA      900_226000080322 A3    4     5
D 2016-06-01 10:23:57.93 00:00:00.00 HA      900_226000080333 A1    1   523
D 2016-06-01 10:25:00.59 00:00:00.80 HA      900_226000080333 A1    5   310
D 2016-06-01 10:25:17.92 00:00:01.61 HR 0000_0000000181177678 A1    9    81
D 2016-06-01 10:25:23.97 00:00:00.41 HR 0000_0000000181177678 A1    3    21
D 2016-06-01 10:25:39.50 00:00:00.61 HA      900_226000080333 A1    4    74
E 2016-06-01 10:33:06.28 supply power ok 11.7V
E 2016-06-01 10:33:06.28 database file opened
E 2016-06-01 10:33:06.28 starting reader after power up
E 2016-06-01 10:35:16.41 supply power ok 11.7V
E 2016-06-01 10:35:16.42 database file opened
E 2016-06-01 10:35:16.42 starting reader after power up
D 2016-06-01 10:36:17.67 00:00:00.40 HA      900_226000080333 A1    3   285
D 2016-06-01 10:48:29.91 00:00:00.00 HR 0000_0000000180843403 A1    1  3634
D 2016-06-01 10:48:42.89 00:00:00.21 HR 0000_0000000180573731 A3    2  3986
D 2016-06-01 11:03:24.20 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-01 11:03:44.84 00:00:00.00 HR 0000_0000000180573731 A3    1  4478
D 2016-06-01 11:18:18.30 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-01 11:18:46.78 00:00:00.00 HR 0000_0000000180573731 A3    1  4479
D 2016-06-01 11:33:12.63 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-01 11:33:48.57 00:00:00.20 HR 0000_0000000180573731 A3    2  4478
D 2016-06-01 11:48:06.98 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-01 11:48:50.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4479
D 2016-06-01 12:03:01.10 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-01 12:03:52.54 00:00:00.00 HR 0000_0000000180573731 A3    1  4478
D 2016-06-01 12:17:55.43 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-01 12:18:54.34 00:00:00.00 HR 0000_0000000180573731 A3    1  4478
D 2016-06-01 12:32:49.71 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-01 12:33:55.87 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-06-01 12:47:43.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2016-06-01 12:48:57.41 00:00:00.20 HR 0000_0000000180573731 A3    2  4476
D 2016-06-01 13:02:37.69 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2016-06-01 13:03:59.34 00:00:00.20 HR 0000_0000000180573731 A3    2  4477
E 2016-06-01 13:11:00.01 11.8V 0.20A 0.80A 0.00A 0.84A 0.00A  0N  0N  0N  
D 2016-06-01 13:17:31.75 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2016-06-01 13:19:00.66 00:00:00.20 HR 0000_0000000180573731 A3    2  4474
D 2016-06-01 13:32:25.81 00:00:00.21 HR 0000_0000000180843403 A1    2  4439
D 2016-06-01 13:34:02.37 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-06-01 13:47:20.27 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-01 13:49:03.46 00:00:00.00 HR 0000_0000000180573731 A3    1  4474
D 2016-06-01 14:04:04.75 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-06-01 14:17:08.95 00:00:00.00 HR 0000_0000000180843403 A1    1  8882
D 2016-06-01 14:19:06.05 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-06-01 14:32:03.36 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-01 14:34:07.29 00:00:00.20 HR 0000_0000000180573731 A3    2  4475
D 2016-06-01 14:46:57.80 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-01 14:49:08.40 00:00:00.20 HR 0000_0000000180573731 A3    2  4473
D 2016-06-01 15:01:52.27 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-01 15:04:09.29 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2016-06-01 15:16:46.90 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-06-01 15:19:10.18 00:00:00.00 HR 0000_0000000180573731 A3    1  4473
D 2016-06-01 15:31:41.37 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-01 15:34:10.88 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2016-06-01 15:46:35.80 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
E 2016-06-01 15:48:00.01 11.7V 0.20A 0.75A 0.00A 0.84A 0.00A  0N  0N  0N  
D 2016-06-01 15:49:11.36 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
D 2016-06-01 16:01:30.28 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-01 16:04:11.68 00:00:00.00 HR 0000_0000000180573731 A3    1  4470
D 2016-06-01 16:16:24.69 00:00:00.20 HR 0000_0000000180843403 A1    2  4441
D 2016-06-01 16:19:11.71 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-06-01 16:31:19.15 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-06-01 16:34:11.81 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-06-01 16:49:11.74 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-06-01 17:01:08.27 00:00:00.00 HR 0000_0000000180843403 A1    1  8884
D 2016-06-01 17:04:11.61 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-06-01 17:16:02.74 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-01 17:19:11.53 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
