up
Type 'HE' for help

>up
Upload #50
Reader: Noname  Site: AA
--------- upload 50 start ---------
E 2016-06-27 16:23:35.80 upload 49 complete
E 2016-06-27 16:24:05.87 supply power ok 12.2V
E 2016-06-27 16:24:05.87 database file opened
E 2016-06-27 16:24:05.87 starting reader after power up
D 2016-06-27 16:24:57.18 00:00:00.00 HA      900_226000080322 A3    1   235
D 2016-06-27 16:24:58.58 00:00:00.00 HA      900_226000080322 A3    1     6
D 2016-06-27 16:24:58.98 23:59:59.22 HA      900_226000080322 A3    2     1
D 2016-06-27 16:25:01.61 00:00:00.00 HA      900_226000080322 A3    1    11
D 2016-06-27 16:25:11.28 00:00:00.81 HA      900_226000080322 A3    5    47
D 2016-06-27 16:25:17.72 00:00:00.41 HA      900_226000080322 A3    3    27
D 2016-06-27 16:25:25.78 00:00:01.62 HA      900_226000080322 A3    9    37
D 2016-06-27 16:25:29.61 00:00:00.20 HA      900_226000080322 A3    2    10
D 2016-06-27 16:25:31.03 00:00:00.00 HA      900_226000080322 A3    1     5
D 2016-06-27 16:25:33.85 00:00:00.00 HA      900_226000080322 A3    1    13
D 2016-06-27 16:25:42.31 00:00:00.00 HA      900_226000080322 A3    1    41
D 2016-06-27 16:25:43.32 00:00:00.00 HA      900_226000080322 A3    1     4
D 2016-06-27 16:25:43.72 00:00:00.20 HA      900_226000080322 A3    2     1
D 2016-06-27 16:25:44.72 00:00:00.61 HA      900_226000080322 A3    4     3
D 2016-06-27 16:25:49.76 00:00:00.00 HA      900_226000080322 A3    1    21
D 2016-06-27 16:25:51.17 00:00:00.00 HA      900_226000080322 A3    1     6
D 2016-06-27 16:25:53.59 00:00:00.40 HA      900_226000080322 A3    3    11
D 2016-06-27 16:25:56.81 00:00:00.40 HA      900_226000080322 A3    3    13
D 2016-06-27 16:25:58.63 00:00:00.20 HA      900_226000080322 A3    2     6
D 2016-06-27 16:26:00.04 00:00:00.40 HA      900_226000080322 A3    3     5
D 2016-06-27 16:26:05.28 00:00:00.60 HA      900_226000080322 A3    4    23
D 2016-06-27 16:26:29.33 00:00:00.20 HA      900_226000080322 A1    2   693
D 2016-06-27 16:26:30.74 00:00:00.00 HA      900_226000080322 A1    1     5
D 2016-06-27 16:26:30.55 00:00:00.00 HA      900_226000080322 A1    1     3
D 2016-06-27 16:26:40.01 00:00:00.00 HA      900_226000080322 A1    1    41
D 2016-06-27 16:26:40.81 00:00:00.00 HA      900_226000080322 A1    1     3
D 2016-06-27 16:26:42.63 00:00:01.82 HA      900_226000080322 A1   10     8
D 2016-06-27 16:26:44.06 00:00:03.42 HA      900_226000080322 A1   13     2
D 2016-06-27 16:26:49.89 00:00:00.22 HA      900_226000080322 A1    2    11
D 2016-06-27 16:26:50.51 00:00:01.81 HA      900_226000080322 A1   10     1
D 2016-06-27 16:26:53.33 00:00:00.00 HA      900_226000080322 A1    1     4
D 2016-06-27 16:27:03.20 00:00:00.82 HA      900_228000093622 A1    5    48
D 2016-06-27 16:27:05.42 00:00:01.83 HA      900_228000093622 A1   10     6
D 2016-06-27 16:27:07.05 00:00:02.61 HA      900_228000093622 A1    9     3
D 2016-06-27 16:27:11.88 00:00:06.06 HA      900_228000093622 A1   36     5
D 2016-06-27 16:29:57.51 00:00:00.00 HR 0000_0000000180573731 A3    1  1149
D 2016-06-27 16:41:14.28 00:00:00.00 HR 0000_0000000180843403 A1    1  4153
D 2016-06-27 16:44:57.48 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-06-27 16:56:08.91 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-06-27 16:59:57.34 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-06-27 17:11:03.66 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-06-27 17:14:56.72 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2016-06-27 17:25:58.44 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-06-27 17:29:55.93 00:00:00.00 HR 0000_0000000180573731 A3    1  4465
D 2016-06-27 17:40:53.21 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-06-27 17:44:54.91 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2016-06-27 17:55:47.96 00:00:00.21 HR 0000_0000000180843403 A1    2  4443
D 2016-06-27 17:59:53.68 00:00:00.00 HR 0000_0000000180573731 A3    1  4463
D 2016-06-27 18:10:42.71 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-06-27 18:14:52.28 00:00:00.20 HR 0000_0000000180573731 A3    2  4462
