up40
Upload #40, 860 records
Reader: Noname  Site: AA
--------- upload 40 start ---------
E 2016-03-18 10:46:10.89 upload 39 complete
E 2016-03-18 10:47:27.34 parameter change: mux sequence '1'
D 2016-03-18 10:47:43.52 00:00:00.40 HA      900_226000791719 A1    5  2033
E 2016-03-18 10:52:41.64 parameter change: mux sequence '3'
D 2016-03-18 10:52:50.23 00:00:00.40 HA      900_226000791719 A3    5   663
D 2016-03-18 10:57:46.01 00:00:00.50 HA      900_226000791719 A3    6  2933
D 2016-03-18 10:57:59.41 00:00:00.00 HA      900_226000791719 A3    1   127
D 2016-03-18 10:57:59.61 00:00:00.10 HA      900_226000791719 A3    2     1
D 2016-03-18 10:58:00.82 00:00:00.30 HA      900_226000791719 A3    4    10
D 2016-03-18 10:58:02.83 00:00:00.41 HA      900_226000791719 A3    5    16
D 2016-03-18 10:58:04.14 00:00:00.30 HA      900_226000791719 A3    4     8
D 2016-03-18 10:58:04.84 00:00:00.91 HA      900_226000791719 A3   10     3
D 2016-03-18 10:58:05.95 00:00:00.00 HA      900_226000791719 A3    1     1
D 2016-03-18 10:58:06.66 00:00:00.50 HA      900_226000791719 A3    6     6
D 2016-03-18 10:58:07.76 00:00:00.00 HA      900_226000791719 A3    1     5
D 2016-03-18 10:58:11.59 00:00:00.51 HA      900_226000791719 A3    6    37
D 2016-03-18 10:58:14.51 00:00:00.40 HA      900_226000791719 A3    5    23
D 2016-03-18 10:58:16.33 00:00:00.40 HA      900_226000791719 A3    5    13
D 2016-03-18 10:58:17.53 00:00:00.00 HA      900_226000791719 A3    1     7
D 2016-03-18 10:58:17.73 00:00:00.00 HA      900_226000791719 A3    1     1
D 2016-03-18 10:58:17.04 00:00:03.81 HA      900_226000791719 A3   29     2
D 2016-03-18 10:58:21.66 00:00:01.01 HA      900_226000791719 A3   11     7
E 2016-03-18 10:58:57.90 parameter change: mux sequence '13'
D 2016-03-18 10:59:21.77 00:00:00.80 HR 0000_0000000181177678 A1    5  3077
D 2016-03-18 10:59:30.03 00:00:03.02 HR 0000_0000000181177678 A1   16    36
D 2016-03-18 10:59:35.06 00:00:00.80 HR 0000_0000000181177678 A1    5     9
D 2016-03-18 10:59:37.28 00:00:01.40 HR 0000_0000000181177678 A1    8     6
D 2016-03-18 11:00:04.46 00:00:00.20 HA      900_226000080333 A1    2   127
D 2016-03-18 11:00:04.07 00:00:00.40 HA      900_226000080333 A1    3     1
D 2016-03-18 11:00:10.10 00:00:02.01 HA      900_226000080333 A1   11    22
D 2016-03-18 11:00:15.93 00:00:00.00 HA      900_226000080333 A1    1    18
D 2016-03-18 11:00:16.34 00:00:01.01 HA      900_226000080333 A1    6     1
D 2016-03-18 11:00:19.76 00:00:00.41 HA      900_226000080333 A1    3    11
D 2016-03-18 11:00:20.57 00:00:00.20 HA      900_226000080333 A1    2     1
D 2016-03-18 11:00:22.78 00:00:00.20 HA      900_226000080333 A1    2     9
D 2016-03-18 11:00:23.99 00:00:00.00 HA      900_226000080333 A1    1     4
D 2016-03-18 11:00:24.39 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 11:00:24.79 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 11:00:24.20 00:00:00.20 HA      900_226000080333 A1    2     1
D 2016-03-18 11:00:25.80 23:59:59.21 HA      900_226000080333 A1    2     1
D 2016-03-18 11:00:26.41 00:00:00.20 HA      900_226000080333 A1    2     1
D 2016-03-18 11:00:26.01 00:00:00.20 HA      900_226000080333 A1    2     1
D 2016-03-18 11:00:27.81 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-03-18 11:00:27.42 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-03-18 11:00:29.82 23:59:59.41 HA      900_226000080333 A1    3     1
D 2016-03-18 11:00:29.63 00:00:00.20 HA      900_226000080333 A1    2     1
D 2016-03-18 11:00:29.43 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-03-18 11:00:30.04 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-03-18 11:00:40.30 00:00:00.00 HA      900_226000080333 A1    1    45
D 2016-03-18 11:02:55.60 00:00:00.61 HA      900_226000080333 A1    4   671
D 2016-03-18 11:03:07.08 00:00:01.01 HA      900_226000080333 A1    6    53
D 2016-03-18 11:03:10.50 00:00:00.20 HA      900_226000080333 A1    2    11
D 2016-03-18 11:03:10.11 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 11:03:12.91 00:00:00.41 HA      900_226000080333 A1    3     8
D 2016-03-18 11:03:13.72 00:00:00.20 HA      900_226000080333 A1    2     1
D 2016-03-18 11:03:14.33 00:00:00.40 HA      900_226000080333 A1    3     1
D 2016-03-18 11:03:14.13 00:00:02.60 HA      900_226000080333 A1    4     1
D 2016-03-18 11:03:16.14 00:00:01.60 HA      900_226000080333 A1    4     1
D 2016-03-18 11:03:17.15 00:00:00.20 HA      900_226000080333 A1    2     1
D 2016-03-18 11:03:18.75 00:00:00.20 HA      900_226000080333 A1    7     1
D 2016-03-18 11:03:19.36 00:00:02.61 HA      900_226000080333 A1   14     1
D 2016-03-18 11:03:24.20 00:00:00.00 HA      900_226000080333 A1    1    10
D 2016-03-18 11:03:24.60 00:00:00.20 HA      900_226000080333 A1    2     1
D 2016-03-18 11:03:25.20 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 11:03:25.01 00:00:00.20 HA      900_226000080333 A1    2     3
D 2016-03-18 11:03:26.61 23:59:59.41 HA      900_226000080333 A1    3     1
D 2016-03-18 11:03:27.42 00:00:00.60 HA      900_226000080333 A1    4     1
D 2016-03-18 11:03:28.42 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-03-18 11:03:54.50 00:00:00.40 HA      900_226000791719 A3    3  1822
D 2016-03-18 11:03:55.91 00:00:00.00 HA      900_226000791719 A3    1     4
D 2016-03-18 11:03:56.31 00:00:01.40 HA      900_226000791719 A3    8     1
D 2016-03-18 11:03:59.92 00:00:00.00 HA      900_226000791719 A3    1    10
D 2016-03-18 11:04:00.74 00:00:01.01 HA      900_226000791719 A3    6     3
E 2016-03-18 11:06:46.72 supply power ok 11.8V
E 2016-03-18 11:06:46.73 database file opened
E 2016-03-18 11:06:46.73 starting reader after power up
D 2016-03-18 11:09:20.76 00:00:00.00 HR 0000_0000000180843440 A3    1   735
D 2016-03-18 11:09:20.37 00:00:00.00 HR 0000_0000000180843440 A3    1     2
D 2016-03-18 11:09:27.41 00:00:00.00 HR 0000_0000000180843440 A3    1    29
D 2016-03-18 11:09:27.81 00:00:00.00 HR 0000_0000000180843440 A3    1     1
D 2016-03-18 11:11:03.15 00:00:00.00 HR 0000_0000000180598569 A1    1  1242
D 2016-03-18 11:24:24.24 00:00:00.00 HR 0000_0000000180843440 A3    1  4451
D 2016-03-18 11:25:59.58 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2016-03-18 11:39:21.48 00:00:00.00 HR 0000_0000000180843440 A3    1  4455
D 2016-03-18 11:40:56.22 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 11:54:19.07 00:00:00.20 HR 0000_0000000180843440 A3    2  4457
D 2016-03-18 11:55:52.79 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 12:09:16.23 00:00:00.00 HR 0000_0000000180843440 A3    1  4454
D 2016-03-18 12:10:49.36 00:00:00.20 HR 0000_0000000180598569 A1    2  4452
D 2016-03-18 12:24:13.85 00:00:00.00 HR 0000_0000000180843440 A3    1  4457
D 2016-03-18 12:25:45.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 12:39:11.52 00:00:00.00 HR 0000_0000000180843440 A3    1  4457
D 2016-03-18 12:40:42.44 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 12:54:08.52 00:00:00.00 HR 0000_0000000180843440 A3    1  4454
D 2016-03-18 12:55:39.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 13:09:04.56 00:00:00.00 HR 0000_0000000180843440 A3    1  4449
D 2016-03-18 13:10:35.69 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 13:24:00.79 00:00:00.00 HR 0000_0000000180843440 A3    1  4450
D 2016-03-18 13:25:32.31 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 13:38:57.21 00:00:00.00 HR 0000_0000000180843440 A3    1  4451
D 2016-03-18 13:40:28.91 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 13:53:53.24 00:00:00.00 HR 0000_0000000180843440 A3    1  4449
D 2016-03-18 13:55:25.35 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2016-03-18 14:08:49.45 00:00:00.00 HR 0000_0000000180843440 A3    1  4450
D 2016-03-18 14:10:21.96 00:00:00.21 HR 0000_0000000180598569 A1    2  4451
D 2016-03-18 14:23:45.68 00:00:00.00 HR 0000_0000000180843440 A3    1  4450
D 2016-03-18 14:25:18.61 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 14:38:42.09 00:00:00.00 HR 0000_0000000180843440 A3    1  4451
D 2016-03-18 14:40:15.22 00:00:00.20 HR 0000_0000000180598569 A1    2  4452
D 2016-03-18 14:53:38.30 00:00:00.00 HR 0000_0000000180843440 A3    1  4450
D 2016-03-18 14:55:12.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 15:08:33.89 00:00:00.00 HR 0000_0000000180843440 A3    1  4447
D 2016-03-18 15:10:08.62 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 15:23:29.66 00:00:00.00 HR 0000_0000000180843440 A3    1  4448
D 2016-03-18 15:25:05.20 00:00:00.20 HR 0000_0000000180598569 A1    2  4452
D 2016-03-18 15:38:25.26 00:00:00.20 HR 0000_0000000180843440 A3    2  4447
D 2016-03-18 15:40:01.80 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 15:53:20.85 00:00:00.00 HR 0000_0000000180843440 A3    1  4446
D 2016-03-18 15:54:58.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 16:08:16.05 00:00:00.00 HR 0000_0000000180843440 A3    1  4445
D 2016-03-18 16:09:55.00 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 16:23:10.83 00:00:00.00 HR 0000_0000000180843440 A3    1  4443
D 2016-03-18 16:24:51.40 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-18 16:38:05.43 00:00:00.00 HR 0000_0000000180843440 A3    1  4442
D 2016-03-18 16:39:48.01 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-03-18 16:53:00.21 00:00:00.00 HR 0000_0000000180843440 A3    1  4443
D 2016-03-18 16:54:44.41 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
