up7
Upload #7, 595 records
Reader: Noname  Site: AA
--------- upload 7 start ---------
E 2016-03-22 12:10:39.80 upload 6 complete
E 2016-03-22 12:20:41.43 supply power ok 11.5V
E 2016-03-22 12:20:41.43 database file opened
E 2016-03-22 12:20:41.43 starting reader after power up
D 2016-03-22 12:20:59.15 00:00:00.00 HR 0000_0000000180573731 A3    1    68
D 2016-03-22 12:23:09.53 00:00:02.83 HA      900_226000080333 A1   15   717
D 2016-03-22 12:23:22.42 00:00:01.02 HR 0000_0000000181177678 A1    6    49
D 2016-03-22 12:23:47.51 00:00:00.40 HA      900_226000791719 A3    3   835
D 2016-03-22 12:23:57.59 00:00:00.61 HA      900_226000791719 A3    4    47
D 2016-03-22 12:24:00.22 00:00:00.40 HA      900_226000791719 A3    3     9
D 2016-03-22 12:24:02.04 00:00:00.60 HA      900_226000791719 A3    4     6
D 2016-03-22 12:24:02.45 00:00:01.40 HA      900_226000791719 A3    3     3
D 2016-03-22 12:31:55.27 00:00:00.21 HA      900_226000791719 A1    2  2541
D 2016-03-22 12:31:59.81 00:00:00.21 HA      900_226000791719 A3    2  2363
D 2016-03-22 12:34:41.40 00:00:00.20 HR 0000_0000000180843403 A1    2   823
D 2016-03-22 12:35:57.00 00:00:00.00 HR 0000_0000000180573731 A3    1  1176
D 2016-03-22 12:49:36.36 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-03-22 12:50:54.57 00:00:00.21 HR 0000_0000000180573731 A3    2  4457
D 2016-03-22 13:04:31.07 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-03-22 13:05:52.11 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2016-03-22 13:19:25.82 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-03-22 13:20:49.67 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-03-22 13:34:20.73 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-03-22 13:35:47.01 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-03-22 13:49:15.46 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-03-22 13:50:44.15 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-03-22 14:04:10.14 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-03-22 14:05:41.43 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2016-03-22 14:19:04.81 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-03-22 14:20:38.93 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-03-22 14:33:59.49 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-03-22 14:35:36.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-03-22 14:48:54.16 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-03-22 14:50:33.51 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
E 2016-03-22 14:56:00.01 11.6V 0.20A 0.94A 0.00A 0.81A 0.00A  0N  0N  0N  
D 2016-03-22 15:03:48.86 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-03-22 15:05:30.84 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-03-22 15:18:43.56 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-03-22 15:20:28.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-03-22 15:33:38.65 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-03-22 15:35:25.24 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-03-22 15:48:33.97 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-22 15:50:22.40 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2016-03-22 16:03:29.45 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-22 16:05:19.67 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-03-22 16:18:24.92 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
