up
Upload #49
Reader: Noname  Site: AA
--------- upload 49 start ---------
E 2016-04-11 13:35:14.38 upload 48 complete
E 2016-04-11 13:37:14.65 supply power ok 11.8V
E 2016-04-11 13:37:14.65 database file opened
E 2016-04-11 13:37:14.65 starting reader after power up
D 2016-04-11 13:38:14.45 00:00:01.19 HA      900_226000791719 A3    4   133
D 2016-04-11 13:38:17.26 00:00:00.80 HA      900_226000791719 A3    3     3
D 2016-04-11 13:38:19.27 00:00:02.41 HA      900_226000791719 A3    7     2
D 2016-04-11 13:38:23.30 00:00:02.82 HA      900_226000791719 A3    8     3
D 2016-04-11 13:38:27.32 00:00:00.00 HA      900_226000791719 A3    1     2
D 2016-04-11 13:38:28.53 00:00:00.00 HA      900_226000791719 A3    1     2
D 2016-04-11 13:38:30.14 00:00:00.00 HA      900_226000791719 A3    1     3
D 2016-04-11 13:38:36.99 00:00:00.40 HA      900_226000791719 A3    2    16
D 2016-04-11 13:38:39.80 00:00:00.00 HA      900_226000791719 A3    1     5
D 2016-04-11 13:38:41.02 00:00:00.00 HA      900_226000791719 A3    1     2
D 2016-04-11 13:38:42.22 00:00:00.00 HA      900_226000791719 A3    1     2
D 2016-04-11 13:38:43.43 00:00:00.00 HA      900_226000791719 A3    1     2
E 2016-04-11 13:39:03.39 parameter change: charge period 50ms
E 2016-04-11 13:39:12.50 parameter change: duty cycle pause 50ms
D 2016-04-11 13:39:35.57 00:00:01.40 HR 0000_0000000181177678 A1    8   339
D 2016-04-11 13:39:37.98 00:00:00.21 HR 0000_0000000181177678 A1    2     4
D 2016-04-11 13:39:38.59 00:00:00.40 HR 0000_0000000181177678 A1    3     1
D 2016-04-11 13:39:39.39 00:00:00.20 HR 0000_0000000181177678 A1    2     1
D 2016-04-11 13:39:40.60 00:00:00.61 HR 0000_0000000181177678 A1    4     4
D 2016-04-11 13:39:52.28 00:00:01.01 HA      900_226000080333 A1    6    54
D 2016-04-11 13:39:56.31 00:00:00.00 HA      900_226000080333 A1    1    14
D 2016-04-11 13:39:56.91 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-04-11 13:39:57.32 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-04-11 13:39:57.92 00:00:00.60 HA      900_226000080333 A1    4     2
D 2016-04-11 13:39:58.12 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-04-11 13:40:02.94 00:00:00.00 HA      900_226000080333 A1    1    18
D 2016-04-11 13:40:03.55 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-04-11 13:40:03.35 00:00:01.20 HA      900_226000080333 A1    2     3
D 2016-04-11 13:40:04.95 23:59:59.41 HA      900_226000080333 A1    3     1
D 2016-04-11 13:40:06.97 00:00:00.20 HA      900_226000080333 A1    2     7
D 2016-04-11 13:45:44.12 00:00:00.00 HR 0000_0000000180598569 A1    1  1666
D 2016-04-11 13:47:18.84 00:00:00.00 HR 0000_0000000180843440 A3    1  2428
D 2016-04-11 14:00:41.01 00:00:00.20 HR 0000_0000000180598569 A1    2  4453
D 2016-04-11 14:02:16.15 00:00:00.00 HR 0000_0000000180843440 A3    1  4455
D 2016-04-11 14:15:38.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2016-04-11 14:17:13.16 00:00:00.00 HR 0000_0000000180843440 A3    1  4454
D 2016-04-11 14:30:34.95 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2016-04-11 14:32:09.68 00:00:00.00 HR 0000_0000000180843440 A3    1  4452
D 2016-04-11 14:45:31.69 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2016-04-11 14:47:06.22 00:00:00.00 HR 0000_0000000180843440 A3    1  4452
D 2016-04-11 15:00:28.44 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2016-04-11 15:02:02.57 00:00:00.00 HR 0000_0000000180843440 A3    1  4451
D 2016-04-11 15:15:24.92 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-04-11 15:16:58.43 00:00:00.00 HR 0000_0000000180843440 A3    1  4449
D 2016-04-11 15:30:21.65 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2016-04-11 15:31:54.16 00:00:00.00 HR 0000_0000000180843440 A3    1  4448
D 2016-04-11 15:45:18.14 00:00:00.20 HR 0000_0000000180598569 A1    2  4452
D 2016-04-11 15:46:49.85 00:00:00.00 HR 0000_0000000180843440 A3    1  4448
D 2016-04-11 16:00:14.81 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-04-11 16:01:45.11 00:00:00.00 HR 0000_0000000180843440 A3    1  4446
D 2016-04-11 16:15:11.30 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-04-11 16:16:40.18 00:00:00.00 HR 0000_0000000180843440 A3    1  4445
D 2016-04-11 16:30:07.76 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-04-11 16:31:35.24 00:00:00.00 HR 0000_0000000180843440 A3    1  4445
D 2016-04-11 16:45:04.22 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-04-11 16:46:30.29 00:00:00.00 HR 0000_0000000180843440 A3    1  4445
D 2016-04-11 17:00:00.71 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-04-11 17:01:24.96 00:00:00.00 HR 0000_0000000180843440 A3    1  4443
D 2016-04-11 17:14:57.16 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-04-11 17:16:19.60 00:00:00.20 HR 0000_0000000180843440 A3    2  4443
D 2016-04-11 17:29:53.65 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-04-11 17:31:14.28 00:00:00.00 HR 0000_0000000180843440 A3    1  4442
D 2016-04-11 17:44:49.92 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-04-11 17:46:08.74 00:00:00.00 HR 0000_0000000180843440 A3    1  4442
D 2016-04-11 17:59:46.39 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-04-11 18:01:03.39 00:00:00.00 HR 0000_0000000180843440 A3    1  4443
D 2016-04-11 18:14:42.83 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-04-11 18:15:57.62 00:00:00.00 HR 0000_0000000180843440 A3    1  4441
D 2016-04-11 18:29:39.30 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-04-11 18:30:51.89 00:00:00.00 HR 0000_0000000180843440 A3    1  4441
D 2016-04-11 18:44:35.59 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-04-11 18:45:46.15 00:00:00.00 HR 0000_0000000180843440 A3    1  4441
D 2016-04-11 18:59:31.87 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-04-11 19:00:40.43 00:00:00.00 HR 0000_0000000180843440 A3    1  4441
D 2016-04-11 19:14:28.17 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-04-11 19:15:34.70 00:00:00.00 HR 0000_0000000180843440 A3    1  4441
D 2016-04-11 19:29:24.25 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2016-04-11 19:30:28.77 00:00:00.00 HR 0000_0000000180843440 A3    1  4440
D 2016-04-11 19:44:20.75 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-04-11 19:45:22.66 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
D 2016-04-11 19:59:16.82 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2016-04-11 20:00:16.51 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
D 2016-04-11 20:14:13.33 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-04-11 20:15:10.41 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
D 2016-04-11 20:29:09.65 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-04-11 20:30:04.32 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
D 2016-04-11 20:44:06.00 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-04-11 20:44:58.04 00:00:00.00 HR 0000_0000000180843440 A3    1  4438
D 2016-04-11 20:59:02.07 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-04-11 20:59:51.89 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
D 2016-04-11 21:13:58.36 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-04-11 21:14:45.57 00:00:00.00 HR 0000_0000000180843440 A3    1  4438
D 2016-04-11 21:28:54.45 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2016-04-11 21:29:39.25 00:00:00.20 HR 0000_0000000180843440 A3    2  4438
D 2016-04-11 21:43:50.77 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-04-11 21:44:32.95 00:00:00.20 HR 0000_0000000180843440 A3    2  4437
D 2016-04-11 21:58:47.08 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-04-11 21:59:27.03 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
D 2016-04-11 22:13:43.36 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-04-11 22:14:20.89 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
D 2016-04-11 22:28:39.47 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-04-11 22:29:14.80 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
D 2016-04-11 22:43:35.80 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
