up
Upload #18
Reader: Noname  Site: AA
--------- upload 18 start ---------
E 2016-04-18 13:34:58.21 upload 17 complete
E 2016-04-18 13:38:44.91 supply power ok 11.9V
E 2016-04-18 13:38:44.91 database file opened
E 2016-04-18 13:38:44.91 starting reader after power up
D 2016-04-18 13:40:27.10 00:00:00.00 HR 0000_0000000180573731 A3    1   488
D 2016-04-18 13:42:03.57 00:00:00.40 HA      900_226000080333 A1    3   968
D 2016-04-18 13:42:11.24 00:00:00.20 HA      900_226000080333 A1    2    35
D 2016-04-18 13:42:11.84 00:00:00.60 HA      900_226000080333 A1    4     1
D 2016-04-18 13:42:24.13 00:00:00.80 HR 0000_0000000181177678 A1    5    57
D 2016-04-18 13:42:27.35 00:00:00.00 HR 0000_0000000181177678 A1    1    11
D 2016-04-18 13:42:28.55 00:00:00.62 HR 0000_0000000181177678 A1    4     5
D 2016-04-18 13:42:50.10 00:00:00.41 HA      900_226000080333 A1    3   103
D 2016-04-18 13:42:50.32 00:00:01.40 HA      900_226000080333 A1    3     3
D 2016-04-18 13:42:51.53 00:00:02.20 HA      900_226000080333 A1    2     3
D 2016-04-18 13:42:55.36 00:00:00.40 HA      900_226000080333 A1    3    12
D 2016-04-18 13:42:57.77 00:00:00.00 HA      900_226000080333 A1    1     9
D 2016-04-18 13:43:05.24 00:00:00.00 HA      900_226000080333 A1    1    36
D 2016-04-18 13:43:05.64 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-04-18 13:43:45.59 00:00:00.40 HA      900_226000791719 A3    3   985
D 2016-04-18 13:43:47.00 00:00:00.61 HA      900_226000791719 A3    4     4
D 2016-04-18 13:43:48.62 00:00:00.40 HA      900_226000791719 A3    3     4
D 2016-04-18 13:43:50.03 00:00:01.02 HA      900_226000791719 A3    6     4
D 2016-04-18 13:43:51.85 00:00:00.80 HA      900_226000791719 A3    5     3
D 2016-04-18 13:44:15.11 00:00:00.00 HA      900_226000791719 A1    1   344
D 2016-04-18 13:44:15.51 00:00:00.40 HA      900_226000791719 A1    3     1
D 2016-04-18 13:44:16.32 00:00:00.00 HA      900_226000791719 A1    1     1
D 2016-04-18 13:44:16.73 00:00:00.20 HA      900_226000791719 A1    2     1
D 2016-04-18 13:44:18.14 00:00:00.20 HA      900_226000791719 A1    2     5
D 2016-04-18 13:44:18.15 00:00:01.20 HA      900_226000791719 A1    2     3
D 2016-04-18 13:44:20.36 00:00:00.20 HA      900_226000791719 A1    2     4
D 2016-04-18 13:44:21.57 00:00:00.40 HA      900_226000791719 A1    3     4
D 2016-04-18 13:44:23.18 00:00:00.82 HA      900_226000791719 A1    5     5
D 2016-04-18 13:45:23.18 00:00:00.60 HA      900_226000080333 A1    4   293
D 2016-04-18 13:45:25.20 00:00:00.81 HA      900_226000080333 A1    5     6
D 2016-04-18 13:45:27.22 00:00:00.81 HA      900_226000080333 A1    5     5
D 2016-04-18 13:45:28.63 00:00:01.43 HA      900_226000080333 A1    8     2
D 2016-04-18 13:45:31.06 00:00:00.60 HA      900_226000080333 A1    4     4
D 2016-04-18 13:45:43.96 00:00:00.40 HA      900_226000791719 A1    3    60
D 2016-04-18 13:47:06.92 00:00:00.00 HR 0000_0000000180843403 A1    1   409
D 2016-04-18 13:55:27.93 00:00:00.21 HR 0000_0000000180573731 A3    2  3452
D 2016-04-18 14:02:01.84 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-04-18 14:10:28.66 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2016-04-18 14:16:56.90 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-18 14:25:29.35 00:00:00.00 HR 0000_0000000180573731 A3    1  4473
D 2016-04-18 14:31:51.74 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-04-18 14:40:29.80 00:00:00.21 HR 0000_0000000180573731 A3    2  4472
D 2016-04-18 14:46:46.57 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-04-18 14:55:30.29 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
D 2016-04-18 15:01:41.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-18 15:10:30.35 00:00:00.00 HR 0000_0000000180573731 A3    1  4470
D 2016-04-18 15:16:36.84 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-04-18 15:25:30.64 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
D 2016-04-18 15:31:32.10 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-04-18 15:40:30.49 00:00:00.20 HR 0000_0000000180573731 A3    2  4469
D 2016-04-18 15:46:27.12 00:00:00.20 HR 0000_0000000180843403 A1    2  4445
D 2016-04-18 15:55:30.54 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-04-18 16:01:22.33 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-18 16:10:30.21 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
