

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx A1 0.87         A3 0.82         EA 0.51   11.3 V     3.3 V   16:14:44.47
Rx 0.20 Tx A1 0.84         A3 0.82         EA 0.51   11.3 V     3.3 V   16:14:44.98
Rx 0.20 Tx A1 0.87         A3 0.82         EA 0.52   11.3 V     3.3 V   16:14:45.50
Rx 0.20 Tx A1 0.90         A3 0.82         EA 0.52   11.3 V     3.3 V   16:14:46.02

>up
Upload #19
Reader: Noname  Site: AA
--------- upload 19 start ---------
E 2016-04-20 10:13:32.72 upload 18 complete
E 2016-04-20 10:14:56.22 supply power ok 11.9V
E 2016-04-20 10:14:56.22 database file opened
E 2016-04-20 10:14:56.22 starting reader after power up
D 2016-04-20 10:15:13.91 00:00:00.20 HA      900_226000791719 A3    2    63
D 2016-04-20 10:15:25.59 00:00:00.20 HA      900_226000791719 A3    2    56
D 2016-04-20 10:15:29.41 00:00:02.03 HA      900_226000791719 A3   11    17
D 2016-04-20 10:15:31.24 00:00:01.20 HA      900_226000791719 A3    2     3
D 2016-04-20 10:15:34.26 00:00:00.00 HA      900_226000791719 A3    1     8
D 2016-04-20 10:15:34.07 00:00:01.20 HA      900_226000791719 A3    2     3
D 2016-04-20 10:15:35.08 00:00:01.60 HA      900_226000791719 A3    4     3
D 2016-04-20 10:15:55.10 00:00:00.60 HR 0000_0000000181177678 A1    4   268
D 2016-04-20 10:16:06.98 00:00:00.40 HA      900_226000080333 A1    3    55
D 2016-04-20 10:18:40.15 00:00:00.00 HR 0000_0000000180843403 A1    1   758
D 2016-04-20 10:19:08.63 00:00:00.00 HR 0000_0000000180573731 A3    1  1052
D 2016-04-20 10:33:35.67 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-04-20 10:34:08.59 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-04-20 10:48:31.31 00:00:00.00 HR 0000_0000000180843403 A1    1  4448
D 2016-04-20 10:49:08.45 00:00:00.20 HR 0000_0000000180573731 A3    2  4469
D 2016-04-20 11:03:26.95 00:00:00.00 HR 0000_0000000180843403 A1    1  4448
D 2016-04-20 11:04:08.73 00:00:00.00 HR 0000_0000000180573731 A3    1  4470
D 2016-04-20 11:18:22.41 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-04-20 11:19:09.02 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
D 2016-04-20 11:33:17.85 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
