up
Upload #53
Reader: Noname  Site: AA
--------- upload 53 start ---------
E 2016-04-22 15:06:12.90 upload 52 complete
E 2016-04-22 15:08:42.24 supply power ok 11.9V
E 2016-04-22 15:08:42.24 database file opened
E 2016-04-22 15:08:42.25 starting reader after power up
D 2016-04-22 15:09:33.23 00:00:00.20 HR 0000_0000000180843440 A3    2   223
D 2016-04-22 15:09:35.94 00:00:00.00 HA      900_226000080333 A1    1   235
D 2016-04-22 15:09:36.35 00:00:01.81 HA      900_226000080333 A1   10     1
D 2016-04-22 15:09:39.37 00:00:00.80 HA      900_226000080333 A1    5     5
D 2016-04-22 15:09:49.03 00:00:01.81 HR 0000_0000000181177678 A1   10    43
D 2016-04-22 15:09:56.78 00:00:00.41 HR 0000_0000000181177678 A3    3   115
D 2016-04-22 15:14:37.53 00:00:00.00 HR 0000_0000000180598569 A1    1  1416
D 2016-04-22 15:24:30.36 00:00:00.00 HR 0000_0000000180843440 A3    1  4329
D 2016-04-22 15:29:34.48 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2016-04-22 15:39:27.38 00:00:00.00 HR 0000_0000000180843440 A3    1  4454
D 2016-04-22 15:44:31.53 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2016-04-22 15:54:24.00 00:00:00.00 HR 0000_0000000180843440 A3    1  4452
D 2016-04-22 15:59:28.31 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2016-04-22 16:09:20.37 00:00:00.00 HR 0000_0000000180843440 A3    1  4451
D 2016-04-22 16:14:25.32 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2016-04-22 16:24:16.98 00:00:00.00 HR 0000_0000000180843440 A3    1  4452
D 2016-04-22 16:29:22.11 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2016-04-22 16:39:13.38 00:00:00.00 HR 0000_0000000180843440 A3    1  4451
D 2016-04-22 16:44:18.92 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2016-04-22 16:54:10.18 00:00:00.00 HR 0000_0000000180843440 A3    1  4453
D 2016-04-22 16:59:15.93 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2016-04-22 17:09:07.00 00:00:00.00 HR 0000_0000000180843440 A3    1  4453
D 2016-04-22 17:14:12.96 00:00:00.20 HR 0000_0000000180598569 A1    2  4454
D 2016-04-22 17:24:03.82 00:00:00.00 HR 0000_0000000180843440 A3    1  4453
D 2016-04-22 17:29:10.17 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2016-04-22 17:39:00.05 00:00:00.00 HR 0000_0000000180843440 A3    1  4450
D 2016-04-22 17:44:07.20 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2016-04-22 17:53:56.46 00:00:00.00 HR 0000_0000000180843440 A3    1  4451
