up
database not open
Sleeping: supply is  9.3 V
 shutdown at  9.0 V,  startup at 10.0 V
^
Oregon RFID Datalogger Version 5.02  
2016-05-09 19:51:46.00

>supply power ok 11.7V
database file opened
starting reader after power up
up
Upload #59
Reader: Noname  Site: AA
--------- upload 59 start ---------
E 2016-05-06 11:44:54.09 upload 58 complete
E 2016-05-06 11:47:55.23 supply power ok 12.0V
E 2016-05-06 11:47:55.23 database file opened
E 2016-05-06 11:47:55.23 starting reader after power up
D 2016-05-06 11:48:56.97 00:00:01.01 HA      900_226000080333 A1    6   275
D 2016-05-06 11:49:00.00 00:00:01.42 HA      900_226000080333 A1    8     9
D 2016-05-06 11:49:08.65 00:00:00.81 HR 0000_0000000181177678 A1    5    35
D 2016-05-06 11:49:11.07 00:00:00.80 HR 0000_0000000181177678 A1    5     7
D 2016-05-06 11:49:47.82 00:00:00.40 HA      900_226000080322 A3    3   529
D 2016-05-06 11:49:50.84 00:00:00.00 HA      900_226000080322 A3    1    12
D 2016-05-06 11:49:57.09 00:00:00.40 HA      900_226000080322 A3    3    30
D 2016-05-06 11:49:58.49 00:00:00.20 HA      900_226000080322 A3    2     4
D 2016-05-06 11:50:22.25 00:00:00.40 HA      900_226000080322 A3    3   116
D 2016-05-06 11:50:25.68 00:00:00.40 HA      900_226000080322 A3    3    14
D 2016-05-06 11:50:27.29 00:00:00.40 HA      900_226000080322 A3    3     5
D 2016-05-06 11:50:30.71 00:00:00.20 HA      900_226000080322 A3    2    14
D 2016-05-06 11:50:34.34 00:00:00.60 HA      900_226000080322 A3    4    16
D 2016-05-06 11:52:53.07 00:00:00.00 HR 0000_0000000180843440 A3    1   685
D 2016-05-06 11:57:08.07 00:00:00.00 HR 0000_0000000180598569 A1    1  2364
D 2016-05-06 12:07:47.26 00:00:00.00 HR 0000_0000000180843440 A3    1  4440
D 2016-05-06 12:12:04.30 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-05-06 12:22:41.45 00:00:00.20 HR 0000_0000000180843440 A3    2  4440
D 2016-05-06 12:27:00.69 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-06 12:37:35.85 00:00:00.00 HR 0000_0000000180843440 A3    1  4440
D 2016-05-06 12:41:57.09 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-06 12:52:29.82 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
