up
Upload #35
Reader: Noname  Site: AA
--------- upload 35 start ---------
E 2016-05-30 10:05:05.32 upload 34 complete
E 2016-05-30 10:09:01.48 supply power ok 12.0V
E 2016-05-30 10:09:01.48 database file opened
E 2016-05-30 10:09:01.48 starting reader after power up
D 2016-05-30 10:09:21.70 00:00:01.01 HA      900_226000080333 A1    6    81
D 2016-05-30 10:09:22.32 00:00:00.20 HA      900_226000080333 A1    2     2
D 2016-05-30 10:09:24.13 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-05-30 10:09:24.73 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-05-30 10:09:25.13 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-05-30 10:09:25.73 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-05-30 10:09:37.82 00:00:02.02 HR 0000_0000000181177678 A1   11    59
D 2016-05-30 10:09:52.03 00:00:00.20 HA      900_226000080322 A3    2   231
D 2016-05-30 10:10:07.92 00:00:00.00 HA      900_226000080322 A3    1    77
D 2016-05-30 10:10:08.53 00:00:00.40 HA      900_226000080322 A3    3     2
D 2016-05-30 10:10:09.74 00:00:00.81 HA      900_226000080322 A3    5     3
D 2016-05-30 10:10:10.95 00:00:00.00 HA      900_226000080322 A3    1     1
D 2016-05-30 10:21:37.39 00:00:00.00 HR 0000_0000000180843403 A1    1  3564
D 2016-05-30 10:22:05.87 00:00:00.00 HR 0000_0000000180573731 A3    1  3551
D 2016-05-30 10:36:31.64 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 10:37:05.36 00:00:00.00 HR 0000_0000000180573731 A3    1  4467
D 2016-05-30 10:51:25.88 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 10:52:05.66 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
D 2016-05-30 11:06:20.16 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 11:07:06.37 00:00:00.00 HR 0000_0000000180573731 A3    1  4473
D 2016-05-30 11:21:14.23 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-05-30 11:22:06.88 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2016-05-30 11:36:08.30 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-05-30 11:37:08.00 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-05-30 11:51:02.31 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-05-30 11:52:09.64 00:00:00.00 HR 0000_0000000180573731 A3    1  4478
D 2016-05-30 12:05:56.34 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-05-30 12:07:10.93 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-05-30 12:20:50.35 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-05-30 12:22:11.17 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
D 2016-05-30 12:35:44.55 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 12:37:11.21 00:00:00.00 HR 0000_0000000180573731 A3    1  4470
E 2016-05-30 12:45:00.01 11.9V 0.20A 0.65A 0.00A 0.85A 0.00A  0N  0N  1N  
D 2016-05-30 12:50:38.79 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 12:52:11.90 00:00:00.00 HR 0000_0000000180573731 A3    1  4473
D 2016-05-30 13:05:32.82 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-05-30 13:07:11.97 00:00:00.00 HR 0000_0000000180573731 A3    1  4470
D 2016-05-30 13:20:27.01 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 13:22:11.97 00:00:00.22 HR 0000_0000000180573731 A3    2  4470
D 2016-05-30 13:35:21.19 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 13:37:12.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4470
D 2016-05-30 13:50:15.43 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 13:52:12.29 00:00:00.00 HR 0000_0000000180573731 A3    1  4470
D 2016-05-30 14:05:09.66 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 14:07:12.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-05-30 14:20:03.89 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 14:22:12.43 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
D 2016-05-30 14:34:58.12 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 14:37:12.49 00:00:00.00 HR 0000_0000000180573731 A3    1  4470
D 2016-05-30 14:49:52.18 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-05-30 14:52:12.40 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-05-30 15:04:46.42 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 15:07:12.07 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
E 2016-05-30 15:22:00.01 11.9V 0.20A 0.65A 0.00A 0.84A 0.00A  0N  0N  1N  
D 2016-05-30 15:22:11.71 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-05-30 15:34:34.46 00:00:00.00 HR 0000_0000000180843403 A1    1  8881
D 2016-05-30 15:37:10.96 00:00:00.21 HR 0000_0000000180573731 A3    2  4466
D 2016-05-30 15:49:28.66 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 15:52:10.41 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2016-05-30 16:04:22.69 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2016-05-30 16:07:09.49 00:00:00.00 HR 0000_0000000180573731 A3    1  4465
D 2016-05-30 16:19:16.94 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 16:22:08.56 00:00:00.00 HR 0000_0000000180573731 A3    1  4465
D 2016-05-30 16:34:11.19 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 16:37:07.64 00:00:00.00 HR 0000_0000000180573731 A3    1  4465
D 2016-05-30 16:49:05.43 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 16:52:06.52 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2016-05-30 17:03:59.87 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-30 17:07:05.38 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2016-05-30 17:18:54.11 00:00:00.20 HR 0000_0000000180843403 A1    2  4441
D 2016-05-30 17:22:04.26 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2016-05-30 17:33:48.56 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-30 17:37:02.74 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2016-05-30 17:48:43.04 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-30 17:52:01.03 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
E 2016-05-30 17:59:00.01 11.8V 0.20A 0.66A 0.00A 0.83A 0.00A  0N  0N  0N  
D 2016-05-30 18:03:37.46 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-30 18:06:59.29 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2016-05-30 18:18:31.92 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-30 18:21:57.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2016-05-30 18:33:26.38 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-30 18:36:56.06 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
