ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.22 Tx A1 1.80 A2 0.76                 EA 0.74   12.2 V     3.2 V   16:22:18.27
Rx 0.20 Tx A1 1.80 A2 0.76                 EA 0.73   12.2 V     3.2 V   16:22:18.78
Rx 0.20 Tx A1 1.75 A2 0.76                 EA 0.72   12.2 V     3.2 V   16:22:19.30

>up
Upload #3
Reader: DOWNSTREAM 12  Site: AA
--------- upload 3 start ---------
E 2017-04-10 14:20:51.23 upload 2 complete
E 2017-04-10 14:40:00.00 date/time changed. Was 2017-04-10 14:21:44.82
E 2017-04-10 14:41:00.00 date/time changed. Was 2017-04-10 14:40:19.35
E 2017-04-10 14:41:54.69 supply power ok 12.8V
E 2017-04-10 14:41:54.69 database file opened
E 2017-04-10 14:41:54.69 starting reader after power up
E 2017-04-10 16:42:45.29 supply power ok 12.8V
E 2017-04-10 16:42:45.29 database file opened
E 2017-04-10 16:42:45.29 starting reader after power up
D 2017-04-10 17:24:35.27 00:00:00.40 HA      900_226000791733 A2    3 12459
D 2017-04-10 17:24:36.48 00:00:00.40 HA      900_226000791733 A2    3     3
D 2017-04-10 17:24:37.49 00:00:00.80 HA      900_226000791733 A2    5     2
D 2017-04-10 17:24:51.48 00:00:01.01 HA      900_226000791733 A1    6 12541
D 2017-04-10 17:24:54.50 00:00:01.01 HA      900_226000791733 A1    6     9
D 2017-04-10 17:24:56.52 00:00:01.20 HA      900_226000791733 A1    7     4
D 2017-04-10 17:24:58.34 00:00:01.00 HA      900_226000791733 A1    6     2
D 2017-04-10 17:25:00.14 00:00:01.22 HA      900_226000791733 A1    7     3
D 2017-04-10 17:26:55.85 00:00:00.00 HR 0000_0000000180843403 A2    1   682
D 2017-04-10 17:26:56.26 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-04-10 17:26:56.86 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-04-10 17:26:57.27 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-04-10 17:26:57.67 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-04-10 17:27:12.58 00:00:00.00 HR 0000_0000000180843403 A2    1    73
D 2017-04-10 17:27:12.98 00:00:00.20 HR 0000_0000000180843403 A2    2     1
D 2017-04-10 17:27:41.77 00:00:00.00 HR 0000_0000000180843403 A2    1   141
D 2017-04-10 17:27:42.18 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-04-10 17:28:15.00 00:00:00.00 HR 0000_0000000180843403 A2    1   162
D 2017-04-10 17:28:15.40 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-04-10 17:28:15.80 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-04-10 17:28:34.74 00:00:00.00 HR 0000_0000000180843403 A2    1    93
D 2017-04-10 17:28:35.15 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-04-10 17:28:36.57 00:00:00.20 HR 0000_0000000180843403 A2    2     6
D 2017-04-10 17:28:37.17 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-04-10 17:28:38.77 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-04-10 17:28:38.38 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-04-10 17:28:38.98 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-04-10 17:32:44.58 00:00:00.00 HR 0000_0000000180843440 A1    1  2299
D 2017-04-10 17:32:45.38 00:00:00.00 HR 0000_0000000180843440 A1    1     3
D 2017-04-10 17:32:48.20 00:00:00.00 HR 0000_0000000180843440 A1    1    13
D 2017-04-10 17:32:48.60 00:00:00.00 HR 0000_0000000180843440 A1    1     1
D 2017-04-10 17:32:49.21 00:00:00.00 HR 0000_0000000180843440 A1    1     2
D 2017-04-10 17:41:26.43 00:00:01.01 HA      900_226000791733 A1    6  2567
D 2017-04-10 17:41:29.05 00:00:02.63 HA      900_226000791733 A1   14     7
D 2017-04-10 17:41:32.48 00:00:00.61 HA      900_226000791733 A1    4     3
D 2017-04-10 17:41:33.89 00:00:00.61 HA      900_226000791733 A1    4     3
D 2017-04-10 17:41:50.11 00:00:00.40 HA      900_226000791733 A2    3  3927
D 2017-04-10 17:41:50.92 00:00:00.00 HA      900_226000791733 A2    1     1
D 2017-04-10 17:41:51.32 00:00:00.39 HA      900_226000791733 A2    3     1
D 2017-04-10 17:41:52.13 00:00:00.39 HA      900_226000791733 A2    3     1
D 2017-04-10 17:43:32.85 00:00:00.20 HR 0000_0000000180843403 A2    2   497
D 2017-04-10 17:47:45.52 00:00:00.00 HR 0000_0000000180843440 A1    1  1841
D 2017-04-10 17:58:27.02 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2017-04-10 18:02:41.25 00:00:00.00 HR 0000_0000000180843440 A1    1  4447
D 2017-04-10 18:13:21.14 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
