ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx                 A3 0.87 A4 0.96 EA 0.56   11.9 V     3.3 V   16:33:41.35
Rx 0.22 Tx                 A3 0.86 A4 0.96 EA 0.56   11.9 V     3.3 V   16:33:41.86
Rx 0.22 Tx                 A3 0.87 A4 0.96 EA 0.56   11.9 V     3.3 V   16:33:42.38

>up
Upload #5
Reader: UPSTREAM 34  Site: AA
--------- upload 5 start ---------
E 2017-04-10 16:24:02.28 upload 4 complete
E 2017-04-10 16:24:49.59 supply power ok 12.5V
E 2017-04-10 16:24:49.59 database file opened
E 2017-04-10 16:24:49.59 starting reader after power up
E 2017-04-10 16:25:29.57 supply power ok 12.5V
E 2017-04-10 16:25:29.58 database file opened
E 2017-04-10 16:25:29.58 starting reader after power up
E 2017-04-10 16:26:16.65 supply power ok 12.5V
E 2017-04-10 16:26:16.65 database file opened
E 2017-04-10 16:26:16.65 starting reader after power up
D 2017-04-10 16:49:31.31 00:00:00.20 HR 0000_0000000180573731 A4    2  6906
D 2017-04-10 16:49:32.72 00:00:00.00 HR 0000_0000000180573731 A4    1     5
D 2017-04-10 16:49:32.33 00:00:00.00 HR 0000_0000000180573731 A4    1     2
D 2017-04-10 16:49:34.93 00:00:00.00 HR 0000_0000000180573731 A4    1     2
D 2017-04-10 16:49:34.53 00:00:00.00 HR 0000_0000000180573731 A4    1     2
D 2017-04-10 16:52:02.86 00:00:00.00 HR 0000_0000000180598569 A3    1  7659
D 2017-04-10 16:52:03.46 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-04-10 16:52:03.86 00:00:00.00 HR 0000_0000000180598569 A3    1     1
D 2017-04-10 16:52:03.27 00:00:00.00 HR 0000_0000000180598569 A3    1     1
D 2017-04-10 16:52:04.67 00:00:00.00 HR 0000_0000000180598569 A3    1     1
D 2017-04-10 16:52:05.08 00:00:00.00 HR 0000_0000000180598569 A3    1     1
D 2017-04-10 16:52:12.12 00:00:00.00 HR 0000_0000000180598569 A3    1    34
D 2017-04-10 16:52:12.72 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-04-10 16:52:12.13 00:00:00.00 HR 0000_0000000180598569 A3    1     1
D 2017-04-10 16:52:38.90 00:00:00.00 HR 0000_0000000180598569 A3    1   127
D 2017-04-10 16:52:39.31 00:00:00.20 HR 0000_0000000180598569 A3    2     1
D 2017-04-10 16:52:52.41 00:00:00.00 HR 0000_0000000180598569 A3    1    63
D 2017-04-10 16:52:52.81 23:59:59.20 HR 0000_0000000180598569 A3    2     1
D 2017-04-10 16:53:00.66 00:00:00.00 HR 0000_0000000180598569 A3    1    37
D 2017-04-10 16:53:00.07 00:00:00.00 HR 0000_0000000180598569 A3    1     1
D 2017-04-10 16:54:08.23 00:00:00.00 HR 0000_0000000180573731 A4    1  1358
D 2017-04-10 16:54:08.63 00:00:00.00 HR 0000_0000000180573731 A4    1     1
D 2017-04-10 16:54:08.04 00:00:00.00 HR 0000_0000000180573731 A4    1     1
D 2017-04-10 16:54:09.44 00:00:00.00 HR 0000_0000000180573731 A4    1     1
D 2017-04-10 16:54:14.27 00:00:00.00 HR 0000_0000000180573731 A4    1    23
D 2017-04-10 16:54:14.67 00:00:00.00 HR 0000_0000000180573731 A4    1     1
D 2017-04-10 16:54:14.09 00:00:00.00 HR 0000_0000000180573731 A4    1     1
