^
Oregon RFID Datalogger Version 5.04  
2017-04-24 14:18:44.00

>supply power ok 11.8V
database file opened
starting reader after power up
ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.24 Tx                 A3 0.87 A4 0.97 EA 0.57   11.8 V     3.3 V   14:18:51.59
Rx 0.20 Tx                 A3 0.87 A4 0.97 EA 0.56   11.8 V     3.3 V   14:18:52.12
Rx 0.21 Tx                 A3 0.87 A4 0.97 EA 0.56   11.8 V     3.3 V   14:18:52.63

>up
Upload #12
Reader: UPSTREAM 34  Site: AA
--------- upload 12 start ---------
E 2017-04-20 17:19:33.87 upload 11 complete
E 2017-04-20 17:20:02.12 supply power ok 12.3V
E 2017-04-20 17:20:02.12 database file opened
E 2017-04-20 17:20:02.12 starting reader after power up
D 2017-04-20 17:29:52.16 00:00:00.00 HR 0000_0000000180573731 A4    1  2906
D 2017-04-20 17:34:02.58 00:00:00.00 HR 0000_0000000180598569 A3    1  4150
D 2017-04-20 17:44:49.71 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-04-20 17:48:59.92 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-04-20 17:59:47.05 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-04-20 18:03:57.05 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-04-20 18:14:44.59 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-04-20 18:18:54.01 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-04-20 18:29:42.11 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-04-20 18:33:50.91 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-04-20 18:44:39.69 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-04-20 18:48:47.87 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-04-20 18:59:37.04 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-04-20 19:03:44.62 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-04-20 19:14:34.40 00:00:00.20 HR 0000_0000000180573731 A4    2  4455
D 2017-04-20 19:18:41.41 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-04-20 19:29:32.00 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-04-20 19:33:38.20 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-04-20 19:44:29.20 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-04-20 19:48:34.97 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-04-20 19:59:26.55 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-04-20 20:03:31.74 00:00:00.20 HR 0000_0000000180598569 A3    2  4452
D 2017-04-20 20:14:23.77 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-04-20 20:18:28.57 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-04-20 20:29:20.95 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-04-20 20:33:25.53 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-04-20 20:44:18.35 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-04-20 20:48:22.32 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-04-20 20:59:15.70 00:00:00.20 HR 0000_0000000180573731 A4    2  4455
D 2017-04-20 21:03:18.89 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-04-20 21:14:13.10 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-04-20 21:18:15.68 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
