ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.19 Tx A1 1.76 A2 0.75                 EA 0.71   11.8 V     3.3 V   15:09:01.21
Rx 0.20 Tx A1 1.73 A2 0.74                 EA 0.71   11.8 V     3.3 V   15:09:01.72

>up
Upload #8
Reader: DOWNSTREAM 12  Site: AA
--------- upload 8 start ---------
E 2017-04-27 15:19:26.91 upload 7 complete
E 2017-04-27 15:24:27.05 supply power ok 12.4V
E 2017-04-27 15:24:27.05 database file opened
E 2017-04-27 15:24:27.05 starting reader after power up
D 2017-04-27 15:24:36.47 00:00:03.02 HA      900_228000093608 A1   16    45
D 2017-04-27 15:24:44.02 00:00:01.42 HA      900_226000791733 A2    8    84
D 2017-04-27 15:24:46.25 00:00:00.40 HA      900_226000791733 A2    3     3
D 2017-04-27 15:24:50.36 00:00:00.40 HA      900_228000093608 A1    3    53
D 2017-04-27 15:24:52.18 00:00:00.00 HA      900_228000093608 A1    1     6
D 2017-04-27 15:24:52.58 00:00:00.00 HA      900_228000093608 A1    1     1
D 2017-04-27 15:24:52.98 00:00:00.20 HA      900_228000093608 A1    2     1
D 2017-04-27 15:25:00.23 00:00:01.01 HA      900_228000093608 A1    6    34
D 2017-04-27 15:27:32.36 00:00:00.00 HR 0000_0000000180843403 A2    1   822
D 2017-04-27 15:31:39.97 00:00:00.00 HR 0000_0000000180843440 A1    1  1979
D 2017-04-27 15:42:26.53 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-04-27 15:46:34.32 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-27 15:57:20.63 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-04-27 16:01:28.43 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-04-27 16:12:14.74 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-04-27 16:16:22.72 00:00:00.20 HR 0000_0000000180843440 A1    2  4440
D 2017-04-27 16:27:08.84 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-04-27 16:31:16.86 00:00:00.00 HR 0000_0000000180843440 A1    1  4438
D 2017-04-27 16:42:03.18 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-27 16:46:11.18 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-27 16:56:57.47 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-27 17:01:05.29 00:00:00.20 HR 0000_0000000180843440 A1    2  4439
D 2017-04-27 17:11:51.64 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-04-27 17:15:59.85 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-27 17:26:45.98 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-27 17:30:54.18 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-27 17:41:40.30 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-27 17:45:48.49 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-27 17:56:34.63 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-27 18:00:42.61 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-04-27 18:11:28.97 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-27 18:15:36.75 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-04-27 18:26:23.30 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-27 18:30:30.70 00:00:00.00 HR 0000_0000000180843440 A1    1  4438
D 2017-04-27 18:41:17.63 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-27 18:45:24.61 00:00:00.20 HR 0000_0000000180843440 A1    2  4438
D 2017-04-27 18:56:12.15 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
