ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx                 A3 0.84 A4 0.94 EA 0.55   11.6 V     3.3 V   14:55:30.66
Rx 0.20 Tx                 A3 0.84 A4 0.94 EA 0.54   11.6 V     3.3 V   14:55:31.18
Rx 0.22 Tx                 A3 0.84 A4 0.94 EA 0.55   11.6 V     3.3 V   14:55:31.69

>up
Upload #14
Reader: UPSTREAM 34  Site: AA
--------- upload 14 start ---------
E 2017-04-27 15:05:40.72 upload 13 complete
E 2017-04-27 15:15:56.36 supply power ok 12.2V
E 2017-04-27 15:15:56.36 database file opened
E 2017-04-27 15:15:56.36 starting reader after power up
E 2017-04-27 15:16:15.67 supply power ok 12.2V
E 2017-04-27 15:16:15.67 database file opened
E 2017-04-27 15:16:15.67 starting reader after power up
D 2017-04-27 15:16:23.89 00:00:00.41 HA      900_226000791733 A4    3    22
D 2017-04-27 15:16:39.30 00:00:00.00 HA      900_226000791733 A3    1    99
D 2017-04-27 15:16:40.91 00:00:00.00 HA      900_226000791733 A3    1     7
D 2017-04-27 15:16:43.13 00:00:00.21 HA      900_226000791733 A3    2    10
D 2017-04-27 15:16:43.74 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-04-27 15:16:45.95 00:00:00.00 HA      900_226000791733 A3    1    10
D 2017-04-27 15:16:47.17 00:00:00.00 HA      900_226000791733 A3    1     5
D 2017-04-27 15:16:48.17 00:00:00.00 HA      900_226000791733 A3    1     4
D 2017-04-27 15:16:48.57 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-04-27 15:26:38.12 00:00:00.00 HR 0000_0000000180573731 A4    1  3047
D 2017-04-27 15:27:23.33 00:00:00.00 HR 0000_0000000180598569 A3    1  3151
D 2017-04-27 15:41:36.29 00:00:00.00 HR 0000_0000000180573731 A4    1  4459
D 2017-04-27 15:42:20.88 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-04-27 15:56:34.43 00:00:00.20 HR 0000_0000000180573731 A4    2  4459
D 2017-04-27 15:57:18.41 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-04-27 16:11:32.55 00:00:00.00 HR 0000_0000000180573731 A4    1  4458
D 2017-04-27 16:12:15.74 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
