ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx A1 1.80                         EA 0.99   11.9 V     3.3 V   16:23:03.73
Rx 0.20 Tx A1 1.79 A2 0.74                 EA 0.72   11.9 V     3.3 V   16:23:04.26
Rx 0.20 Tx A1 1.80 A2 0.74                 EA 0.72   11.9 V     3.3 V   16:23:04.77

>up
Upload #9
Reader: DOWNSTREAM 12  Site: AA
--------- upload 9 start ---------
E 2017-05-01 15:09:16.94 upload 8 complete
E 2017-05-01 15:15:01.02 supply power ok 12.5V
E 2017-05-01 15:15:01.02 database file opened
E 2017-05-01 15:15:01.02 starting reader after power up
D 2017-05-01 15:15:09.97 00:00:00.20 HA      900_226000791702 A1    2    45
D 2017-05-01 15:15:12.59 00:00:00.60 HA      900_226000791702 A1    4     8
D 2017-05-01 15:15:29.80 00:00:01.62 HA      900_226000791733 A2    9   143
D 2017-05-01 15:16:04.74 00:00:07.25 HA      900_228000093608 A1   37   255
D 2017-05-01 15:16:30.62 00:00:01.00 HA      900_226000791733 A2    6   293
D 2017-05-01 15:21:33.28 00:00:00.00 HR 0000_0000000180843403 A2    1  1497
D 2017-05-01 15:23:40.64 00:00:00.00 HR 0000_0000000180843440 A1    1  2227
D 2017-05-01 15:36:27.54 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 15:38:35.13 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-01 15:51:21.91 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 15:53:29.88 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-05-01 16:06:16.01 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 16:08:24.18 00:00:00.20 HR 0000_0000000180843440 A1    2  4440
D 2017-05-01 16:21:10.12 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 16:23:18.89 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-01 16:36:04.19 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 16:38:13.56 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-05-01 16:50:58.08 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2017-05-01 16:53:08.27 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-05-01 17:05:52.35 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 17:08:03.15 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-05-01 17:20:46.60 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 17:22:57.79 00:00:00.21 HR 0000_0000000180843440 A1    2  4442
D 2017-05-01 17:35:40.70 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 17:37:52.49 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-01 17:50:34.79 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 17:52:47.19 00:00:00.20 HR 0000_0000000180843440 A1    2  4442
D 2017-05-01 18:05:28.88 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 18:07:41.88 00:00:00.21 HR 0000_0000000180843440 A1    2  4441
D 2017-05-01 18:20:22.97 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 18:22:36.78 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-05-01 18:35:17.06 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 18:37:31.66 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-05-01 18:50:11.13 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 18:52:26.55 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-05-01 19:05:05.40 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 19:07:21.63 00:00:00.00 HR 0000_0000000180843440 A1    1  4444
D 2017-05-01 19:19:59.73 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 19:22:16.96 00:00:00.00 HR 0000_0000000180843440 A1    1  4445
D 2017-05-01 19:34:54.05 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 19:37:11.89 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-05-01 19:49:48.54 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-01 19:52:06.58 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-05-01 20:04:42.89 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 20:07:01.54 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-05-01 20:19:37.25 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 20:21:56.30 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-05-01 20:34:31.58 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 20:36:50.82 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-01 20:49:25.90 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 20:51:45.36 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-01 21:04:20.24 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 21:06:39.91 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-01 21:19:14.42 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 21:21:34.47 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-01 21:34:08.56 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 21:36:28.84 00:00:00.21 HR 0000_0000000180843440 A1    2  4440
D 2017-05-01 21:49:02.94 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 21:51:23.43 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-01 22:03:57.11 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 22:06:17.96 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-01 22:18:51.42 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 22:21:12.49 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-01 22:33:45.78 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 22:36:07.05 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-01 22:48:40.11 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 22:51:01.38 00:00:00.20 HR 0000_0000000180843440 A1    2  4440
D 2017-05-01 23:03:34.24 00:00:00.20 HR 0000_0000000180843403 A2    2  4439
D 2017-05-01 23:05:55.91 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-01 23:18:28.57 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 23:20:50.25 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-01 23:33:22.92 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-01 23:35:44.78 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-01 23:48:17.04 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-01 23:50:39.29 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-02 00:03:11.15 00:00:00.20 HR 0000_0000000180843403 A2    2  4439
D 2017-05-02 00:05:33.83 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-02 00:18:05.75 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-02 00:20:28.43 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-02 00:32:59.88 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-02 00:35:22.95 00:00:00.21 HR 0000_0000000180843440 A1    2  4441
D 2017-05-02 00:47:54.22 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-02 00:50:17.49 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-02 01:02:48.54 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-02 01:05:11.82 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-02 01:17:42.90 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-02 01:20:06.19 00:00:00.20 HR 0000_0000000180843440 A1    2  4440
D 2017-05-02 01:32:37.27 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-02 01:35:00.75 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-02 01:47:31.38 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-02 01:49:55.28 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-02 02:02:25.72 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-02 02:04:49.61 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-02 02:17:19.89 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-02 02:19:44.19 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-02 02:32:14.42 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-02 02:34:38.71 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-02 02:47:08.93 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-02 02:49:33.40 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-05-02 03:02:03.43 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-02 03:04:27.91 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-02 03:16:57.74 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-02 03:19:22.21 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-02 03:31:52.22 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-02 03:34:16.51 00:00:00.20 HR 0000_0000000180843440 A1    2  4440
D 2017-05-02 03:46:46.72 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-02 03:49:10.82 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-05-02 04:01:41.25 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-02 04:04:05.33 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-02 04:16:35.72 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-02 04:18:59.80 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-02 04:31:30.22 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-02 04:33:54.13 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-02 04:46:24.54 00:00:00.20 HR 0000_0000000180843403 A2    2  4440
D 2017-05-02 04:48:48.43 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-02 05:01:19.06 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-02 05:03:42.74 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
