ad
                           supply                    supply     clock
                            amps                      volts     volts
                        A3 0.88         EA 0.43   11.8 V     3.3 V   15:57:09.19
Rx 0.22 Tx                 A3 0.88 A4 0.96 EA 0.56   11.8 V     3.3 V   15:57:09.70
Rx 0.20 Tx                 A3 0.88 A4 0.96 EA 0.55   11.8 V     3.3 V   15:57:10.22
Rx 0.21 Tx                 A3 0.88 A4 0.96 EA 0.56   11.8 V     3.3 V   15:57:10.73

>up
Upload #15
Reader: UPSTREAM 34  Site: AA
--------- upload 15 start ---------
E 2017-05-01 14:55:43.65 upload 14 complete
E 2017-05-01 15:04:29.76 supply power ok 12.4V
E 2017-05-01 15:04:29.76 database file opened
E 2017-05-01 15:04:29.77 starting reader after power up
D 2017-05-01 15:04:53.51 00:00:00.00 HA      900_226000791702 A4    1    99
D 2017-05-01 15:04:55.13 00:00:00.00 HA      900_226000791702 A4    1     7
D 2017-05-01 15:04:57.55 00:00:00.00 HA      900_226000791702 A4    1    11
D 2017-05-01 15:04:59.36 00:00:00.00 HA      900_226000791702 A4    1     8
D 2017-05-01 15:04:59.96 00:00:00.00 HA      900_226000791702 A4    1     2
D 2017-05-01 15:05:01.58 00:00:00.41 HA      900_226000791702 A4    3     7
D 2017-05-01 15:05:05.01 00:00:00.00 HA      900_228000093608 A4    1    14
D 2017-05-01 15:05:05.41 00:00:00.00 HA      900_228000093608 A4    1     1
D 2017-05-01 15:05:05.42 00:00:00.00 HA      900_228000093608 A4    1     4
D 2017-05-01 15:05:07.03 00:00:00.80 HA      900_228000093608 A4    5     2
D 2017-05-01 15:07:26.08 00:00:00.00 HR 0000_0000000180598569 A3    1   857
D 2017-05-01 15:09:22.37 00:00:00.00 HR 0000_0000000180573731 A4    1  1263
D 2017-05-01 15:22:23.19 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-01 15:24:20.08 00:00:00.00 HR 0000_0000000180573731 A4    1  4457
D 2017-05-01 15:37:20.27 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-01 15:39:17.56 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-01 15:52:17.43 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-01 15:54:15.14 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-01 16:07:15.15 00:00:00.00 HR 0000_0000000180598569 A3    1  4457
D 2017-05-01 16:09:13.26 00:00:00.00 HR 0000_0000000180573731 A4    1  4459
D 2017-05-01 16:22:12.67 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-01 16:24:11.38 00:00:00.00 HR 0000_0000000180573731 A4    1  4459
D 2017-05-01 16:37:09.96 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-01 16:39:09.08 00:00:00.00 HR 0000_0000000180573731 A4    1  4457
D 2017-05-01 16:52:07.48 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-01 16:54:06.59 00:00:00.20 HR 0000_0000000180573731 A4    2  4456
D 2017-05-01 17:07:04.75 00:00:00.20 HR 0000_0000000180598569 A3    2  4455
D 2017-05-01 17:09:04.29 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
