ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx         A2 0.83                 EA 0.51   12.6 V     3.3 V   15:28:46.92
Rx 0.20 Tx A1 1.85 A2 0.83                 EA 0.75   12.6 V     3.3 V   15:28:47.45
Rx 0.20 Tx A1 1.82 A2 0.83                 EA 0.75   12.6 V     3.3 V   15:28:47.96

>up
Upload #12
Reader: DOWNSTREAM 12  Site: AA
--------- upload 12 start ---------
E 2017-05-08 14:30:07.12 upload 11 complete
E 2017-05-08 14:35:26.97 supply power ok 12.6V
E 2017-05-08 14:35:26.97 database file opened
E 2017-05-08 14:35:26.97 starting reader after power up
D 2017-05-08 14:35:53.31 00:00:00.40 HA      900_226000791733 A1    3   132
D 2017-05-08 14:35:55.71 00:00:00.00 HA      900_226000791733 A1    1     4
D 2017-05-08 14:36:14.55 00:00:00.40 HA      900_226000791733 A2    3   238
D 2017-05-08 14:36:34.50 00:00:00.00 HA      900_226000791733 A2    1    96
D 2017-05-08 14:36:35.70 00:00:00.61 HA      900_226000791733 A2    4     5
D 2017-05-08 14:36:37.32 00:00:00.20 HA      900_226000791733 A2    2     4
D 2017-05-08 14:36:40.34 00:00:03.02 HA      900_226000791733 A2   16    13
D 2017-05-08 14:43:30.02 00:00:00.00 HR 0000_0000000180843403 A2    1  2019
D 2017-05-08 14:43:30.62 00:00:00.20 HR 0000_0000000180843403 A2    2     2
D 2017-05-08 14:43:31.23 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:43:31.63 00:00:00.61 HR 0000_0000000180843403 A2    4     1
D 2017-05-08 14:43:32.84 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:43:35.05 00:00:00.00 HR 0000_0000000180843403 A2    1    10
D 2017-05-08 14:43:35.65 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:43:36.05 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:43:36.45 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:43:38.06 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:43:37.66 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:43:39.67 00:00:00.00 HR 0000_0000000180843403 A2    1     9
D 2017-05-08 14:43:40.08 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:43:40.48 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:43:43.10 00:00:00.60 HR 0000_0000000180843403 A2    4    12
D 2017-05-08 14:43:44.31 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:43:45.91 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:43:49.13 00:00:00.00 HR 0000_0000000180843403 A2    1    20
D 2017-05-08 14:43:49.73 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:43:50.14 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:43:51.74 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:43:51.95 00:00:00.00 HR 0000_0000000180843403 A2    1     5
D 2017-05-08 14:43:52.35 00:00:00.20 HR 0000_0000000180843403 A2    2     1
D 2017-05-08 14:43:53.96 00:00:00.00 HR 0000_0000000180843403 A2    1     6
D 2017-05-08 14:43:54.57 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:43:55.17 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:43:55.77 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:44:05.63 00:00:00.00 HR 0000_0000000180843403 A2    1    48
D 2017-05-08 14:44:06.04 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:44:06.64 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:44:08.65 00:00:00.00 HR 0000_0000000180843403 A2    1     9
D 2017-05-08 14:44:09.06 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:44:31.19 00:00:00.00 HR 0000_0000000180843403 A2    1   109
D 2017-05-08 14:44:35.21 00:00:00.00 HR 0000_0000000180843403 A2    1    19
D 2017-05-08 14:44:46.69 00:00:00.20 HR 0000_0000000180843403 A2    2    56
D 2017-05-08 14:44:47.69 00:00:00.00 HR 0000_0000000180843403 A2    1     3
D 2017-05-08 14:44:48.10 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:44:48.50 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:44:56.35 00:00:00.20 HR 0000_0000000180843403 A2    2    38
D 2017-05-08 14:44:57.15 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2017-05-08 14:44:57.55 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:44:57.95 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:45:00.17 00:00:00.00 HR 0000_0000000180843403 A2    1     5
D 2017-05-08 14:44:59.57 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:45:05.41 00:00:00.20 HR 0000_0000000180843403 A2    2    28
D 2017-05-08 14:45:07.02 00:00:00.00 HR 0000_0000000180843403 A2    1     6
D 2017-05-08 14:45:07.41 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:45:07.81 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:45:09.02 00:00:00.00 HR 0000_0000000180843403 A2    1     5
D 2017-05-08 14:45:27.14 00:00:00.00 HR 0000_0000000180843403 A2    1    89
D 2017-05-08 14:45:27.54 00:00:00.00 HR 0000_0000000180843403 A2    1     1
D 2017-05-08 14:49:11.39 00:00:00.00 HR 0000_0000000180843440 A1    1  3957
D 2017-05-08 15:00:21.90 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-08 15:04:06.07 00:00:00.00 HR 0000_0000000180843440 A1    1  4444
D 2017-05-08 15:15:16.03 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-08 15:19:00.50 00:00:00.20 HR 0000_0000000180843440 A1    2  4441
E 2017-05-08 15:28:28.22 supply power ok 12.6V
E 2017-05-08 15:28:28.22 database file opened
E 2017-05-08 15:28:28.22 starting reader after power up
--------- upload 12 done ---------
70 records

>
