ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.22 Tx A1 1.81 A2 0.83                 EA 0.77   12.9 V     3.3 V   15:57:16.02
Rx 0.21 Tx A1 1.83 A2 0.83                 EA 0.77   12.9 V     3.3 V   15:57:16.53
Rx 0.20 Tx A1 1.81 A2 0.84                 EA 0.75   12.9 V     3.3 V   15:57:17.05

>up
Upload #15
Reader: DOWNSTREAM 12  Site: AA
--------- upload 15 start ---------
E 2017-05-15 12:08:53.39 upload 14 complete
E 2017-05-15 12:09:22.12 supply power ok 13.0V
E 2017-05-15 12:09:22.13 database file opened
E 2017-05-15 12:09:22.13 starting reader after power up
D 2017-05-15 12:28:55.47 00:00:00.00 HR 0000_0000000180843440 A2    1  5828
D 2017-05-15 12:28:56.08 00:00:00.00 HR 0000_0000000180843440 A2    1     2
D 2017-05-15 12:28:56.48 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2017-05-15 12:28:59.90 00:00:00.00 HR 0000_0000000180843440 A2    1    16
D 2017-05-15 12:29:00.91 00:00:00.20 HR 0000_0000000180843440 A2    2     4
D 2017-05-15 12:29:01.51 00:00:00.20 HR 0000_0000000180843440 A2    2     1
D 2017-05-15 12:30:05.36 00:00:00.00 HR 0000_0000000180843440 A2    1   315
D 2017-05-15 12:30:06.16 00:00:00.00 HR 0000_0000000180843440 A2    1     3
D 2017-05-15 12:30:06.56 00:00:00.40 HR 0000_0000000180843440 A2    3     1
D 2017-05-15 12:30:07.77 00:00:00.00 HR 0000_0000000180843440 A2    1     3
D 2017-05-15 12:30:08.38 00:00:00.00 HR 0000_0000000180843440 A2    1     2
D 2017-05-15 12:30:09.98 00:00:00.00 HR 0000_0000000180843440 A2    1     2
D 2017-05-15 12:30:09.38 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2017-05-15 12:30:09.78 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2017-05-15 12:30:10.19 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2017-05-15 12:30:10.59 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2017-05-15 12:30:20.66 00:00:00.20 HR 0000_0000000180843440 A2    2    49
D 2017-05-15 12:30:21.47 00:00:00.00 HR 0000_0000000180843440 A2    1     2
D 2017-05-15 12:30:22.07 00:00:00.20 HR 0000_0000000180843440 A2    2     2
D 2017-05-15 12:30:22.67 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2017-05-15 12:31:23.30 00:00:00.00 HR 0000_0000000180843440 A2    1   300
D 2017-05-15 12:31:23.90 00:00:00.00 HR 0000_0000000180843440 A2    1     2
