ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                         A4 0.94 EA 0.57   11.7 V     3.3 V   13:32:18.34
Rx 0.21 Tx                 A3 0.80 A4 0.95 EA 0.54   11.7 V     3.3 V   13:32:18.86
Rx 0.20 Tx                 A3 0.80 A4 0.95 EA 0.53   11.7 V     3.3 V   13:32:19.38

>up
Upload #26
Reader: UPSTREAM 34  Site: AA
--------- upload 26 start ---------
E 2017-05-18 13:37:35.60 upload 25 complete
E 2017-05-18 13:45:18.08 supply power ok 12.5V
E 2017-05-18 13:45:18.08 database file opened
E 2017-05-18 13:45:18.08 starting reader after power up
D 2017-05-18 13:46:33.54 00:00:00.00 HR 0000_0000000180573731 A4    1   350
D 2017-05-18 13:47:13.50 00:00:00.00 HR 0000_0000000180598569 A3    1   550
D 2017-05-18 14:01:33.45 00:00:00.00 HR 0000_0000000180573731 A4    1  4468
D 2017-05-18 14:02:12.62 00:00:00.00 HR 0000_0000000180598569 A3    1  4464
D 2017-05-18 14:12:14.91 00:00:00.00 HR 0000_0000000180598569 A3    1  2990
D 2017-05-18 14:12:15.52 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-05-18 14:12:15.13 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-05-18 14:12:17.33 00:00:00.00 HR 0000_0000000180598569 A3    1     5
D 2017-05-18 14:12:17.93 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-05-18 14:12:19.35 00:00:00.00 HR 0000_0000000180598569 A3    1     6
D 2017-05-18 14:12:20.75 00:00:00.00 HR 0000_0000000180598569 A3    1     6
D 2017-05-18 14:12:22.37 00:00:00.00 HR 0000_0000000180598569 A3    1     7
D 2017-05-18 14:12:29.02 00:00:00.00 HR 0000_0000000180598569 A3    1    32
D 2017-05-18 14:12:30.22 00:00:00.00 HR 0000_0000000180598569 A3    1     5
D 2017-05-18 14:12:32.64 00:00:00.00 HR 0000_0000000180598569 A3    1    11
D 2017-05-18 14:12:34.05 00:00:00.00 HR 0000_0000000180598569 A3    1     6
D 2017-05-18 14:12:35.66 00:00:00.00 HR 0000_0000000180598569 A3    1     7
D 2017-05-18 14:12:37.68 00:00:00.00 HR 0000_0000000180598569 A3    1     9
D 2017-05-18 14:12:39.49 00:00:00.00 HR 0000_0000000180598569 A3    1     8
D 2017-05-18 14:12:43.12 00:00:00.00 HR 0000_0000000180598569 A3    1    17
D 2017-05-18 14:12:44.53 00:00:00.00 HR 0000_0000000180598569 A3    1     6
D 2017-05-18 14:12:46.14 00:00:00.00 HR 0000_0000000180598569 A3    1     7
D 2017-05-18 14:12:48.75 00:00:00.00 HR 0000_0000000180598569 A3    1    12
D 2017-05-18 14:12:53.60 00:00:00.00 HR 0000_0000000180598569 A3    1    23
D 2017-05-18 14:12:56.62 00:00:00.00 HR 0000_0000000180598569 A3    1    14
D 2017-05-18 14:12:59.24 00:00:00.00 HR 0000_0000000180598569 A3    1    12
D 2017-05-18 14:13:01.24 00:00:00.00 HR 0000_0000000180598569 A3    1     9
D 2017-05-18 14:13:03.66 00:00:00.00 HR 0000_0000000180598569 A3    1    11
D 2017-05-18 14:13:13.12 00:00:00.00 HR 0000_0000000180598569 A3    1    46
D 2017-05-18 14:13:13.93 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-05-18 14:13:15.55 00:00:00.40 HR 0000_0000000180598569 A3    3     7
D 2017-05-18 14:13:16.55 00:00:00.40 HR 0000_0000000180598569 A3    3     2
D 2017-05-18 14:13:19.37 00:00:00.00 HR 0000_0000000180598569 A3    1    11
D 2017-05-18 14:13:19.18 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-05-18 14:13:21.39 00:00:00.00 HR 0000_0000000180598569 A3    1     5
D 2017-05-18 14:13:23.60 00:00:00.00 HR 0000_0000000180598569 A3    1    10
D 2017-05-18 14:13:25.01 00:00:00.00 HR 0000_0000000180598569 A3    1     6
D 2017-05-18 14:13:26.82 00:00:00.00 HR 0000_0000000180598569 A3    1     8
D 2017-05-18 14:13:29.85 00:00:00.00 HR 0000_0000000180598569 A3    1    14
D 2017-05-18 14:13:30.66 00:00:00.20 HR 0000_0000000180598569 A3    2     3
D 2017-05-18 14:13:53.41 00:00:00.20 HA      900_226000791733 A3    2   111
D 2017-05-18 14:13:53.02 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-05-18 14:13:54.62 00:00:00.00 HA      900_226000791733 A3    1     2
D 2017-05-18 14:13:56.63 00:00:00.00 HA      900_226000791733 A3    1     9
D 2017-05-18 14:13:56.04 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-05-18 14:13:56.45 00:00:01.20 HA      900_226000791733 A3    2     1
D 2017-05-18 14:13:58.66 00:00:00.00 HA      900_226000791733 A3    1     4
D 2017-05-18 14:13:58.26 00:00:00.00 HA      900_226000791733 A3    1     2
D 2017-05-18 14:14:02.29 00:00:00.00 HA      900_226000791733 A3    1    14
D 2017-05-18 14:14:02.89 00:00:00.00 HA      900_226000791733 A3    1     2
D 2017-05-18 14:14:03.69 00:00:00.00 HA      900_226000791733 A3    1     3
D 2017-05-18 14:14:03.50 00:00:02.20 HA      900_226000791733 A3    2     3
D 2017-05-18 14:14:06.91 00:00:00.00 HA      900_226000791733 A3    1     5
D 2017-05-18 14:14:06.31 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-05-18 14:14:06.71 00:00:00.20 HA      900_226000791733 A3    2     1
D 2017-05-18 14:14:07.52 00:00:00.00 HA      900_226000791733 A3    1     2
D 2017-05-18 14:14:07.92 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-05-18 14:14:39.54 00:00:00.00 HR 0000_0000000180598569 A3    1   156
D 2017-05-18 14:14:42.56 00:00:00.00 HR 0000_0000000180598569 A3    1    14
D 2017-05-18 14:14:45.58 00:00:00.00 HR 0000_0000000180598569 A3    1    14
D 2017-05-18 14:14:48.00 00:00:00.00 HR 0000_0000000180598569 A3    1    11
D 2017-05-18 14:14:54.04 00:00:00.00 HR 0000_0000000180598569 A3    1    29
D 2017-05-18 14:14:54.84 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-05-18 14:14:56.65 00:00:00.00 HR 0000_0000000180598569 A3    1     8
D 2017-05-18 14:14:58.86 23:59:59.21 HR 0000_0000000180598569 A3    2     5
D 2017-05-18 14:14:58.87 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-05-18 14:14:59.68 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-05-18 14:15:01.89 00:00:00.00 HR 0000_0000000180598569 A3    1     5
D 2017-05-18 14:15:10.96 00:00:00.00 HR 0000_0000000180598569 A3    1    49
D 2017-05-18 14:15:11.76 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-05-18 14:15:13.78 00:00:00.00 HR 0000_0000000180598569 A3    1     9
D 2017-05-18 14:15:17.40 00:00:00.00 HR 0000_0000000180598569 A3    1    17
D 2017-05-18 14:15:31.30 00:00:00.00 HR 0000_0000000180598569 A3    1    68
D 2017-05-18 14:15:31.90 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-05-18 14:15:32.50 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-05-18 14:15:32.11 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-05-18 14:15:36.33 00:00:00.00 HR 0000_0000000180598569 A3    1    15
D 2017-05-18 14:15:36.93 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-05-18 14:15:37.54 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-05-18 14:15:37.34 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-05-18 14:15:40.36 00:00:00.00 HR 0000_0000000180598569 A3    1     9
D 2017-05-18 14:15:42.77 00:00:00.00 HR 0000_0000000180598569 A3    1    11
D 2017-05-18 14:15:44.99 00:00:00.00 HR 0000_0000000180598569 A3    1    10
D 2017-05-18 14:15:47.42 00:00:00.00 HR 0000_0000000180598569 A3    1    11
D 2017-05-18 14:15:48.62 00:00:00.00 HR 0000_0000000180598569 A3    1     5
D 2017-05-18 14:15:59.70 00:00:00.00 HR 0000_0000000180598569 A3    1    54
D 2017-05-18 14:16:01.51 00:00:00.00 HR 0000_0000000180598569 A3    1     8
D 2017-05-18 14:16:01.12 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-05-18 14:16:03.32 00:00:00.00 HR 0000_0000000180598569 A3    1     5
D 2017-05-18 14:16:03.13 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-05-18 14:16:04.93 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-05-18 14:16:05.74 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-05-18 14:16:05.55 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-05-18 14:16:07.96 00:00:00.00 HR 0000_0000000180598569 A3    1     6
D 2017-05-18 14:16:09.37 00:00:00.00 HR 0000_0000000180598569 A3    1     6
D 2017-05-18 14:16:10.78 00:00:00.00 HR 0000_0000000180598569 A3    1     6
D 2017-05-18 14:16:12.20 00:00:00.00 HR 0000_0000000180598569 A3    1     6
D 2017-05-18 14:16:15.02 00:00:00.00 HR 0000_0000000180598569 A3    1    13
D 2017-05-18 14:16:22.86 00:00:00.00 HR 0000_0000000180598569 A3    1    38
D 2017-05-18 14:16:24.48 00:00:00.00 HR 0000_0000000180598569 A3    1     7
