ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx A1 1.58 A2 0.80                 EA 0.69   11.7 V     3.3 V   13:25:25.05
Rx 0.22 Tx A1 1.65 A2 0.80                 EA 0.72   11.7 V     3.3 V   13:25:25.56
Rx 0.20 Tx A1 1.64 A2 0.80                 EA 0.71   11.7 V     3.3 V   13:25:26.08

>up
Upload #20
Reader: DOWNSTREAM 12  Site: AA
--------- upload 20 start ---------
E 2017-05-23 13:33:56.38 upload 19 complete
E 2017-05-23 13:34:28.79 supply power ok 12.0V
E 2017-05-23 13:34:28.79 database file opened
E 2017-05-23 13:34:28.79 starting reader after power up
D 2017-05-23 13:37:11.92 00:00:00.00 HR 0000_0000000180843440 A2    1   812
D 2017-05-23 13:43:47.96 00:00:00.00 HR 0000_0000000180843403 A1    1  2777
D 2017-05-23 13:52:07.32 00:00:00.20 HR 0000_0000000180843440 A2    2  4445
D 2017-05-23 13:58:41.94 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-23 14:07:02.86 00:00:00.21 HR 0000_0000000180843440 A2    2  4445
D 2017-05-23 14:13:35.67 00:00:00.20 HR 0000_0000000180843403 A1    2  4437
D 2017-05-23 14:21:58.43 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-05-23 14:28:29.61 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-23 14:36:53.76 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-05-23 14:43:23.53 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-23 14:51:49.10 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-05-23 14:58:17.27 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-23 15:06:44.64 00:00:00.00 HR 0000_0000000180843440 A2    1  4446
D 2017-05-23 15:13:11.19 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-23 15:21:40.18 00:00:00.00 HR 0000_0000000180843440 A2    1  4446
D 2017-05-23 15:28:05.14 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-23 15:36:35.54 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-05-23 15:42:59.11 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-23 15:51:31.32 00:00:00.00 HR 0000_0000000180843440 A2    1  4447
D 2017-05-23 15:57:53.25 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-05-23 16:06:26.85 00:00:00.00 HR 0000_0000000180843440 A2    1  4446
D 2017-05-23 16:12:47.16 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-23 16:21:22.60 00:00:00.00 HR 0000_0000000180843440 A2    1  4447
D 2017-05-23 16:27:41.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-23 16:36:18.52 00:00:00.00 HR 0000_0000000180843440 A2    1  4448
D 2017-05-23 16:42:35.21 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-05-23 16:51:14.10 00:00:00.00 HR 0000_0000000180843440 A2    1  4446
D 2017-05-23 16:57:29.18 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-23 17:06:09.45 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-05-23 17:12:23.12 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-23 17:21:04.98 00:00:00.00 HR 0000_0000000180843440 A2    1  4446
D 2017-05-23 17:27:17.24 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-05-23 17:36:00.35 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-05-23 17:42:11.18 00:00:00.20 HR 0000_0000000180843403 A1    2  4438
D 2017-05-23 17:50:55.50 00:00:00.00 HR 0000_0000000180843440 A2    1  4444
D 2017-05-23 17:57:05.32 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-23 18:05:50.81 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-05-23 18:11:59.44 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-05-23 18:20:46.16 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-05-23 18:26:53.55 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-05-23 18:35:41.26 00:00:00.00 HR 0000_0000000180843440 A2    1  4444
D 2017-05-23 18:41:47.66 00:00:00.20 HR 0000_0000000180843403 A1    2  4439
D 2017-05-23 18:50:36.17 00:00:00.00 HR 0000_0000000180843440 A2    1  4443
D 2017-05-23 18:56:41.98 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-05-23 19:05:30.89 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-05-23 19:11:36.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-05-23 19:20:25.59 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-05-23 19:26:30.36 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-05-23 19:35:20.11 00:00:00.20 HR 0000_0000000180843440 A2    2  4441
