ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx                 A3 0.82 A4 0.98 EA 0.55   12.5 V     3.3 V   14:34:19.43
Rx 0.21 Tx                 A3 0.83 A4 0.99 EA 0.56   12.5 V     3.3 V   14:34:19.94
Rx 0.21 Tx                 A3 0.83 A4 0.99 EA 0.55   12.5 V     3.3 V   14:34:20.47

>up
Upload #29
Reader: UPSTREAM 34  Site: AA
--------- upload 29 start ---------
E 2017-05-25 13:15:32.08 upload 28 complete
E 2017-05-25 13:21:37.05 supply power ok 12.5V
E 2017-05-25 13:21:37.05 database file opened
E 2017-05-25 13:21:37.05 starting reader after power up
D 2017-05-25 13:22:02.21 00:00:00.00 HA      900_226000791733 A4    1   101
D 2017-05-25 13:22:04.22 00:00:00.00 HA      900_226000791733 A4    1     9
D 2017-05-25 13:22:07.04 00:00:00.00 HA      900_226000791733 A4    1    13
D 2017-05-25 13:22:09.06 00:00:01.01 HA      900_226000791733 A4    6     9
D 2017-05-25 13:22:10.47 00:00:00.41 HA      900_226000791733 A4    3     1
D 2017-05-25 13:22:11.69 00:00:00.00 HA      900_226000791733 A4    1     3
D 2017-05-25 13:22:11.09 00:00:00.00 HA      900_226000791733 A4    1     1
D 2017-05-25 13:22:11.49 00:00:02.40 HA      900_226000791733 A4    3     1
D 2017-05-25 13:22:15.73 00:00:00.00 HA      900_226000791733 A4    1    13
D 2017-05-25 13:22:18.96 00:00:01.00 HA      900_226000791733 A4    6    15
D 2017-05-25 13:22:20.37 00:00:00.81 HA      900_226000791733 A4    5     1
D 2017-05-25 13:22:21.79 00:00:00.20 HA      900_226000791733 A4    2     2
D 2017-05-25 13:22:31.46 00:00:02.83 HA      900_226000791733 A4   15    46
D 2017-05-25 13:22:40.33 00:00:00.40 HA      900_226000791733 A4    3    29
D 2017-05-25 13:22:42.16 00:00:00.00 HA      900_226000791733 A4    1     6
D 2017-05-25 13:22:42.56 00:00:00.00 HA      900_226000791733 A4    1     1
D 2017-05-25 13:22:44.17 00:00:00.80 HA      900_226000791733 A4    5     7
D 2017-05-25 13:22:45.58 00:00:00.40 HA      900_226000791733 A4    3     2
D 2017-05-25 13:23:04.82 00:00:00.00 HA      900_226000791733 A3    1   412
D 2017-05-25 13:23:05.22 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-05-25 13:23:05.62 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-05-25 13:23:08.04 00:00:00.00 HA      900_226000791733 A3    1    11
D 2017-05-25 13:23:08.84 00:00:00.00 HA      900_226000791733 A3    1     3
D 2017-05-25 13:23:12.27 00:00:00.00 HA      900_226000791733 A3    1    16
D 2017-05-25 13:23:12.87 23:59:59.21 HA      900_226000791733 A3    2     2
D 2017-05-25 13:23:13.48 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-05-25 13:23:13.29 00:00:02.20 HA      900_226000791733 A3    7     3
D 2017-05-25 13:23:15.11 00:00:00.20 HA      900_226000791733 A3    2     2
D 2017-05-25 13:23:18.91 00:00:00.00 HA      900_226000791733 A3    1    12
D 2017-05-25 13:23:19.33 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-05-25 13:23:19.73 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-05-25 13:23:19.14 00:00:00.20 HA      900_226000791733 A3    2     1
D 2017-05-25 13:33:21.80 00:00:00.00 HR 0000_0000000180598569 A3    1  2986
D 2017-05-25 13:36:44.29 00:00:00.40 HA      900_226000791733 A4    3  4162
D 2017-05-25 13:36:46.90 23:59:59.40 HA      900_226000791733 A4    3     5
D 2017-05-25 13:48:18.32 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-25 13:49:38.16 00:00:00.00 HR 0000_0000000180573731 A4    1  3832
D 2017-05-25 14:03:14.85 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-25 14:04:35.09 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-25 14:18:11.42 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-25 14:19:32.07 00:00:00.20 HR 0000_0000000180573731 A4    2  4453
D 2017-05-25 14:33:07.96 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-25 14:34:29.22 00:00:00.20 HR 0000_0000000180573731 A4    2  4453
D 2017-05-25 14:48:04.33 00:00:00.00 HR 0000_0000000180598569 A3    1  4450
D 2017-05-25 14:49:26.38 00:00:00.21 HR 0000_0000000180573731 A4    2  4453
D 2017-05-25 15:03:01.08 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-25 15:04:23.75 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-25 15:19:20.90 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-25 15:32:54.22 00:00:00.00 HR 0000_0000000180598569 A3    1  8903
D 2017-05-25 15:34:18.08 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-25 15:49:15.21 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
