ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.19 Tx A1 1.78 A2 0.70                 EA 0.71   11.7 V     3.3 V   11:56:31.11
Rx 0.19 Tx A1 1.78 A2 0.70                 EA 0.71   11.7 V     3.3 V   11:56:31.62
Rx 0.20 Tx A1 1.79 A2 0.69                 EA 0.72   11.7 V     3.3 V   11:56:32.13

>up
Upload #28
Reader: DOWNSTREAM 12  Site: AA
--------- upload 28 start ---------
E 2017-06-12 13:39:55.37 upload 27 complete
E 2017-06-12 13:41:06.22 supply power ok 11.7V
E 2017-06-12 13:41:06.22 database file opened
E 2017-06-12 13:41:06.22 starting reader after power up
E 2017-06-12 13:50:45.44 supply power ok 12.5V
E 2017-06-12 13:50:45.44 database file opened
E 2017-06-12 13:50:45.44 starting reader after power up
D 2017-06-12 13:50:53.66 00:00:00.80 HA      900_226000791733 A1    5    37
D 2017-06-12 13:50:54.86 00:00:00.41 HA      900_226000791733 A1    3     1
D 2017-06-12 13:51:06.85 00:00:00.20 HA      900_226000791733 A2    2   103
D 2017-06-12 13:51:07.85 00:00:00.21 HA      900_226000791733 A2    2     3
D 2017-06-12 13:51:22.85 00:00:00.00 HR 0000_0000000180843403 A1    1   135
D 2017-06-12 14:02:13.57 00:00:00.00 HR 0000_0000000180843440 A2    1  3304
D 2017-06-12 14:06:16.92 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-12 14:17:13.14 00:00:00.00 HR 0000_0000000180843440 A2    1  4466
D 2017-06-12 14:21:10.86 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-12 14:32:12.72 00:00:00.00 HR 0000_0000000180843440 A2    1  4466
D 2017-06-12 14:36:05.04 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-12 14:47:12.36 00:00:00.00 HR 0000_0000000180843440 A2    1  4466
D 2017-06-12 14:50:59.02 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-12 15:02:11.99 00:00:00.00 HR 0000_0000000180843440 A2    1  4466
D 2017-06-12 15:05:52.81 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-12 15:17:11.41 00:00:00.00 HR 0000_0000000180843440 A2    1  4465
D 2017-06-12 15:20:46.78 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-12 15:32:11.17 00:00:00.00 HR 0000_0000000180843440 A2    1  4467
D 2017-06-12 15:35:40.73 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-12 15:47:11.01 00:00:00.00 HR 0000_0000000180843440 A2    1  4467
D 2017-06-12 15:50:34.50 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-12 16:02:11.02 00:00:00.00 HR 0000_0000000180843440 A2    1  4468
D 2017-06-12 16:05:28.27 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-12 16:17:10.81 00:00:00.00 HR 0000_0000000180843440 A2    1  4467
D 2017-06-12 16:20:22.04 00:00:00.20 HR 0000_0000000180843403 A1    2  4437
D 2017-06-12 16:32:10.83 00:00:00.00 HR 0000_0000000180843440 A2    1  4468
D 2017-06-12 16:35:15.98 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-12 16:47:10.43 00:00:00.20 HR 0000_0000000180843440 A2    2  4466
D 2017-06-12 16:50:09.78 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-12 17:02:09.85 00:00:00.00 HR 0000_0000000180843440 A2    1  4464
D 2017-06-12 17:05:03.74 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-12 17:17:08.82 00:00:00.00 HR 0000_0000000180843440 A2    1  4463
D 2017-06-12 17:19:57.66 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-12 17:32:07.76 00:00:00.00 HR 0000_0000000180843440 A2    1  4463
D 2017-06-12 17:34:51.58 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-12 17:47:06.38 00:00:00.00 HR 0000_0000000180843440 A2    1  4461
D 2017-06-12 17:49:45.39 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-12 18:02:04.77 00:00:00.00 HR 0000_0000000180843440 A2    1  4460
D 2017-06-12 18:04:39.14 00:00:00.20 HR 0000_0000000180843403 A1    2  4437
D 2017-06-12 18:17:02.76 00:00:00.00 HR 0000_0000000180843440 A2    1  4458
D 2017-06-12 18:19:33.28 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-12 18:32:00.73 00:00:00.00 HR 0000_0000000180843440 A2    1  4458
D 2017-06-12 18:34:27.03 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-12 18:46:58.29 00:00:00.00 HR 0000_0000000180843440 A2    1  4456
D 2017-06-12 18:49:20.77 00:00:00.20 HR 0000_0000000180843403 A1    2  4437
D 2017-06-12 19:01:55.46 00:00:00.20 HR 0000_0000000180843440 A2    2  4454
D 2017-06-12 19:04:14.52 00:00:00.20 HR 0000_0000000180843403 A1    2  4436
