ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx         A2 0.69                 EA 0.44   11.6 V     3.3 V   11:06:41.94
Rx 0.20 Tx A1 1.72 A2 0.69                 EA 0.70   11.6 V     3.3 V   11:06:42.46
Rx 0.20 Tx A1 1.72 A2 0.66                 EA 0.69   11.6 V     3.3 V   11:06:42.97

>up
Upload #31
Reader: DOWNSTREAM 12  Site: AA
--------- upload 31 start ---------
E 2017-06-22 10:52:25.21 upload 30 complete
E 2017-06-22 10:59:47.12 supply power ok 12.6V
E 2017-06-22 10:59:47.12 database file opened
E 2017-06-22 10:59:47.12 starting reader after power up
D 2017-06-22 10:59:52.13 00:00:00.20 HR 0000_0000000180843403 A1    2    26
D 2017-06-22 11:00:02.30 00:00:01.81 HA      900_226000791733 A2   10    77
D 2017-06-22 11:00:21.53 00:00:00.20 HA      900_226000791733 A1    2   144
D 2017-06-22 11:00:23.73 23:59:59.41 HA      900_226000791733 A1    3     4
D 2017-06-22 11:11:15.93 00:00:00.00 HR 0000_0000000180843440 A2    1  3335
D 2017-06-22 11:14:46.50 00:00:00.00 HR 0000_0000000180843403 A1    1  4286
D 2017-06-22 11:26:13.32 00:00:00.00 HR 0000_0000000180843440 A2    1  4455
D 2017-06-22 11:29:40.85 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-06-22 11:41:10.96 00:00:00.00 HR 0000_0000000180843440 A2    1  4456
D 2017-06-22 11:44:35.07 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-22 11:56:08.94 00:00:00.00 HR 0000_0000000180843440 A2    1  4458
D 2017-06-22 11:59:29.45 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-06-22 12:11:07.22 00:00:00.00 HR 0000_0000000180843440 A2    1  4459
D 2017-06-22 12:14:23.67 00:00:00.20 HR 0000_0000000180843403 A1    2  4439
D 2017-06-22 12:26:05.64 00:00:00.00 HR 0000_0000000180843440 A2    1  4460
D 2017-06-22 12:29:18.07 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-22 12:41:03.67 00:00:00.20 HR 0000_0000000180843440 A2    2  4458
