u ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx A1 1.75 A2 0.74                 EA 0.71   11.8 V     3.3 V   11:44:18.67
Rx 0.20 Tx A1 1.77 A2 0.74                 EA 0.71   11.8 V     3.3 V   11:44:19.19
Rx 0.20 Tx A1 1.76 A2 0.74                 EA 0.71   11.8 V     3.3 V   11:44:19.70

>up
Upload #25
Reader: DOWNSTREAM 12  Site: AA
--------- upload 25 start ---------
E 2017-06-01 14:58:43.37 upload 24 complete
E 2017-06-01 15:09:32.25 supply power ok 12.8V
E 2017-06-01 15:09:32.25 database file opened
E 2017-06-01 15:09:32.25 starting reader after power up
D 2017-06-01 15:09:47.79 00:00:00.81 HA      900_226000791733 A2    5    79
D 2017-06-01 15:09:49.21 00:00:00.40 HA      900_226000791733 A2    3     2
D 2017-06-01 15:09:51.01 00:00:00.40 HA      900_226000791733 A2    3     6
D 2017-06-01 15:09:52.22 00:00:00.20 HA      900_226000791733 A2    2     3
D 2017-06-01 15:10:11.45 00:00:01.00 HA      900_226000791733 A1    6   196
D 2017-06-01 15:10:13.66 00:00:00.41 HA      900_226000791733 A1    3     5
D 2017-06-01 15:10:14.87 00:00:00.00 HA      900_226000791733 A1    1     3
D 2017-06-01 15:10:15.27 00:00:00.00 HA      900_226000791733 A1    1     1
D 2017-06-01 15:11:08.52 00:00:00.00 HR 0000_0000000180843440 A2    1   377
D 2017-06-01 15:23:53.50 00:00:00.00 HR 0000_0000000180843403 A1    1  4062
D 2017-06-01 15:26:05.69 00:00:00.20 HR 0000_0000000180843440 A2    2  4454
D 2017-06-01 15:38:47.28 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 15:41:03.12 00:00:00.00 HR 0000_0000000180843440 A2    1  4454
D 2017-06-01 15:53:41.05 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 15:56:00.92 00:00:00.00 HR 0000_0000000180843440 A2    1  4457
D 2017-06-01 16:08:34.63 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-06-01 16:10:58.33 00:00:00.00 HR 0000_0000000180843440 A2    1  4455
D 2017-06-01 16:23:28.24 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-06-01 16:25:55.76 00:00:00.20 HR 0000_0000000180843440 A2    2  4455
D 2017-06-01 16:38:21.79 00:00:00.21 HR 0000_0000000180843403 A1    2  4436
D 2017-06-01 16:40:53.92 00:00:00.00 HR 0000_0000000180843440 A2    1  4458
D 2017-06-01 16:53:15.59 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-06-01 16:55:51.77 00:00:00.20 HR 0000_0000000180843440 A2    2  4457
D 2017-06-01 17:08:09.18 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-06-01 17:10:49.79 00:00:00.00 HR 0000_0000000180843440 A2    1  4457
D 2017-06-01 17:23:02.78 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-06-01 17:25:47.43 00:00:00.00 HR 0000_0000000180843440 A2    1  4456
D 2017-06-01 17:37:56.53 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 17:40:44.99 00:00:00.00 HR 0000_0000000180843440 A2    1  4456
D 2017-06-01 17:52:50.50 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-01 17:55:42.16 00:00:00.00 HR 0000_0000000180843440 A2    1  4454
D 2017-06-01 18:07:44.27 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 18:10:39.17 00:00:00.00 HR 0000_0000000180843440 A2    1  4453
D 2017-06-01 18:22:37.84 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-06-01 18:25:35.96 00:00:00.00 HR 0000_0000000180843440 A2    1  4452
D 2017-06-01 18:37:31.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 18:40:32.75 00:00:00.00 HR 0000_0000000180843440 A2    1  4452
D 2017-06-01 18:52:25.16 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-06-01 18:55:29.11 00:00:00.00 HR 0000_0000000180843440 A2    1  4450
D 2017-06-01 19:07:18.92 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 19:10:25.51 00:00:00.00 HR 0000_0000000180843440 A2    1  4450
D 2017-06-01 19:22:12.66 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 19:25:21.67 00:00:00.00 HR 0000_0000000180843440 A2    1  4449
D 2017-06-01 19:37:06.31 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-06-01 19:40:17.13 00:00:00.20 HR 0000_0000000180843440 A2    2  4445
D 2017-06-01 19:52:00.12 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 19:55:12.56 00:00:00.00 HR 0000_0000000180843440 A2    1  4444
D 2017-06-01 20:06:53.94 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 20:10:07.39 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-06-01 20:21:47.78 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 20:25:02.46 00:00:00.00 HR 0000_0000000180843440 A2    1  4443
D 2017-06-01 20:36:41.65 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 20:39:57.12 00:00:00.20 HR 0000_0000000180843440 A2    2  4441
D 2017-06-01 20:51:35.31 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-06-01 20:54:51.56 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-01 21:06:29.12 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 21:09:45.80 00:00:00.20 HR 0000_0000000180843440 A2    2  4439
D 2017-06-01 21:21:22.92 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 21:24:40.41 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-01 21:36:16.75 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 21:39:34.85 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-01 21:51:10.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 21:54:29.29 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-01 22:06:04.47 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 22:09:23.56 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-01 22:20:58.47 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-01 22:24:17.95 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-01 22:35:52.25 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 22:39:11.92 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-01 22:50:46.07 00:00:00.20 HR 0000_0000000180843403 A1    2  4437
D 2017-06-01 22:54:05.94 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-01 23:05:40.07 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 23:08:59.74 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-01 23:20:33.83 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 23:23:53.92 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-01 23:35:27.84 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-01 23:38:47.94 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-01 23:50:21.65 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-01 23:53:42.16 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-02 00:05:15.70 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-02 00:08:36.20 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-02 00:20:09.51 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-02 00:23:30.22 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-02 00:35:03.54 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-02 00:38:24.04 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-02 00:49:57.34 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-02 00:53:17.82 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-02 01:04:51.36 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-02 01:08:11.66 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-02 01:19:45.13 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-02 01:23:05.61 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-02 01:34:38.94 00:00:00.21 HR 0000_0000000180843403 A1    2  4437
D 2017-06-02 01:37:59.44 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-02 01:49:32.91 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-02 01:52:53.40 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-02 02:04:26.71 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-02 02:07:47.42 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-02 02:19:20.54 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-02 02:22:41.25 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-02 02:34:14.20 00:00:00.20 HR 0000_0000000180843403 A1    2  4436
D 2017-06-02 02:37:35.11 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-02 02:49:08.25 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-02 02:52:28.95 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-02 03:04:02.04 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-02 03:07:22.94 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-02 03:18:55.88 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-02 03:22:16.58 00:00:00.00 HR 0000_0000000180843440 A2    1  4436
D 2017-06-02 03:33:49.89 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-02 03:37:10.38 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-02 03:48:43.68 00:00:00.20 HR 0000_0000000180843403 A1    2  4437
D 2017-06-02 03:52:04.17 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-02 04:03:37.68 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-02 04:06:58.15 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-02 04:18:31.86 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-02 04:21:51.95 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-02 04:33:25.85 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-02 04:36:45.94 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-02 04:48:19.85 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-02 04:51:39.53 00:00:00.00 HR 0000_0000000180843440 A2    1  4436
D 2017-06-02 05:03:13.64 00:00:00.20 HR 0000_0000000180843403 A1    2  4437
D 2017-06-02 05:06:32.92 00:00:00.21 HR 0000_0000000180843440 A2    2  4435
D 2017-06-02 05:18:07.82 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
