up2
Upload #2, 230 records
Reader: DOWNSTREAM 12  Site: 
--------- upload 2 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2018-03-28 15:25:18.94 upload 1 complete
E 2018-03-28 15:28:08.55 supply power ok 12.0V
E 2018-03-28 15:28:08.55 database file opened
E 2018-03-28 15:28:08.55 starting reader after power up
E 2018-03-28 15:28:33.30 supply power ok 11.9V
E 2018-03-28 15:28:33.31 database file opened
E 2018-03-28 15:28:33.31 starting reader after power up
D 2018-03-28 15:29:31.06 00:00:00.80 HA      900_226000791702 A1    5   282
D 2018-03-28 15:29:32.87 00:00:00.81 HA      900_226000791702 A1    5     4
D 2018-03-28 15:29:34.48 00:00:00.40 HA      900_226000791702 A1    3     3
D 2018-03-28 15:29:57.35 00:00:00.00 HA      900_226000734127 A2    1   414
D 2018-03-28 15:29:58.76 00:00:00.40 HA      900_226000734127 A2    3     6
D 2018-03-28 15:30:00.57 00:00:00.40 HA      900_226000734127 A2    3     6
D 2018-03-28 15:30:14.47 00:00:00.00 HR 0000_0000000180843403 A2    1    66
D 2018-03-28 15:30:29.27 00:00:01.40 HA      900_226000791702 A1    8   269
D 2018-03-28 15:39:42.18 00:00:00.00 HR 0000_0000000180598569 A1    1  2737
D 2018-03-28 15:45:08.37 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-03-28 15:54:38.48 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-28 16:00:02.23 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-03-28 16:09:34.75 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-28 16:14:56.09 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-03-28 16:24:31.00 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-28 16:29:49.93 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-03-28 16:39:27.32 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 16:44:43.85 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-03-28 16:54:23.60 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-28 16:59:37.70 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-03-28 17:09:19.90 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-28 17:14:31.59 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-03-28 17:24:16.20 00:00:00.20 HR 0000_0000000180598569 A1    2  4449
D 2018-03-28 17:29:25.65 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 17:39:12.64 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-28 17:44:19.71 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 17:54:08.72 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 17:59:13.55 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-03-28 18:09:04.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-28 18:14:07.59 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 18:24:01.04 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 18:29:01.64 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 18:38:57.34 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-28 18:43:55.53 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-03-28 18:53:53.40 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 18:58:49.57 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 19:08:49.68 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-28 19:13:43.44 00:00:00.20 HR 0000_0000000180843403 A2    2  4437
D 2018-03-28 19:23:45.75 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 19:28:37.70 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 19:38:42.00 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-28 19:43:31.73 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 19:53:38.06 00:00:00.20 HR 0000_0000000180598569 A1    2  4448
D 2018-03-28 19:58:25.79 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 20:08:34.19 00:00:00.20 HR 0000_0000000180598569 A1    2  4447
D 2018-03-28 20:13:19.88 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 20:23:30.46 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 20:28:13.92 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 20:38:26.70 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-28 20:43:07.98 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 20:53:22.78 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 20:58:02.08 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 21:08:18.87 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 21:12:56.31 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-28 21:23:14.96 00:00:00.20 HR 0000_0000000180598569 A1    2  4448
D 2018-03-28 21:27:50.38 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 21:38:11.27 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 21:42:44.48 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 21:53:07.35 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 21:57:38.72 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-28 22:08:03.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 22:12:32.83 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 22:22:59.73 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-28 22:27:26.89 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 22:37:55.80 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 22:42:20.97 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 22:52:51.88 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 22:57:15.01 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 23:07:47.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 23:12:09.10 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 23:22:44.06 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 23:27:03.16 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-28 23:37:40.19 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 23:41:57.10 00:00:00.20 HR 0000_0000000180843403 A2    2  4437
D 2018-03-28 23:52:36.27 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-28 23:56:51.17 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-03-29 00:07:32.40 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 00:11:45.29 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 00:22:28.51 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 00:26:39.39 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 00:37:24.62 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 00:41:33.48 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 00:52:20.54 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 00:56:27.38 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-03-29 01:07:16.62 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 01:11:21.43 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 01:22:12.71 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 01:26:15.51 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 01:37:08.81 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 01:41:09.61 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 01:52:04.94 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 01:56:03.93 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 02:07:01.05 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 02:10:58.01 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 02:21:57.16 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 02:25:51.92 00:00:00.20 HR 0000_0000000180843403 A2    2  4437
D 2018-03-29 02:36:53.25 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 02:40:46.18 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-03-29 02:51:49.53 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-29 02:55:40.26 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 03:06:45.63 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 03:10:34.52 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 03:21:41.72 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 03:25:28.81 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 03:36:37.81 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 03:40:22.88 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 03:51:34.09 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-29 03:55:16.92 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 04:06:30.13 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 04:10:11.17 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 04:21:26.18 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 04:25:05.21 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 04:36:22.27 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 04:39:59.30 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 04:51:18.35 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 04:54:53.34 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 05:06:14.43 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 05:09:47.43 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 05:21:10.51 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 05:24:41.68 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 05:36:06.59 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 05:39:35.92 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 05:51:02.62 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 05:54:30.18 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 06:05:58.70 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 06:09:24.62 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-03-29 06:20:54.93 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-29 06:24:19.07 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-03-29 06:35:50.97 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 06:39:13.29 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 06:50:47.22 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-29 06:54:07.71 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-03-29 07:05:43.23 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 07:09:01.91 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 07:20:39.46 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-03-29 07:23:56.15 00:00:00.20 HR 0000_0000000180843403 A2    2  4439
D 2018-03-29 07:35:35.51 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 07:38:50.37 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 07:50:31.57 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 07:53:44.40 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 08:05:27.60 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 08:08:38.44 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 08:20:23.63 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 08:23:32.65 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 08:35:19.67 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 08:38:26.66 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
