up3
Upload #3, 780 records
Reader: DOWNSTREAM 12  Site: 
--------- upload 3 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2018-03-29 17:00:28.96 upload 2 complete
E 2018-03-29 17:02:20.03 supply power ok 12.1V
E 2018-03-29 17:02:20.03 database file opened
E 2018-03-29 17:02:20.03 starting reader after power up
D 2018-03-29 17:03:08.10 00:00:00.00 HR 0000_0000000180598569 A1    1   239
D 2018-03-29 17:05:01.96 00:00:00.00 HR 0000_0000000180843403 A2    1   804
D 2018-03-29 17:06:47.39 00:00:01.00 HA      900_226000791702 A1    6  1087
D 2018-03-29 17:07:09.44 00:00:00.00 HA      900_226000734127 A2    1   631
D 2018-03-29 17:07:12.07 00:00:01.00 HA      900_226000734127 A2    6    12
D 2018-03-29 17:07:13.47 00:00:00.20 HA      900_226000734127 A2    2     1
D 2018-03-29 17:18:04.39 00:00:00.00 HR 0000_0000000180598569 A1    1  3355
D 2018-03-29 17:19:56.07 00:00:00.00 HR 0000_0000000180843403 A2    1  3784
D 2018-03-29 17:33:00.49 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 17:34:50.16 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 17:47:56.57 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 17:49:44.23 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 18:02:52.65 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 18:04:38.51 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 18:17:48.53 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 18:19:32.57 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 18:32:44.62 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 18:34:26.86 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 18:47:40.69 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 18:49:20.88 00:00:00.22 HR 0000_0000000180843403 A2    2  4438
D 2018-03-29 19:02:36.73 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 19:04:15.12 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 19:17:32.78 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 19:19:09.17 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 19:32:28.70 00:00:00.20 HR 0000_0000000180598569 A1    2  4447
D 2018-03-29 19:34:03.27 00:00:00.20 HR 0000_0000000180843403 A2    2  4438
D 2018-03-29 19:47:24.78 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 19:48:57.52 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 20:02:20.67 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 20:03:51.60 00:00:00.20 HR 0000_0000000180843403 A2    2  4438
D 2018-03-29 20:17:16.59 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 20:18:45.92 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 20:32:12.28 00:00:00.00 HR 0000_0000000180598569 A1    1  4446
D 2018-03-29 20:33:40.01 00:00:00.20 HR 0000_0000000180843403 A2    2  4438
D 2018-03-29 20:47:08.20 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 20:48:34.29 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 21:02:04.08 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 21:03:28.37 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 21:16:59.95 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 21:18:22.42 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 21:31:55.60 00:00:00.00 HR 0000_0000000180598569 A1    1  4446
D 2018-03-29 21:33:16.68 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 21:46:51.47 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 21:48:10.92 00:00:00.21 HR 0000_0000000180843403 A2    2  4439
D 2018-03-29 22:01:47.38 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 22:03:05.23 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 22:16:43.27 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 22:17:59.50 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 22:31:39.15 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 22:32:53.78 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 22:46:34.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 22:47:48.01 00:00:00.20 HR 0000_0000000180843403 A2    2  4439
D 2018-03-29 23:01:31.06 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 23:02:42.27 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-03-29 23:16:26.96 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 23:17:36.56 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 23:31:22.85 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
D 2018-03-29 23:32:30.82 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-29 23:46:18.91 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-29 23:47:25.06 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-30 00:01:15.01 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-03-30 00:02:19.37 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-03-30 00:16:10.88 00:00:00.00 HR 0000_0000000180598569 A1    1  4447
