up
Upload #11
Reader: Noame  Site: AAÿÿÿÿÿÿÿ
--------- upload 11 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2018-05-21 14:53:54.37 upload 10 complete
D 2018-05-21 14:54:02.54 00:00:00.00 HR 0000_0000000180843403 A2    1   173
E 2018-05-21 15:00:54.64 supply power ok 12.5V
E 2018-05-21 15:00:54.64 database file opened
E 2018-05-21 15:00:54.65 starting reader after power up
D 2018-05-21 15:01:15.70 00:00:00.61 HA      900_228000093612 A1    4    75
D 2018-05-21 15:01:19.73 00:00:00.81 HA      900_226000791727 A1    5    16
D 2018-05-21 15:01:28.29 00:00:00.60 HA      900_226000791733 A2    4   136
D 2018-05-21 15:01:29.90 00:00:00.40 HA      900_226000791733 A2    3     4
D 2018-05-21 15:08:56.41 00:00:00.00 HR 0000_0000000180843403 A2    1  2211
D 2018-05-21 15:09:36.98 00:00:00.00 HR 0000_0000000180598569 A1    1  2462
D 2018-05-21 15:23:50.35 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-21 15:24:33.34 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-05-21 15:38:44.22 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-21 15:39:29.83 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2018-05-21 15:53:37.97 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-05-21 15:54:26.21 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-05-21 16:08:31.93 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-21 16:09:22.58 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-05-21 16:23:26.08 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-05-21 16:24:18.93 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-05-21 16:38:20.21 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-05-21 16:39:15.28 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2018-05-21 16:53:14.33 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-05-21 16:54:11.82 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-05-21 17:08:08.50 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-05-21 17:09:08.01 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-05-21 17:23:02.49 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-21 17:24:04.40 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-05-21 17:37:56.42 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-21 17:39:00.75 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-05-21 17:52:50.35 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-21 17:53:57.12 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-05-21 18:07:44.09 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-05-21 18:08:53.45 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2018-05-21 18:22:37.82 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-05-21 18:23:50.02 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-05-21 18:37:31.78 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-21 18:38:46.39 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-05-21 18:52:25.51 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-05-21 18:53:42.74 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-05-21 19:07:19.25 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-05-21 19:08:38.90 00:00:00.20 HR 0000_0000000180598569 A1    2  4449
D 2018-05-21 19:22:13.03 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-05-21 19:23:35.29 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-05-21 19:37:06.97 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-21 19:38:31.44 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-05-21 19:52:00.92 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-21 19:53:27.61 00:00:00.20 HR 0000_0000000180598569 A1    2  4449
D 2018-05-21 20:06:55.04 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-05-21 20:08:23.94 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-05-21 20:21:49.36 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-05-21 20:23:20.09 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-05-21 20:36:43.49 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-05-21 20:38:16.22 00:00:00.20 HR 0000_0000000180598569 A1    2  4449
