up
Upload #21
Reader: UPSTREAM 34  Site: Up
--------- upload 21 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2018-04-30 14:49:49.74 upload 20 complete
E 2018-04-30 14:56:54.91 supply power ok 12.2V
E 2018-04-30 14:56:54.91 database file opened
E 2018-04-30 14:56:54.91 starting reader after power up
D 2018-04-30 15:08:25.65 00:00:00.00 HR 0000_0000000180573731 A4    1  3411
D 2018-04-30 15:23:22.83 00:00:00.00 HR 0000_0000000180573731 A4    1  4457
D 2018-04-30 15:26:17.73 00:00:00.00 HR 0000_0000000180843440 A3    1  8739
D 2018-04-30 15:27:29.32 00:00:01.00 HA      900_228000093610 A4    6  1223
D 2018-04-30 15:27:30.92 00:00:01.23 HA      900_228000093610 A4    7     2
D 2018-04-30 15:27:42.23 00:00:01.60 HA      900_226000791727 A4    9    49
E 2018-04-30 15:27:54.86 supply power ok 12.3V
E 2018-04-30 15:27:54.86 database file opened
E 2018-04-30 15:27:54.86 starting reader after power up
E 2018-04-30 15:28:56.34 parameter change: voltage calibration 12.670 V
E 2018-04-30 15:30:01.44 supply power ok 12.7V
E 2018-04-30 15:30:01.44 database file opened
E 2018-04-30 15:30:01.44 starting reader after power up
D 2018-04-30 15:30:18.31 00:00:00.00 HA      900_226000791733 A3    1    65
D 2018-04-30 15:30:19.71 00:00:00.00 HA      900_226000791733 A3    1     6
D 2018-04-30 15:30:19.52 00:00:02.20 HA      900_226000791733 A3    2     3
D 2018-04-30 15:30:22.33 00:00:00.00 HA      900_226000791733 A3    1     7
D 2018-04-30 15:30:22.74 00:00:00.00 HA      900_226000791733 A3    1     1
D 2018-04-30 15:30:24.15 00:00:00.00 HA      900_226000791733 A3    1     6
D 2018-04-30 15:30:24.95 00:00:00.00 HA      900_226000791733 A3    1     3
D 2018-04-30 15:30:25.76 00:00:00.00 HA      900_226000791733 A3    1     3
D 2018-04-30 15:32:48.02 00:00:00.81 HA      900_228000093610 A4    5   808
D 2018-04-30 15:32:52.06 00:00:00.80 HA      900_226000791727 A4    5    15
D 2018-04-30 15:33:05.05 00:00:00.00 HA      900_226000791733 A3    1   790
D 2018-04-30 15:33:06.06 00:00:00.00 HA      900_226000791733 A3    1     4
D 2018-04-30 15:33:06.47 00:00:00.00 HA      900_226000791733 A3    1     1
D 2018-04-30 15:33:06.07 00:00:00.00 HA      900_226000791733 A3    1     2
D 2018-04-30 15:33:06.47 00:00:00.00 HA      900_226000791733 A3    1     1
D 2018-04-30 15:33:08.87 23:59:59.41 HA      900_226000791733 A3    3     1
D 2018-04-30 15:33:10.09 00:00:00.00 HA      900_226000791733 A3    1     8
D 2018-04-30 15:38:19.90 00:00:00.00 HR 0000_0000000180573731 A4    1  1623
D 2018-04-30 15:53:16.60 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2018-04-30 15:56:09.09 00:00:00.00 HR 0000_0000000180843440 A3    1  6847
D 2018-04-30 16:08:13.53 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2018-04-30 16:11:04.40 00:00:00.00 HR 0000_0000000180843440 A3    1  4445
D 2018-04-30 16:23:10.41 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2018-04-30 16:38:07.09 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2018-04-30 16:40:54.52 00:00:00.00 HR 0000_0000000180843440 A3    1  8889
