up
Upload #4
Reader: Noame  Site: AAяяяяяяяя
--------- upload 4 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2018-04-12 16:47:36.64 upload 3 complete
D 2018-04-12 16:48:43.95 00:00:00.00 HR 0000_0000000180598569 A1    1   656
E 2018-04-12 16:59:59.39 supply power ok 12.3V
E 2018-04-12 16:59:59.39 database file opened
E 2018-04-12 16:59:59.39 starting reader after power up
D 2018-04-12 17:00:13.21 00:00:01.82 HA      900_228000008955 A1   10    39
D 2018-04-12 17:00:27.51 00:00:02.01 HA      900_226000791702 A1   11    59
D 2018-04-12 17:00:53.19 00:00:00.60 HA      900_226000734127 A2    4   235
D 2018-04-12 17:00:55.20 00:00:03.62 HA      900_226000734127 A2   19     6
D 2018-04-12 17:00:59.63 00:00:00.20 HA      900_226000734127 A2    2     3
D 2018-04-12 17:03:40.24 00:00:00.00 HR 0000_0000000180598569 A1    1   946
D 2018-04-12 17:14:03.38 00:00:00.00 HR 0000_0000000180843403 A2    1  3890
D 2018-04-12 17:18:36.54 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-04-12 17:28:57.65 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-04-12 17:33:32.83 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-04-12 17:43:51.72 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-04-12 17:48:29.30 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2018-04-12 17:58:45.94 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-04-12 18:03:25.52 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-04-12 18:13:40.00 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-04-12 18:18:21.79 00:00:00.21 HR 0000_0000000180598569 A1    2  4450
D 2018-04-12 18:28:34.04 00:00:00.20 HR 0000_0000000180843403 A2    2  4439
D 2018-04-12 18:33:18.28 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-04-12 18:43:28.29 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-04-12 18:48:14.53 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-04-12 18:58:22.52 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-04-12 19:03:10.76 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-04-12 19:13:16.58 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-04-12 19:18:07.06 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-04-12 19:28:10.86 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-04-12 19:33:03.35 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-04-12 19:43:05.11 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-04-12 19:47:59.58 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-04-12 19:57:59.33 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
