up
Upload #17
Reader: Noame  Site: AAяяяяяяя
--------- upload 17 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2018-06-11 14:29:43.85 upload 16 complete
E 2018-06-11 14:37:39.36 supply power ok 12.0V
E 2018-06-11 14:37:39.36 database file opened
E 2018-06-11 14:37:39.36 starting reader after power up
D 2018-06-11 14:37:49.56 00:00:00.40 HA      900_228000093612 A1    3    21
D 2018-06-11 14:37:50.36 00:00:00.00 HA      900_228000093612 A1    1     1
D 2018-06-11 14:37:56.80 00:00:00.41 HA      900_226000791727 A1    3    31
D 2018-06-11 14:38:15.03 00:00:00.20 HR 0000_0000000180843403 A2    2   146
D 2018-06-11 14:38:17.24 00:00:00.81 HA      900_226000791733 A2    5     9
D 2018-06-11 14:38:19.25 00:00:00.81 HA      900_226000791733 A2    5     5
D 2018-06-11 14:38:20.46 00:00:00.61 HA      900_226000791733 A2    4     1
D 2018-06-11 14:50:51.26 00:00:00.00 HR 0000_0000000180598569 A1    1  3843
D 2018-06-11 14:53:09.09 00:00:00.00 HR 0000_0000000180843403 A2    1  4409
D 2018-06-11 15:05:47.33 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-06-11 15:08:02.76 00:00:00.20 HR 0000_0000000180843403 A2    2  4437
D 2018-06-11 15:20:43.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-06-11 15:22:56.62 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-06-11 15:35:39.50 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-06-11 15:37:50.48 00:00:00.20 HR 0000_0000000180843403 A2    2  4438
D 2018-06-11 15:50:35.54 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-06-11 15:52:44.51 00:00:00.20 HR 0000_0000000180843403 A2    2  4438
D 2018-06-11 16:05:31.62 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-06-11 16:07:38.78 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-06-11 16:20:27.70 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-06-11 16:22:32.86 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-06-11 16:35:23.80 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-06-11 16:37:26.95 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-06-11 16:50:19.90 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-06-11 16:52:20.83 00:00:00.21 HR 0000_0000000180843403 A2    2  4438
D 2018-06-11 17:05:15.82 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-06-11 17:07:14.73 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-06-11 17:20:11.92 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-06-11 17:22:08.60 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-06-11 17:35:07.79 23:59:59.21 HR 0000_0000000180598569 A1    2  4448
D 2018-06-11 17:37:02.28 00:00:00.20 HR 0000_0000000180843403 A2    2  4437
D 2018-06-11 17:50:03.85 00:00:00.21 HR 0000_0000000180598569 A1    2  4448
D 2018-06-11 17:51:56.31 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
