

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.18 Tx A1 0.95 A2 1.61                 EA 0.72   12.4 V     0.0 V   13:31:31.21
Rx 0.18 Tx A1 0.95 A2 1.57                 EA 0.72   12.4 V     0.0 V   13:31:31.72
Rx 0.18 Tx A1 0.95 A2 1.63                 EA 0.73   12.4 V     0.0 V   13:31:32.24

>uo p
Upload #8
Reader: Downstream12  Site: Do
--------- upload 8 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2019-04-16 13:48:26.18 upload 7 complete
E 2019-04-16 13:50:09.55 supply power ok 13.5V
E 2019-04-16 13:50:09.55 database file opened
E 2019-04-16 13:50:09.55 starting reader after power up
D 2019-04-16 13:50:18.87 00:00:00.62 HA      900_228000093612 A2    4    16
D 2019-04-16 13:50:21.12 00:00:00.40 HA      900_226000791727 A2    3     7
D 2019-04-16 13:50:23.77 00:00:00.81 HA      900_226000791727 A2    5    10
D 2019-04-16 13:50:39.93 00:00:00.00 HA      900_226000791733 A1    1   119
D 2019-04-16 13:50:40.34 00:00:00.00 HA      900_226000791733 A1    1     1
D 2019-04-16 13:50:40.37 00:00:02.01 HA      900_226000791733 A1    6     4
D 2019-04-16 13:50:42.78 00:00:00.83 HA      900_226000791733 A1    5     1
D 2019-04-16 13:50:44.63 00:00:00.20 HA      900_226000791733 A1    2     4
D 2019-04-16 13:52:48.56 00:00:00.00 HR 0000_0000000180598569 A2    1   707
D 2019-04-16 13:52:48.38 00:00:01.21 HR 0000_0000000180598569 A2    2     3
D 2019-04-16 13:52:49.39 00:00:00.00 HR 0000_0000000180598569 A2    1     3
D 2019-04-16 13:52:51.41 00:00:00.00 HR 0000_0000000180598569 A2    1     4
D 2019-04-16 13:52:52.44 00:00:00.00 HR 0000_0000000180598569 A2    1     4
D 2019-04-16 14:01:04.70 00:00:00.00 HR 0000_0000000180598569 A2    1  2420
D 2019-04-16 14:01:04.11 00:00:00.00 HR 0000_0000000180598569 A2    1     1
D 2019-04-16 14:01:06.72 00:00:00.00 HR 0000_0000000180598569 A2    1     2
D 2019-04-16 14:01:06.13 00:00:00.00 HR 0000_0000000180598569 A2    1     1
D 2019-04-16 14:01:06.74 00:00:00.00 HR 0000_0000000180598569 A2    1     2
D 2019-04-16 14:10:23.43 00:00:00.00 HW 0000_0000000000002321 A1    1  5795
D 2019-04-16 14:10:23.04 00:00:00.00 HW 0000_0000000000002321 A1    1     2
D 2019-04-16 14:10:24.45 00:00:00.20 HW 0000_0000000000002321 A1    2     1
D 2019-04-16 14:10:26.68 00:00:00.00 HW 0000_0000000000002321 A1    1     9
D 2019-04-16 14:10:26.09 00:00:00.00 HW 0000_0000000000002321 A1    1     1
D 2019-04-16 14:11:00.03 00:00:00.00 HW 0000_0000000000002321 A1    1   161
D 2019-04-16 14:11:00.44 00:00:00.00 HW 0000_0000000000002321 A1    1     1
D 2019-04-16 14:11:00.84 00:00:00.00 HW 0000_0000000000002321 A1    1     1
D 2019-04-16 14:11:07.15 00:00:00.21 HW 0000_0000000000002321 A1    2    30
D 2019-04-16 14:11:45.79 00:00:00.21 HW 0000_0000000000002321 A1    2   188
D 2019-04-16 14:11:46.40 00:00:00.00 HW 0000_0000000000002321 A1    1     1
D 2019-04-16 14:11:48.23 00:00:00.00 HW 0000_0000000000002321 A1    1     8
D 2019-04-16 14:11:48.64 00:00:00.00 HW 0000_0000000000002321 A1    1     1
D 2019-04-16 14:11:48.05 00:00:00.00 HW 0000_0000000000002321 A1    1     1
D 2019-04-16 14:11:50.87 00:00:00.00 HW 0000_0000000000002321 A1    1     8
D 2019-04-16 14:11:51.29 00:00:00.00 HW 0000_0000000000002321 A1    1     1
D 2019-04-16 14:11:54.34 00:00:00.00 HW 0000_0000000000002321 A1    1    14
D 2019-04-16 14:11:56.57 00:00:00.00 HW 0000_0000000000002321 A1    1    10
D 2019-04-16 14:11:56.97 23:59:59.21 HW 0000_0000000000002321 A1    2     1
D 2019-04-16 14:11:57.79 00:00:00.00 HW 0000_0000000000002321 A1    1     2
D 2019-04-16 14:11:59.62 00:00:00.00 HW 0000_0000000000002321 A1    1     8
D 2019-04-16 14:12:00.84 00:00:00.00 HW 0000_0000000000002321 A1    1     5
D 2019-04-16 14:12:05.73 00:00:00.00 HW 0000_0000000000002321 A1    1    23
D 2019-04-16 14:12:38.46 00:00:00.00 HW 0000_0000000000002321 A1    1   160
D 2019-04-16 14:12:38.86 00:00:00.00 HW 0000_0000000000002321 A1    1     1
D 2019-04-16 14:12:38.28 00:00:00.00 HW 0000_0000000000002321 A1    1     1
D 2019-04-16 14:12:43.94 00:00:00.22 HW 0000_0000000000002321 A1    2    22
D 2019-04-16 14:16:03.14 00:00:00.00 HR 0000_0000000180598569 A2    1  4407
E 2019-04-16 14:17:20.40 supply power ok 13.4V
E 2019-04-16 14:17:20.40 database file opened
E 2019-04-16 14:17:20.40 starting reader after power up
E 2019-04-16 14:17:49.11 parameter change: synch mode 'none'
E 2019-04-16 14:18:46.47 supply power ok 13.4V
E 2019-04-16 14:18:46.47 database file opened
E 2019-04-16 14:18:46.47 starting reader after power up
D 2019-04-16 14:19:18.12 00:00:01.02 HA      900_226000791733 A1    6   128
D 2019-04-16 14:19:22.96 00:00:01.21 HA      900_226000791733 A1    7    18
D 2019-04-16 14:19:28.70 00:00:00.81 HA      900_228000093612 A2    5   179
D 2019-04-16 14:19:35.35 00:00:00.40 HA      900_226000791727 A2    3    28
D 2019-04-16 14:27:41.01 00:00:00.00 HW 0000_0000000000002321 A1    1  2467
D 2019-04-16 14:30:59.40 00:00:00.00 HR 0000_0000000180598569 A2    1  3395
D 2019-04-16 14:42:38.33 00:00:00.00 HW 0000_0000000000002321 A1    1  4456
D 2019-04-16 14:45:55.73 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-16 14:57:35.85 00:00:00.00 HW 0000_0000000000002321 A1    1  4457
D 2019-04-16 15:00:51.84 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 15:12:32.97 00:00:00.00 HW 0000_0000000000002321 A1    1  4455
D 2019-04-16 15:15:47.75 00:00:00.20 HR 0000_0000000180598569 A2    2  4449
D 2019-04-16 15:27:30.09 00:00:00.00 HW 0000_0000000000002321 A1    1  4455
D 2019-04-16 15:30:43.88 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-16 15:42:27.09 00:00:00.00 HW 0000_0000000000002321 A1    1  4454
D 2019-04-16 15:45:40.09 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 15:57:23.71 00:00:00.00 HW 0000_0000000000002321 A1    1  4452
D 2019-04-16 16:00:36.31 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 16:12:20.10 00:00:00.20 HW 0000_0000000000002321 A1    2  4451
D 2019-04-16 16:15:32.49 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 16:27:16.71 00:00:00.00 HW 0000_0000000000002321 A1    1  4451
D 2019-04-16 16:30:28.70 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 16:42:12.24 00:00:00.00 HW 0000_0000000000002321 A1    1  4447
D 2019-04-16 16:45:24.81 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 16:57:07.32 00:00:00.00 HW 0000_0000000000002321 A1    1  4445
D 2019-04-16 17:00:20.90 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 17:12:02.58 00:00:00.00 HW 0000_0000000000002321 A1    1  4446
D 2019-04-16 17:15:16.94 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 17:26:57.21 00:00:00.00 HW 0000_0000000000002321 A1    1  4443
D 2019-04-16 17:30:13.02 00:00:00.20 HR 0000_0000000180598569 A2    2  4450
D 2019-04-16 17:41:51.98 00:00:00.00 HW 0000_0000000000002321 A1    1  4443
D 2019-04-16 17:45:09.40 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 17:56:46.35 00:00:00.00 HW 0000_0000000000002321 A1    1  4441
D 2019-04-16 18:00:05.57 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 18:11:40.51 00:00:00.00 HW 0000_0000000000002321 A1    1  4440
D 2019-04-16 18:15:01.56 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-16 18:26:34.51 00:00:00.00 HW 0000_0000000000002321 A1    1  4439
D 2019-04-16 18:29:57.78 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 18:41:28.35 00:00:00.00 HW 0000_0000000000002321 A1    1  4438
D 2019-04-16 18:44:53.83 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-16 18:56:22.15 00:00:00.20 HW 0000_0000000000002321 A1    2  4438
D 2019-04-16 18:59:50.04 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 19:11:15.92 00:00:00.00 HW 0000_0000000000002321 A1    1  4437
D 2019-04-16 19:14:46.21 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 19:26:09.50 00:00:00.00 HW 0000_0000000000002321 A1    1  4439
D 2019-04-16 19:29:42.27 00:00:00.00 HR 0000_0000000180598569 A2    1  4452
D 2019-04-16 19:41:02.65 00:00:00.00 HW 0000_0000000000002321 A1    1  4438
D 2019-04-16 19:44:38.29 00:00:00.20 HR 0000_0000000180598569 A2    2  4452
D 2019-04-16 19:55:55.74 00:00:00.00 HW 0000_0000000000002321 A1    1  4437
D 2019-04-16 19:59:34.38 00:00:00.20 HR 0000_0000000180598569 A2    2  4451
D 2019-04-16 20:10:48.98 00:00:00.00 HW 0000_0000000000002321 A1    1  4438
D 2019-04-16 20:14:30.62 00:00:00.00 HR 0000_0000000180598569 A2    1  4452
D 2019-04-16 20:25:42.22 00:00:00.00 HW 0000_0000000000002321 A1    1  4438
D 2019-04-16 20:29:26.68 00:00:00.00 HR 0000_0000000180598569 A2    1  4452
D 2019-04-16 20:40:35.32 00:00:00.00 HW 0000_0000000000002321 A1    1  4437
D 2019-04-16 20:44:22.82 00:00:00.00 HR 0000_0000000180598569 A2    1  4452
D 2019-04-16 20:55:28.28 00:00:00.21 HW 0000_0000000000002321 A1    2  4436
D 2019-04-16 20:59:18.82 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-16 21:10:21.48 00:00:00.00 HW 0000_0000000000002321 A1    1  4436
D 2019-04-16 21:14:14.85 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-16 21:25:14.70 00:00:00.00 HW 0000_0000000000002321 A1    1  4437
D 2019-04-16 21:29:10.86 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-16 21:40:07.80 00:00:00.00 HW 0000_0000000000002321 A1    1  4437
D 2019-04-16 21:44:06.79 00:00:00.20 HR 0000_0000000180598569 A2    2  4451
D 2019-04-16 21:55:00.85 00:00:00.00 HW 0000_0000000000002321 A1    1  4436
D 2019-04-16 21:59:02.95 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 22:09:53.78 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-16 22:13:59.02 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-16 22:24:46.84 00:00:00.00 HW 0000_0000000000002321 A1    1  4436
D 2019-04-16 22:28:55.03 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 22:39:39.69 00:00:00.20 HW 0000_0000000000002321 A1    2  4434
D 2019-04-16 22:43:50.89 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-16 22:54:32.86 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-16 22:58:46.90 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 23:09:25.80 00:00:00.00 HW 0000_0000000000002321 A1    1  4434
D 2019-04-16 23:13:42.94 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 23:24:18.58 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-16 23:28:39.12 00:00:00.00 HR 0000_0000000180598569 A2    1  4452
D 2019-04-16 23:39:11.47 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-16 23:43:35.17 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-16 23:54:04.35 00:00:00.00 HW 0000_0000000000002321 A1    1  4433
D 2019-04-16 23:58:31.29 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-17 00:08:57.29 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 00:13:27.26 00:00:00.20 HR 0000_0000000180598569 A2    2  4451
D 2019-04-17 00:23:50.23 00:00:00.00 HW 0000_0000000000002321 A1    1  4436
D 2019-04-17 00:28:23.43 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-17 00:38:43.15 00:00:00.00 HW 0000_0000000000002321 A1    1  4436
D 2019-04-17 00:43:19.35 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-17 00:53:36.02 00:00:00.00 HW 0000_0000000000002321 A1    1  4436
D 2019-04-17 00:58:15.22 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-17 01:08:28.83 00:00:00.00 HW 0000_0000000000002321 A1    1  4436
D 2019-04-17 01:13:10.84 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 01:23:21.63 00:00:00.00 HW 0000_0000000000002321 A1    1  4436
D 2019-04-17 01:28:06.14 00:00:00.00 HR 0000_0000000180598569 A2    1  4448
D 2019-04-17 01:38:14.46 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 01:43:01.51 00:00:00.00 HR 0000_0000000180598569 A2    1  4448
D 2019-04-17 01:53:07.26 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 01:57:56.80 00:00:00.00 HR 0000_0000000180598569 A2    1  4447
D 2019-04-17 02:07:59.88 00:00:00.21 HW 0000_0000000000002321 A1    2  4434
D 2019-04-17 02:12:52.02 00:00:00.00 HR 0000_0000000180598569 A2    1  4447
D 2019-04-17 02:22:52.67 00:00:00.00 HW 0000_0000000000002321 A1    1  4434
D 2019-04-17 02:27:47.60 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-17 02:37:45.35 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 02:42:43.55 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-17 02:52:37.89 00:00:00.00 HW 0000_0000000000002321 A1    1  4433
D 2019-04-17 02:57:39.56 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 03:07:30.64 00:00:00.00 HW 0000_0000000000002321 A1    1  4434
D 2019-04-17 03:12:35.44 00:00:00.20 HR 0000_0000000180598569 A2    2  4450
D 2019-04-17 03:22:23.38 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 03:27:31.57 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-17 03:37:16.04 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 03:42:27.63 00:00:00.00 HR 0000_0000000180598569 A2    1  4452
D 2019-04-17 03:52:08.66 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 03:57:23.72 00:00:00.00 HR 0000_0000000180598569 A2    1  4452
D 2019-04-17 04:07:01.38 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 04:12:19.62 00:00:00.20 HR 0000_0000000180598569 A2    2  4451
D 2019-04-17 04:21:54.20 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 04:27:15.74 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 04:36:47.04 00:00:00.00 HW 0000_0000000000002321 A1    1  4434
D 2019-04-17 04:42:11.82 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 04:51:39.90 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 04:57:07.85 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-17 05:06:32.56 00:00:00.20 HW 0000_0000000000002321 A1    2  4434
D 2019-04-17 05:12:03.93 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-17 05:21:25.40 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 05:27:00.03 00:00:00.00 HR 0000_0000000180598569 A2    1  4452
D 2019-04-17 05:36:18.20 00:00:00.00 HW 0000_0000000000002321 A1    1  4434
D 2019-04-17 05:41:55.93 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-17 05:51:10.93 00:00:00.00 HW 0000_0000000000002321 A1    1  4433
D 2019-04-17 05:56:52.11 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 06:06:03.64 00:00:00.00 HW 0000_0000000000002321 A1    1  4433
D 2019-04-17 06:11:47.95 00:00:00.21 HR 0000_0000000180598569 A2    2  4449
D 2019-04-17 06:20:56.46 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 06:26:43.95 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 06:35:49.19 00:00:00.00 HW 0000_0000000000002321 A1    1  4434
D 2019-04-17 06:41:40.00 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 06:50:42.09 00:00:00.00 HW 0000_0000000000002321 A1    1  4434
D 2019-04-17 06:56:36.12 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 07:05:34.62 00:00:00.20 HW 0000_0000000000002321 A1    2  4432
D 2019-04-17 07:11:32.10 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-17 07:20:27.37 00:00:00.00 HW 0000_0000000000002321 A1    1  4432
D 2019-04-17 07:26:28.07 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-17 07:35:20.09 00:00:00.00 HW 0000_0000000000002321 A1    1  4433
D 2019-04-17 07:41:23.97 00:00:00.21 HR 0000_0000000180598569 A2    2  4449
D 2019-04-17 07:50:12.78 00:00:00.00 HW 0000_0000000000002321 A1    1  4433
D 2019-04-17 07:56:20.13 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-17 08:05:05.70 00:00:00.00 HW 0000_0000000000002321 A1    1  4434
D 2019-04-17 08:11:16.06 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-17 08:19:58.79 00:00:00.00 HW 0000_0000000000002321 A1    1  4435
D 2019-04-17 08:26:11.97 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-17 08:34:52.12 00:00:00.20 HW 0000_0000000000002321 A1    2  4436
D 2019-04-17 08:41:07.88 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-17 08:49:45.61 00:00:00.00 HW 0000_0000000000002321 A1    1  4436
D 2019-04-17 08:56:03.84 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-17 09:04:39.34 00:00:00.00 HW 0000_0000000000002321 A1    1  4438
D 2019-04-17 09:10:59.76 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-17 09:19:33.27 00:00:00.00 HW 0000_0000000000002321 A1    1  4439
D 2019-04-17 09:25:55.93 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 09:34:27.45 00:00:00.00 HW 0000_0000000000002321 A1    1  4440
D 2019-04-17 09:40:51.90 00:00:00.00 HR 0000_0000000180598569 A2    1  4449
D 2019-04-17 09:49:21.76 00:00:00.00 HW 0000_0000000000002321 A1    1  4441
D 2019-04-17 09:55:48.03 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 10:04:15.86 00:00:00.00 HW 0000_0000000000002321 A1    1  4440
D 2019-04-17 10:10:44.34 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-17 10:19:10.23 00:00:00.00 HW 0000_0000000000002321 A1    1  4441
D 2019-04-17 10:25:40.55 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 10:34:04.81 00:00:00.00 HW 0000_0000000000002321 A1    1  4442
D 2019-04-17 10:40:36.93 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-17 10:48:59.82 00:00:00.00 HW 0000_0000000000002321 A1    1  4444
D 2019-04-17 10:55:33.37 00:00:00.00 HR 0000_0000000180598569 A2    1  4451
D 2019-04-17 11:03:54.63 00:00:00.00 HW 0000_0000000000002321 A1    1  4443
D 2019-04-17 11:10:29.56 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 11:18:50.03 00:00:00.00 HW 0000_0000000000002321 A1    1  4446
D 2019-04-17 11:25:25.78 23:59:59.22 HR 0000_0000000180598569 A2    2  4450
D 2019-04-17 11:33:45.65 00:00:00.00 HW 0000_0000000000002321 A1    1  4447
D 2019-04-17 11:40:22.18 00:00:00.00 HR 0000_0000000180598569 A2    1  4450
D 2019-04-17 11:48:41.59 00:00:00.00 HW 0000_0000000000002321 A1    1  4449
