ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.19 Tx                                 EA 0.00   13.3 V     3.3 V   13:55:07.71
Rx 0.19 Tx A1 1.46 A2 1.00                 EA 0.69   13.3 V     3.3 V   13:55:08.23
Rx 0.19 Tx A1 1.46 A2 1.00                 EA 0.69   13.3 V     3.3 V   13:55:08.74

>up
Upload #16
Reader: Downstream12  Site: Do
--------- upload 16 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2019-05-09 13:35:18.67 upload 15 complete
E 2019-05-09 13:41:23.78 supply power ok 12.7V
E 2019-05-09 13:41:23.79 database file opened
E 2019-05-09 13:41:23.79 starting reader after power up
D 2019-05-09 13:41:36.41 00:00:05.23 HA      900_228000093612 A1   27    33
D 2019-05-09 13:41:43.06 00:00:01.60 HA      900_228000093612 A1    9     6
D 2019-05-09 13:41:52.72 00:00:00.80 HA      900_226000791727 A1    5    39
D 2019-05-09 13:41:54.93 00:00:00.61 HA      900_226000791727 A1    4     6
D 2019-05-09 13:42:00.17 00:00:01.02 HA      900_226000791727 A1    6    22
D 2019-05-09 13:42:14.38 00:00:00.60 HA      900_226000791733 A2    4   220
D 2019-05-09 13:42:16.59 00:00:00.61 HA      900_226000791733 A2    4     7
D 2019-05-09 13:53:50.30 00:00:00.00 HR 0000_0000000180598569 A1    1  3520
D 2019-05-09 13:55:03.91 00:00:00.00 HW 0000_0000000000002321 A2    1  3806
D 2019-05-09 14:08:46.68 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2019-05-09 14:09:59.08 00:00:00.00 HW 0000_0000000000002321 A2    1  4444
D 2019-05-09 14:23:43.30 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 14:24:54.29 00:00:00.00 HW 0000_0000000000002321 A2    1  4444
D 2019-05-09 14:38:39.72 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 14:39:49.52 00:00:00.00 HW 0000_0000000000002321 A2    1  4444
D 2019-05-09 14:53:36.17 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 14:54:44.54 00:00:00.00 HW 0000_0000000000002321 A2    1  4443
D 2019-05-09 15:08:32.54 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 15:09:39.12 00:00:00.00 HW 0000_0000000000002321 A2    1  4441
D 2019-05-09 15:23:29.00 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 15:24:33.14 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-05-09 15:38:25.19 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 15:39:26.91 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-09 15:53:21.44 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 15:54:20.56 00:00:00.00 HW 0000_0000000000002321 A2    1  4436
D 2019-05-09 16:08:17.62 00:00:00.20 HR 0000_0000000180598569 A1    2  4449
D 2019-05-09 16:09:14.12 00:00:00.00 HW 0000_0000000000002321 A2    1  4436
D 2019-05-09 16:23:13.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 16:24:07.86 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-09 16:38:10.20 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 16:39:01.45 00:00:00.00 HW 0000_0000000000002321 A2    1  4436
D 2019-05-09 16:53:06.40 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 16:53:54.83 00:00:00.00 HW 0000_0000000000002321 A2    1  4435
D 2019-05-09 17:08:02.79 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 17:08:48.19 00:00:00.20 HW 0000_0000000000002321 A2    2  4435
D 2019-05-09 17:22:58.97 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 17:23:41.58 00:00:00.00 HW 0000_0000000000002321 A2    1  4434
D 2019-05-09 17:37:55.13 00:00:00.20 HR 0000_0000000180598569 A1    2  4449
D 2019-05-09 17:38:34.71 00:00:00.20 HW 0000_0000000000002321 A2    2  4434
D 2019-05-09 17:52:51.51 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 17:53:28.06 00:00:00.00 HW 0000_0000000000002321 A2    1  4434
D 2019-05-09 18:07:47.64 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 18:08:21.38 00:00:00.00 HW 0000_0000000000002321 A2    1  4435
D 2019-05-09 18:22:44.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 18:23:14.54 00:00:00.00 HW 0000_0000000000002321 A2    1  4434
D 2019-05-09 18:37:40.22 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 18:38:07.70 00:00:00.00 HW 0000_0000000000002321 A2    1  4434
D 2019-05-09 18:52:36.59 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 18:53:00.66 00:00:00.00 HW 0000_0000000000002321 A2    1  4433
D 2019-05-09 19:07:32.77 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 19:07:53.62 00:00:00.00 HW 0000_0000000000002321 A2    1  4433
D 2019-05-09 19:22:29.14 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 19:22:46.76 00:00:00.00 HW 0000_0000000000002321 A2    1  4434
D 2019-05-09 19:37:25.33 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 19:37:39.72 00:00:00.00 HW 0000_0000000000002321 A2    1  4433
D 2019-05-09 19:52:21.70 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 19:52:32.47 00:00:00.00 HW 0000_0000000000002321 A2    1  4432
D 2019-05-09 20:07:17.88 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 20:07:25.23 00:00:00.00 HW 0000_0000000000002321 A2    1  4432
D 2019-05-09 20:22:14.22 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 20:22:18.16 00:00:00.00 HW 0000_0000000000002321 A2    1  4433
D 2019-05-09 20:37:10.53 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 20:37:10.05 00:00:00.19 HW 0000_0000000000002321 A2    2  4433
D 2019-05-09 20:52:04.03 00:00:00.00 HW 0000_0000000000002321 A2    1  4432
D 2019-05-09 20:52:06.74 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 21:06:57.00 00:00:00.20 HW 0000_0000000000002321 A2    2  4433
D 2019-05-09 21:07:03.14 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 21:21:50.16 00:00:00.20 HW 0000_0000000000002321 A2    2  4433
D 2019-05-09 21:21:59.32 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 21:36:43.33 00:00:00.00 HW 0000_0000000000002321 A2    1  4433
D 2019-05-09 21:36:55.71 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 21:51:36.31 00:00:00.00 HW 0000_0000000000002321 A2    1  4433
D 2019-05-09 21:51:52.11 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-09 22:06:29.28 00:00:00.00 HW 0000_0000000000002321 A2    1  4433
D 2019-05-09 22:06:48.31 00:00:00.21 HR 0000_0000000180598569 A1    2  4449
D 2019-05-09 22:21:22.23 00:00:00.00 HW 0000_0000000000002321 A2    1  4433
D 2019-05-09 22:21:44.68 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-09 22:36:15.23 00:00:00.00 HW 0000_0000000000002321 A2    1  4433
