ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.25 Tx                         A4 2.69 EA 1.45   12.9 V     3.3 V   13:26:34.30
Rx 0.21 Tx                         A4 2.71 EA 1.44   12.9 V     3.3 V   13:26:34.81
Rx 0.21 Tx                         A4 2.70 EA 1.45   12.9 V     3.3 V   13:26:35.32

>up
Upload #16
Reader: UPSTREAM 34  Site: Up
--------- upload 16 start ---------
E 2019-05-09 13:22:39.57 upload 15 complete
E 2019-05-09 13:27:48.70 supply power ok 12.7V
E 2019-05-09 13:27:48.70 database file opened
E 2019-05-09 13:27:48.70 starting reader after power up
D 2019-05-09 13:28:05.66 00:00:00.81 HA      900_226000791727 A4    5    65
D 2019-05-09 13:28:12.11 00:00:00.61 HA      900_226000791727 A4    4    27
D 2019-05-09 13:28:14.73 00:00:00.20 HA      900_226000791727 A4    2     9
D 2019-05-09 13:28:19.97 00:00:01.62 HA      900_228000093612 A4    9    24
D 2019-05-09 13:28:21.00 00:00:03.02 HA      900_228000093612 A4   11     1
D 2019-05-09 13:40:32.97 00:00:00.00 HW 0000_0000000000004896 A3    1  3775
D 2019-05-09 13:40:39.52 00:00:00.00 HR 0000_0000000180843403 A4    1  3651
D 2019-05-09 13:55:30.40 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-09 13:55:33.32 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-09 14:10:27.06 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-09 14:10:27.96 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-09 14:25:20.85 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-09 14:25:25.39 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-09 14:40:14.67 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-09 14:40:23.03 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-09 14:55:08.48 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-09 14:55:20.67 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-09 15:10:02.46 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-09 15:10:18.28 00:00:00.20 HW 0000_0000000000004896 A3    2  4456
D 2019-05-09 15:24:56.25 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-09 15:25:15.89 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-09 15:39:50.25 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-09 15:40:13.30 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-09 15:54:44.27 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-09 15:55:10.76 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-09 16:09:38.22 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-09 16:10:08.12 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-09 16:24:32.16 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-09 16:25:05.48 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-09 16:39:26.16 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-09 16:40:02.91 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-09 16:54:20.12 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-09 16:55:00.09 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-05-09 17:09:14.07 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-09 17:09:57.47 00:00:00.20 HW 0000_0000000000004896 A3    2  4455
D 2019-05-09 17:24:08.06 00:00:00.20 HR 0000_0000000180843403 A4    2  4438
D 2019-05-09 17:24:55.08 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-09 17:39:52.43 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-09 17:53:56.14 00:00:00.00 HR 0000_0000000180843403 A4    1  8877
D 2019-05-09 17:54:49.81 00:00:00.20 HW 0000_0000000000004896 A3    2  4455
D 2019-05-09 18:08:50.04 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-09 18:09:47.14 00:00:00.00 HW 0000_0000000000004896 A3    1  4453
D 2019-05-09 18:23:44.01 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-09 18:24:44.32 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-05-09 18:38:37.77 00:00:00.20 HR 0000_0000000180843403 A4    2  4437
D 2019-05-09 18:39:41.52 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-05-09 18:53:31.73 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-09 18:54:38.48 00:00:00.00 HW 0000_0000000000004896 A3    1  4453
