ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                 A3 0.86 A4 0.87 EA 0.53   12.2 V     3.3 V   13:18:53.97
Rx 0.20 Tx                 A3 0.86 A4 0.87 EA 0.52   12.2 V     3.3 V   13:18:54.49
Rx 0.20 Tx                 A3 0.86 A4 0.87 EA 0.52   12.2 V     3.3 V   13:18:54.01

>up
Upload #18
Reader: UPSTREAM 34  Site: Up
--------- upload 18 start ---------
E 2019-05-16 13:15:46.19 upload 17 complete
E 2019-05-16 13:17:16.33 supply power ok 12.6V
E 2019-05-16 13:17:16.33 database file opened
E 2019-05-16 13:17:16.33 starting reader after power up
E 2019-05-16 13:47:01.16 supply power ok 12.7V
E 2019-05-16 13:47:01.16 database file opened
E 2019-05-16 13:47:01.16 starting reader after power up
D 2019-05-16 13:47:11.47 00:00:00.00 HA      900_228000093612 A4    1    54
D 2019-05-16 13:47:11.67 00:00:00.00 HA      900_228000093612 A4    1     1
D 2019-05-16 13:47:11.87 00:00:00.91 HA      900_228000093612 A4   10     1
E 2019-05-16 13:48:35.28 supply power ok 12.7V
E 2019-05-16 13:48:35.28 database file opened
E 2019-05-16 13:48:35.28 starting reader after power up
E 2019-05-16 13:49:13.06 parameter change: mux sequence '34'
E 2019-05-16 13:50:15.30 supply power ok 12.6V
E 2019-05-16 13:50:15.30 database file opened
E 2019-05-16 13:50:15.30 starting reader after power up
D 2019-05-16 13:50:26.42 00:00:00.20 HA      900_228000093612 A4    2    31
D 2019-05-16 13:50:26.02 00:00:01.80 HA      900_228000093612 A4    5     1
D 2019-05-16 13:50:35.29 00:00:00.81 HA      900_226000791727 A4    5    36
D 2019-05-16 13:51:00.17 00:00:00.60 HA      900_226000791733 A3    4   198
D 2019-05-16 13:51:04.41 00:00:02.02 HA      900_226000791733 A3   11    17
D 2019-05-16 13:51:07.85 00:00:00.60 HA      900_226000791733 A3    4     6
D 2019-05-16 13:51:09.46 00:00:00.00 HA      900_226000791733 A3    1     4
D 2019-05-16 13:51:11.07 00:00:00.00 HA      900_226000791733 A3    1     7
D 2019-05-16 13:57:20.71 00:00:00.00 HR 0000_0000000180843403 A4    1  2008
D 2019-05-16 14:11:15.12 00:00:00.00 HW 0000_0000000000004896 A3    1  5978
D 2019-05-16 14:11:22.97 00:00:00.00 HW 0000_0000000000004896 A3    1    38
D 2019-05-16 14:11:34.45 00:00:00.00 HW 0000_0000000000004896 A3    1    56
D 2019-05-16 14:12:14.42 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-16 14:12:34.25 00:00:00.00 HW 0000_0000000000004896 A3    1   296
D 2019-05-16 14:12:38.87 00:00:00.00 HW 0000_0000000000004896 A3    1    22
D 2019-05-16 14:12:42.90 00:00:00.00 HW 0000_0000000000004896 A3    1    19
D 2019-05-16 14:12:43.31 00:00:00.20 HW 0000_0000000000004896 A3    2     1
D 2019-05-16 14:12:44.52 00:00:00.00 HW 0000_0000000000004896 A3    1     4
D 2019-05-16 14:12:44.92 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-05-16 14:12:45.53 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-05-16 14:12:46.14 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-05-16 14:12:46.74 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-05-16 14:13:17.54 00:00:00.00 HW 0000_0000000000004896 A3    1   152
D 2019-05-16 14:13:41.71 00:00:00.00 HW 0000_0000000000004896 A3    1   119
D 2019-05-16 14:14:09.50 00:00:00.00 HW 0000_0000000000004896 A3    1   137
D 2019-05-16 14:14:23.39 00:00:00.20 HW 0000_0000000000004896 A3    2    68
D 2019-05-16 14:14:55.41 00:00:00.00 HW 0000_0000000000004896 A3    1   157
D 2019-05-16 14:15:06.69 00:00:00.00 HW 0000_0000000000004896 A3    1    55
D 2019-05-16 14:15:19.37 00:00:00.00 HW 0000_0000000000004896 A3    1    62
D 2019-05-16 14:15:21.59 00:00:00.20 HW 0000_0000000000004896 A3    2    10
D 2019-05-16 14:15:23.60 00:00:00.00 HW 0000_0000000000004896 A3    1     8
D 2019-05-16 14:15:32.07 00:00:00.00 HW 0000_0000000000004896 A3    1    41
D 2019-05-16 14:15:41.73 00:00:00.00 HW 0000_0000000000004896 A3    1    47
D 2019-05-16 14:17:16.60 00:00:00.00 HA      900_228000008955 A3    1   470
D 2019-05-16 14:17:16.00 00:00:00.00 HA      900_228000008955 A3    1     1
D 2019-05-16 14:27:08.12 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-16 14:42:02.02 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-16 14:45:39.00 00:00:00.00 HW 0000_0000000000004896 A3    1  8451
D 2019-05-16 14:56:56.12 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-16 15:11:50.24 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-16 15:26:44.52 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-16 15:29:05.17 00:00:00.20 HA      900_226000791733 A3    2 12941
D 2019-05-16 15:29:05.77 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-05-16 15:29:07.39 00:00:00.00 HA      900_226000791733 A3    1     7
D 2019-05-16 15:29:09.00 00:00:00.00 HA      900_226000791733 A3    1     7
