ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.18 Tx A1 1.24 A2 0.95                 EA 0.62   11.8 V     3.3 V   05:50:06.50
Rx 0.18 Tx A1 1.24 A2 0.94                 EA 0.63   11.8 V     3.3 V   05:50:07.02
Rx 0.18 Tx A1 1.24 A2 0.94                 EA 0.63   11.8 V     3.3 V   05:50:07.53

>up
Upload #21
Reader: Downstream12  Site: Do
--------- upload 21 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2019-05-27 14:02:04.31 upload 20 complete
E 2019-05-27 14:09:29.71 supply power ok 12.5V
E 2019-05-27 14:09:29.71 database file opened
E 2019-05-27 14:09:29.71 starting reader after power up
D 2019-05-27 14:09:54.80 00:00:01.01 HA      900_228000093612 A1    6    95
D 2019-05-27 14:10:04.88 00:00:01.00 HA      900_226000791727 A1    6    44
D 2019-05-27 14:10:23.89 00:00:00.21 HA      900_226000791733 A2    2   238
D 2019-05-27 14:10:26.51 00:00:00.81 HA      900_226000791733 A2    5    11
D 2019-05-27 14:10:28.93 00:00:00.21 HA      900_226000791733 A2    2     7
D 2019-05-27 14:12:47.08 00:00:00.00 HW 0000_0000000000002321 A2    1   684
D 2019-05-27 14:19:29.30 00:00:00.00 HR 0000_0000000180598569 A1    1  2797
D 2019-05-27 14:27:48.38 00:00:00.00 HW 0000_0000000000002321 A2    1  4475
D 2019-05-27 14:34:25.96 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-05-27 14:42:48.07 00:00:00.00 HW 0000_0000000000002321 A2    1  4467
D 2019-05-27 14:49:22.62 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-05-27 14:57:47.75 00:00:00.20 HW 0000_0000000000002321 A2    2  4467
D 2019-05-27 15:04:19.12 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2019-05-27 15:12:48.45 00:00:00.00 HW 0000_0000000000002321 A2    1  4471
D 2019-05-27 15:19:15.76 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2019-05-27 15:27:49.16 00:00:00.00 HW 0000_0000000000002321 A2    1  4472
D 2019-05-27 15:34:12.47 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 15:42:49.30 00:00:00.00 HW 0000_0000000000002321 A2    1  4469
D 2019-05-27 15:49:09.20 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-05-27 15:57:48.07 00:00:00.00 HW 0000_0000000000002321 A2    1  4462
D 2019-05-27 16:04:05.76 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 16:12:46.46 00:00:00.00 HW 0000_0000000000002321 A2    1  4460
D 2019-05-27 16:19:02.34 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 16:27:44.63 00:00:00.00 HW 0000_0000000000002321 A2    1  4459
D 2019-05-27 16:33:58.93 00:00:00.21 HR 0000_0000000180598569 A1    2  4451
D 2019-05-27 16:42:42.47 00:00:00.20 HW 0000_0000000000002321 A2    2  4457
D 2019-05-27 16:48:55.53 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-27 16:57:40.70 00:00:00.00 HW 0000_0000000000002321 A2    1  4458
D 2019-05-27 17:03:52.20 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 17:12:38.77 00:00:00.20 HW 0000_0000000000002321 A2    2  4458
D 2019-05-27 17:18:48.85 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 17:27:36.84 00:00:00.00 HW 0000_0000000000002321 A2    1  4457
D 2019-05-27 17:33:45.50 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 17:42:33.82 00:00:00.00 HW 0000_0000000000002321 A2    1  4453
D 2019-05-27 17:48:41.83 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-27 17:57:30.77 00:00:00.00 HW 0000_0000000000002321 A2    1  4453
D 2019-05-27 18:03:38.39 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 18:12:27.91 00:00:00.21 HW 0000_0000000000002321 A2    2  4454
D 2019-05-27 18:18:34.89 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 18:27:25.04 00:00:00.00 HW 0000_0000000000002321 A2    1  4453
D 2019-05-27 18:33:31.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 18:42:21.76 00:00:00.00 HW 0000_0000000000002321 A2    1  4452
D 2019-05-27 18:48:27.77 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-27 18:57:18.07 00:00:00.20 HW 0000_0000000000002321 A2    2  4450
D 2019-05-27 19:03:24.29 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 19:12:14.22 00:00:00.00 HW 0000_0000000000002321 A2    1  4448
D 2019-05-27 19:18:20.83 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 19:27:10.12 00:00:00.00 HW 0000_0000000000002321 A2    1  4448
D 2019-05-27 19:33:17.31 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 19:42:05.13 00:00:00.20 HW 0000_0000000000002321 A2    2  4444
D 2019-05-27 19:48:13.70 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 19:56:59.93 00:00:00.00 HW 0000_0000000000002321 A2    1  4442
D 2019-05-27 20:03:10.11 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 20:11:54.57 00:00:00.00 HW 0000_0000000000002321 A2    1  4442
D 2019-05-27 20:18:06.44 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-27 20:26:48.83 00:00:00.21 HW 0000_0000000000002321 A2    2  4439
D 2019-05-27 20:33:02.97 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-27 20:41:43.07 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-05-27 20:47:59.35 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 20:56:37.14 00:00:00.00 HW 0000_0000000000002321 A2    1  4440
D 2019-05-27 21:02:55.61 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 21:11:30.83 00:00:00.00 HW 0000_0000000000002321 A2    1  4440
D 2019-05-27 21:17:51.96 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2019-05-27 21:26:24.46 00:00:00.20 HW 0000_0000000000002321 A2    2  4441
D 2019-05-27 21:32:48.21 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2019-05-27 21:41:18.31 00:00:00.00 HW 0000_0000000000002321 A2    1  4441
D 2019-05-27 21:47:44.68 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2019-05-27 21:56:11.93 00:00:00.00 HW 0000_0000000000002321 A2    1  4441
D 2019-05-27 22:02:40.96 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2019-05-27 22:11:05.70 00:00:00.00 HW 0000_0000000000002321 A2    1  4439
D 2019-05-27 22:17:37.32 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-27 22:25:59.39 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-27 22:32:33.47 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-27 22:40:52.87 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-27 22:47:29.81 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-27 22:55:46.46 00:00:00.00 HW 0000_0000000000002321 A2    1  4439
D 2019-05-27 23:02:26.18 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2019-05-27 23:10:39.97 00:00:00.00 HW 0000_0000000000002321 A2    1  4440
D 2019-05-27 23:17:22.23 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2019-05-27 23:25:33.42 00:00:00.20 HW 0000_0000000000002321 A2    2  4440
D 2019-05-27 23:32:18.48 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2019-05-27 23:40:27.05 00:00:00.00 HW 0000_0000000000002321 A2    1  4440
D 2019-05-27 23:47:14.74 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2019-05-27 23:55:20.32 00:00:00.00 HW 0000_0000000000002321 A2    1  4439
D 2019-05-28 00:02:10.89 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2019-05-28 00:10:13.70 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-05-28 00:17:07.04 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-05-28 00:25:07.05 00:00:00.20 HW 0000_0000000000002321 A2    2  4438
D 2019-05-28 00:32:03.17 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-28 00:40:00.52 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-05-28 00:46:59.36 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2019-05-28 00:54:53.83 00:00:00.00 HW 0000_0000000000002321 A2    1  4439
D 2019-05-28 01:01:55.40 00:00:00.20 HR 0000_0000000180598569 A1    2  4453
D 2019-05-28 01:09:47.14 00:00:00.00 HW 0000_0000000000002321 A2    1  4439
D 2019-05-28 01:16:51.64 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-05-28 01:24:40.69 00:00:00.00 HW 0000_0000000000002321 A2    1  4440
D 2019-05-28 01:31:47.68 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2019-05-28 01:39:34.13 00:00:00.00 HW 0000_0000000000002321 A2    1  4440
D 2019-05-28 01:46:43.86 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2019-05-28 01:54:27.50 00:00:00.20 HW 0000_0000000000002321 A2    2  4439
D 2019-05-28 02:01:39.97 00:00:00.20 HR 0000_0000000180598569 A1    2  4453
D 2019-05-28 02:09:20.79 00:00:00.21 HW 0000_0000000000002321 A2    2  4438
D 2019-05-28 02:16:36.25 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2019-05-28 02:24:14.41 00:00:00.00 HW 0000_0000000000002321 A2    1  4440
D 2019-05-28 02:31:32.46 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2019-05-28 02:39:07.71 00:00:00.00 HW 0000_0000000000002321 A2    1  4439
D 2019-05-28 02:46:28.62 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2019-05-28 02:54:00.85 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-05-28 03:01:24.56 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-05-28 03:08:54.33 00:00:00.00 HW 0000_0000000000002321 A2    1  4440
D 2019-05-28 03:16:20.81 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2019-05-28 03:23:47.50 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-05-28 03:31:16.92 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2019-05-28 03:38:40.63 00:00:00.20 HW 0000_0000000000002321 A2    2  4437
D 2019-05-28 03:46:12.96 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-05-28 03:53:33.99 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-05-28 04:01:09.01 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 04:08:27.15 00:00:00.00 HW 0000_0000000000002321 A2    1  4436
D 2019-05-28 04:16:05.13 00:00:00.20 HR 0000_0000000180598569 A1    2  4453
D 2019-05-28 04:23:20.21 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-05-28 04:31:01.31 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2019-05-28 04:38:13.26 00:00:00.20 HW 0000_0000000000002321 A2    2  4434
D 2019-05-28 04:45:57.59 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2019-05-28 04:53:06.40 00:00:00.20 HW 0000_0000000000002321 A2    2  4433
D 2019-05-28 05:00:53.64 00:00:00.20 HR 0000_0000000180598569 A1    2  4449
D 2019-05-28 05:07:59.61 00:00:00.00 HW 0000_0000000000002321 A2    1  4434
D 2019-05-28 05:15:49.90 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-28 05:22:52.70 00:00:00.00 HW 0000_0000000000002321 A2    1  4434
D 2019-05-28 05:30:46.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-28 05:37:45.76 00:00:00.00 HW 0000_0000000000002321 A2    1  4434
D 2019-05-28 05:45:42.29 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 05:52:38.79 00:00:00.00 HW 0000_0000000000002321 A2    1  4434
D 2019-05-28 06:00:38.33 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-28 06:07:31.81 00:00:00.20 HW 0000_0000000000002321 A2    2  4434
D 2019-05-28 06:15:34.54 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 06:22:25.04 00:00:00.00 HW 0000_0000000000002321 A2    1  4434
D 2019-05-28 06:30:30.62 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-28 06:37:18.31 00:00:00.20 HW 0000_0000000000002321 A2    2  4435
D 2019-05-28 06:45:26.92 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 06:52:11.94 00:00:00.00 HW 0000_0000000000002321 A2    1  4436
D 2019-05-28 07:00:23.14 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 07:07:05.54 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-28 07:15:19.40 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 07:21:59.20 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-28 07:30:15.50 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-28 07:36:52.92 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-28 07:45:11.81 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 07:51:47.21 00:00:00.00 HW 0000_0000000000002321 A2    1  4440
D 2019-05-28 08:00:08.28 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2019-05-28 08:06:41.25 00:00:00.20 HW 0000_0000000000002321 A2    2  4439
D 2019-05-28 08:15:04.77 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 08:21:35.74 00:00:00.20 HW 0000_0000000000002321 A2    2  4440
D 2019-05-28 08:30:01.29 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2019-05-28 08:36:30.85 00:00:00.00 HW 0000_0000000000002321 A2    1  4443
D 2019-05-28 08:44:57.82 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 08:51:25.39 00:00:00.00 HW 0000_0000000000002321 A2    1  4441
D 2019-05-28 08:59:53.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-28 09:06:19.93 00:00:00.00 HW 0000_0000000000002321 A2    1  4441
D 2019-05-28 09:14:50.14 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-28 09:21:14.09 00:00:00.20 HW 0000_0000000000002321 A2    2  4439
D 2019-05-28 09:29:46.51 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 09:36:08.24 00:00:00.20 HW 0000_0000000000002321 A2    2  4438
D 2019-05-28 09:44:42.70 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-28 09:51:02.21 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-28 09:59:38.82 00:00:00.21 HR 0000_0000000180598569 A1    2  4449
D 2019-05-28 10:05:56.08 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-05-28 10:14:35.08 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-28 10:20:49.91 00:00:00.21 HW 0000_0000000000002321 A2    2  4438
D 2019-05-28 10:29:31.35 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 10:35:43.78 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-28 10:44:27.62 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 10:50:37.43 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-28 10:59:23.68 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-28 11:05:31.04 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-28 11:14:19.89 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 11:20:24.65 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-28 11:29:16.10 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 11:35:18.24 00:00:00.00 HW 0000_0000000000002321 A2    1  4437
D 2019-05-28 11:44:12.30 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 11:50:11.83 00:00:00.20 HW 0000_0000000000002321 A2    2  4437
D 2019-05-28 11:59:08.36 00:00:00.20 HR 0000_0000000180598569 A1    2  4449
D 2019-05-28 12:05:06.08 00:00:00.00 HW 0000_0000000000002321 A2    1  4439
D 2019-05-28 12:14:04.63 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-28 12:20:00.32 00:00:00.00 HW 0000_0000000000002321 A2    1  4440
D 2019-05-28 12:29:00.87 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 12:34:54.55 00:00:00.00 HW 0000_0000000000002321 A2    1  4440
D 2019-05-28 12:43:57.13 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-28 12:49:48.42 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
