ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                 A3 0.87 A4 0.88 EA 0.53   12.0 V     3.3 V   05:19:03.51
Rx 0.21 Tx                 A3 0.87 A4 0.88 EA 0.54   12.0 V     3.3 V   05:19:04.04
Rx 0.21 Tx                 A3 0.87 A4 0.88 EA 0.54   12.0 V     3.3 V   05:19:04.55

>up
Upload #21
Reader: UPSTREAM 34  Site: Up
--------- upload 21 start ---------
E 2019-05-27 13:37:48.67 upload 20 complete
E 2019-05-27 13:38:46.67 supply power ok 12.1V
E 2019-05-27 13:38:46.67 database file opened
E 2019-05-27 13:38:46.67 starting reader after power up
E 2019-05-27 13:44:50.55 supply power ok 12.5V
E 2019-05-27 13:44:50.55 database file opened
E 2019-05-27 13:44:50.55 starting reader after power up
E 2019-05-27 13:48:28.31 supply power ok 12.6V
E 2019-05-27 13:48:28.31 database file opened
E 2019-05-27 13:48:28.31 starting reader after power up
D 2019-05-27 13:48:47.76 00:00:00.00 HW 0000_0000000000004896 A3    1    72
E 2019-05-27 13:49:08.52 supply power ok 12.6V
E 2019-05-27 13:49:08.52 database file opened
E 2019-05-27 13:49:08.52 starting reader after power up
D 2019-05-27 13:50:22.65 00:00:00.81 HA      900_228000093612 A4    5   349
D 2019-05-27 13:50:23.86 00:00:00.00 HA      900_228000093612 A4    1     1
D 2019-05-27 13:50:32.51 00:00:00.00 HA      900_226000791727 A4    1    42
D 2019-05-27 13:50:33.53 00:00:00.00 HA      900_226000791727 A4    1     4
D 2019-05-27 13:50:33.93 23:59:59.21 HA      900_226000791727 A4    2     1
D 2019-05-27 13:50:35.75 00:00:00.00 HA      900_226000791727 A4    1     7
D 2019-05-27 13:50:35.35 00:00:00.00 HA      900_226000791727 A4    1     2
D 2019-05-27 13:50:58.41 00:00:00.61 HA      900_226000791733 A3    4   526
E 2019-05-27 13:51:37.47 supply power ok 12.6V
E 2019-05-27 13:51:37.47 database file opened
E 2019-05-27 13:51:37.47 starting reader after power up
D 2019-05-27 13:59:25.29 00:00:00.00 HR 0000_0000000180843403 A4    1  2304
D 2019-05-27 14:03:46.36 00:00:00.00 HW 0000_0000000000004896 A3    1  3600
D 2019-05-27 14:10:13.49 00:00:00.61 HA      900_228000093612 A4    4  3218
D 2019-05-27 14:10:14.50 00:00:00.00 HA      900_228000093612 A4    1     1
D 2019-05-27 14:10:21.55 00:00:00.00 HA      900_226000791727 A4    1    34
D 2019-05-27 14:10:21.96 23:59:59.20 HA      900_226000791727 A4    2     1
D 2019-05-27 14:10:22.56 00:00:00.00 HA      900_226000791727 A4    1     1
D 2019-05-27 14:10:44.21 00:00:00.00 HA      900_226000791733 A3    1  2074
D 2019-05-27 14:10:48.24 00:00:00.00 HA      900_226000791733 A3    1    19
D 2019-05-27 14:10:48.05 00:00:00.00 HA      900_226000791733 A3    1     3
D 2019-05-27 14:14:19.36 00:00:00.00 HR 0000_0000000180843403 A4    1  1175
D 2019-05-27 14:18:45.05 00:00:00.00 HW 0000_0000000000004896 A3    1  2363
D 2019-05-27 14:29:13.39 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-27 14:33:43.52 00:00:00.00 HW 0000_0000000000004896 A3    1  4461
D 2019-05-27 14:44:07.42 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-27 14:59:01.51 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-27 15:03:40.10 00:00:00.00 HW 0000_0000000000004896 A3    1  8921
D 2019-05-27 15:13:55.74 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-27 15:18:38.37 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-05-27 15:28:50.02 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-27 15:43:44.33 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-27 15:48:35.23 00:00:00.00 HW 0000_0000000000004896 A3    1  8921
D 2019-05-27 15:58:38.48 00:00:00.20 HR 0000_0000000180843403 A4    2  4439
D 2019-05-27 16:03:33.41 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-27 16:13:32.83 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-27 16:18:31.58 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-27 16:28:27.01 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-27 16:43:21.20 00:00:00.21 HR 0000_0000000180843403 A4    2  4439
D 2019-05-27 16:48:27.83 00:00:00.00 HW 0000_0000000000004896 A3    1  8918
D 2019-05-27 16:58:15.43 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-27 17:13:09.48 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-27 17:28:03.74 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-27 17:42:57.85 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-27 17:48:19.74 00:00:00.00 HW 0000_0000000000004896 A3    1 17834
D 2019-05-27 17:57:52.00 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-27 18:03:17.53 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-27 18:12:46.10 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-27 18:27:40.41 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-27 18:33:13.20 00:00:00.00 HW 0000_0000000000004896 A3    1  8916
D 2019-05-27 18:42:34.54 00:00:00.20 HR 0000_0000000180843403 A4    2  4439
D 2019-05-27 18:48:10.75 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-27 18:57:28.85 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-27 19:03:08.46 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-27 19:12:23.17 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-27 19:27:17.46 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-27 19:42:11.86 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-05-27 19:57:06.06 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-27 20:12:00.29 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-27 20:17:55.89 00:00:00.00 HW 0000_0000000000004896 A3    1 22284
D 2019-05-27 20:26:54.41 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-27 20:32:53.03 00:00:00.00 HW 0000_0000000000004896 A3    1  4453
