ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.24 Tx                 A3 0.89 A4 0.87 EA 0.56   12.2 V     3.3 V   13:04:21.83
Rx 0.20 Tx                 A3 0.89 A4 0.87 EA 0.53   12.2 V     3.3 V   13:04:22.35
Rx 0.21 Tx                 A3 0.89 A4 0.87 EA 0.54   12.2 V     3.3 V   13:04:22.86

>up
Upload #24
Reader: UPSTREAM 34  Site: Up
--------- upload 24 start ---------
E 2019-06-06 13:32:45.67 upload 23 complete
E 2019-06-06 13:37:44.86 supply power ok 12.9V
E 2019-06-06 13:37:44.86 database file opened
E 2019-06-06 13:37:44.86 starting reader after power up
D 2019-06-06 13:37:54.96 00:00:00.81 HA      900_228000093612 A4    5    31
D 2019-06-06 13:38:02.23 00:00:00.60 HA      900_226000791727 A4    4    31
D 2019-06-06 13:38:12.79 00:00:00.00 HA      900_226000791733 A3    1   119
D 2019-06-06 13:38:13.40 00:00:00.00 HA      900_226000791733 A3    1     2
D 2019-06-06 13:45:10.35 00:00:00.20 HR 0000_0000000180843403 A4    2  2122
D 2019-06-06 13:52:24.29 00:00:01.00 HA      900_228000093612 A4    6  2153
D 2019-06-06 13:52:31.34 00:00:00.40 HA      900_226000791727 A4    3    29
D 2019-06-06 13:52:58.83 00:00:00.00 HA      900_226000791733 A3    1  4396
D 2019-06-06 13:53:02.66 00:00:00.00 HA      900_226000791733 A3    1    18
D 2019-06-06 13:53:04.67 00:00:00.00 HA      900_226000791733 A3    1     4
D 2019-06-06 13:53:05.68 00:00:00.00 HA      900_226000791733 A3    1     9
D 2019-06-06 13:53:21.78 00:00:00.00 HA      900_226000791733 A3    1    79
D 2019-06-06 13:53:23.40 00:00:00.00 HA      900_226000791733 A3    1     7
D 2019-06-06 13:53:24.80 00:00:00.00 HA      900_226000791733 A3    1     6
D 2019-06-06 13:53:26.03 00:00:00.00 HA      900_226000791733 A3    1     5
D 2019-06-06 13:53:27.23 00:00:00.00 HA      900_226000791733 A3    1     5
D 2019-06-06 13:53:29.05 00:00:00.00 HA      900_226000791733 A3    1     8
D 2019-06-06 13:53:29.45 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-06-06 13:53:29.85 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-06-06 13:53:29.45 00:00:00.00 HA      900_226000791733 A3    1     2
D 2019-06-06 13:53:31.06 00:00:00.00 HA      900_226000791733 A3    1     2
D 2019-06-06 13:53:31.07 00:00:00.20 HA      900_226000791733 A3    2     4
D 2019-06-06 13:53:33.67 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-06-06 13:53:33.67 00:00:00.00 HA      900_226000791733 A3    1     4
D 2019-06-06 13:53:33.28 00:00:00.00 HA      900_226000791733 A3    1     2
D 2019-06-06 13:53:37.50 00:00:00.00 HA      900_226000791733 A3    1    15
D 2019-06-06 13:53:37.90 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-06-06 13:53:37.31 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-06-06 13:53:40.93 00:00:00.00 HA      900_226000791733 A3    1    12
D 2019-06-06 13:53:44.75 00:00:00.00 HA      900_226000791733 A3    1    18
D 2019-06-06 13:53:47.57 00:00:00.00 HA      900_226000791733 A3    1    13
D 2019-06-06 13:53:56.64 00:00:00.00 HA      900_226000791733 A3    1    44
D 2019-06-06 13:53:56.45 00:00:00.00 HA      900_226000791733 A3    1     3
