ad
                           supply                    supply     clock
                            amps                      volts     volts
                                A4 0.84 EA 3.66   12.1 V     3.3 V   14:43:10.85
Rx 0.22 Tx                 A3 0.88 A4 0.84 EA 0.54   12.1 V     3.3 V   14:43:11.38
Rx 0.20 Tx                 A3 0.88 A4 0.82 EA 0.52   12.1 V     3.3 V   14:43:11.89
Rx 0.21 Tx                 A3 0.88 A4 0.84 EA 0.53   12.1 V     3.3 V   14:43:12.41

>up
Upload #26
Reader: UPSTREAM 34  Site: Up
--------- upload 26 start ---------
E 2019-06-13 14:38:39.29 upload 25 complete
E 2019-06-13 14:53:50.19 supply power ok 12.5V
E 2019-06-13 14:53:50.19 database file opened
E 2019-06-13 14:53:50.19 starting reader after power up
D 2019-06-13 14:53:57.28 00:00:00.20 HA      900_228000093612 A4    2    11
D 2019-06-13 14:53:57.08 00:00:00.20 HA      900_228000093612 A4    2     2
D 2019-06-13 14:54:05.53 00:00:00.00 HA      900_226000791727 A4    1    35
D 2019-06-13 14:54:05.14 00:00:00.00 HA      900_226000791727 A4    1     2
D 2019-06-13 14:54:06.54 00:00:00.00 HA      900_226000791727 A4    1     1
D 2019-06-13 14:54:18.93 00:00:00.20 HA      900_226000791733 A3    2   118
D 2019-06-13 14:54:19.93 00:00:00.21 HA      900_226000791733 A3    2     3
D 2019-06-13 14:54:20.94 00:00:00.21 HA      900_226000791733 A3    2     3
D 2019-06-13 14:58:34.27 00:00:00.00 HW 0000_0000000000004896 A3    1  1256
D 2019-06-13 15:13:31.62 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-13 15:16:41.92 00:00:00.00 HW 0000_0000000000004896 A3    1   944
D 2019-06-13 15:16:43.93 00:00:00.22 HW 0000_0000000000004896 A3    2     9
D 2019-06-13 15:16:47.76 00:00:00.00 HW 0000_0000000000004896 A3    1    17
D 2019-06-13 15:17:03.28 00:00:00.00 HW 0000_0000000000004896 A3    1    76
D 2019-06-13 15:17:04.29 00:00:00.00 HW 0000_0000000000004896 A3    1     4
D 2019-06-13 15:17:05.69 00:00:00.00 HW 0000_0000000000004896 A3    1     6
D 2019-06-13 15:17:07.51 00:00:00.00 HW 0000_0000000000004896 A3    1     8
D 2019-06-13 15:17:08.71 00:00:00.00 HW 0000_0000000000004896 A3    1     5
D 2019-06-13 15:18:57.48 00:00:00.81 HA      900_226000791733 A3    5   539
D 2019-06-13 15:19:00.11 00:00:01.21 HA      900_226000791733 A3    7     8
D 2019-06-13 15:19:08.99 00:00:01.21 HA      900_226000791733 A3    7    37
D 2019-06-13 15:19:10.60 00:00:00.62 HA      900_226000791733 A3    4     1
D 2019-06-13 15:19:19.68 00:00:01.02 HA      900_226000791733 A3    6    41
D 2019-06-13 15:19:25.74 00:00:00.00 HA      900_226000791733 A3    1    24
D 2019-06-13 15:19:25.35 00:00:00.00 HA      900_226000791733 A3    1     2
D 2019-06-13 15:19:53.17 00:00:01.61 HA      900_226000791733 A3    9   132
D 2019-06-13 15:19:54.59 00:00:01.61 HA      900_226000791733 A3    4     3
D 2019-06-13 15:19:57.61 00:00:00.41 HA      900_226000791733 A3    3     6
D 2019-06-13 15:19:58.42 00:00:00.81 HA      900_226000791733 A3    5     1
D 2019-06-13 15:20:03.27 00:00:04.45 HA      900_226000791733 A3   23    19
D 2019-06-13 15:23:02.63 00:00:00.00 HR 0000_0000000180843403 A4    1  8619
D 2019-06-13 15:23:04.36 00:00:01.40 HA      900_226000791733 A3    8   876
D 2019-06-13 15:23:08.59 00:00:02.03 HA      900_226000791733 A3   11    13
D 2019-06-13 15:23:10.43 00:00:00.00 HA      900_226000791733 A3    1     3
D 2019-06-13 15:23:12.63 00:00:00.20 HA      900_226000791733 A3    2     5
D 2019-06-13 15:23:42.86 00:00:00.41 HA      900_226000791733 A3    3   148
D 2019-06-13 15:23:44.28 00:00:00.20 HA      900_226000791733 A3    2     4
D 2019-06-13 15:23:59.21 00:00:00.82 HA      900_226000791733 A3    5    72
D 2019-06-13 15:24:01.63 00:00:00.00 HA      900_226000791733 A3    1     7
D 2019-06-13 15:24:01.04 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-06-13 15:24:03.86 00:00:00.41 HA      900_226000791733 A3    3     8
D 2019-06-13 15:24:05.87 00:00:00.41 HA      900_226000791733 A3    3     7
D 2019-06-13 15:24:07.50 00:00:01.00 HA      900_226000791733 A3    6     5
D 2019-06-13 15:24:08.11 00:00:02.22 HA      900_226000791733 A3    7     2
D 2019-06-13 15:24:11.33 00:00:00.81 HA      900_226000791733 A3    5     4
D 2019-06-13 15:24:13.56 00:00:00.60 HA      900_226000791733 A3    4     6
D 2019-06-13 15:24:35.96 00:00:00.60 HA      900_226000791733 A3    4   107
D 2019-06-13 15:24:53.93 00:00:00.80 HA      900_226000791733 A3    5    85
D 2019-06-13 15:25:04.22 00:00:00.61 HA      900_226000791733 A3    4    46
D 2019-06-13 15:25:22.39 00:00:00.61 HA      900_226000791733 A3    4    86
D 2019-06-13 15:25:32.08 00:00:00.81 HA      900_226000791733 A3    5    44
D 2019-06-13 15:25:49.25 00:00:00.40 HA      900_226000791733 A3    3    80
D 2019-06-13 15:25:56.71 00:00:00.41 HA      900_226000791733 A3    3    34
D 2019-06-13 15:26:10.24 00:00:00.40 HA      900_226000791733 A3    3    64
D 2019-06-13 15:26:19.53 00:00:00.40 HA      900_226000791733 A3    3    43
D 2019-06-13 15:26:29.42 00:00:00.40 HA      900_226000791733 A3    3    46
D 2019-06-13 15:26:40.70 00:00:00.41 HA      900_226000791733 A3    3    53
D 2019-06-13 15:26:42.13 00:00:01.40 HA      900_226000791733 A3    8     4
D 2019-06-13 15:26:55.23 00:00:00.61 HA      900_226000791733 A3    4    57
D 2019-06-13 15:27:05.72 00:00:00.61 HA      900_226000791733 A3    4    48
D 2019-06-13 15:27:34.74 00:00:00.61 HA      900_226000791733 A3    4   140
D 2019-06-13 15:28:05.23 00:00:01.21 HA      900_226000791733 A3    7   147
D 2019-06-13 15:31:01.06 00:00:00.00 HW 0000_0000000000004896 A3    1   866
D 2019-06-13 15:31:06.90 00:00:00.00 HW 0000_0000000000004896 A3    1    28
D 2019-06-13 15:31:08.52 00:00:00.00 HW 0000_0000000000004896 A3    1     7
D 2019-06-13 15:31:09.53 00:00:00.00 HW 0000_0000000000004896 A3    1     4
D 2019-06-13 15:31:10.93 00:00:00.00 HW 0000_0000000000004896 A3    1     6
D 2019-06-13 15:31:13.55 00:00:00.00 HW 0000_0000000000004896 A3    1    12
D 2019-06-13 15:31:16.37 00:00:00.00 HW 0000_0000000000004896 A3    1    13
D 2019-06-13 15:31:17.78 00:00:00.00 HW 0000_0000000000004896 A3    1     6
D 2019-06-13 15:31:19.79 00:00:00.00 HW 0000_0000000000004896 A3    1     4
D 2019-06-13 15:31:35.90 00:00:00.00 HW 0000_0000000000004896 A3    1    84
D 2019-06-13 15:31:37.33 00:00:00.00 HW 0000_0000000000004896 A3    1     6
D 2019-06-13 15:32:05.31 00:00:00.21 HW 0000_0000000000004896 A3    2   138
D 2019-06-13 15:33:07.35 00:00:00.00 HW 0000_0000000000004896 A3    1   306
D 2019-06-13 15:33:30.11 00:00:00.00 HW 0000_0000000000004896 A3    1   112
