ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                 A3 0.87         EA 0.53   12.2 V     3.3 V   11:53:32.86
Rx 0.22 Tx                 A3 0.87 A4 0.82 EA 0.52   12.2 V     3.3 V   11:53:33.39
Rx 0.20 Tx                 A3 0.88 A4 0.82 EA 0.52   12.2 V     3.3 V   11:53:33.90

>up
Upload #30
Reader: UPSTREAM 34  Site: Up
--------- upload 30 start ---------
E 2019-06-27 14:05:12.13 upload 29 complete
E 2019-06-27 14:27:40.45 supply power ok 12.6V
E 2019-06-27 14:27:40.45 database file opened
E 2019-06-27 14:27:40.45 starting reader after power up
E 2019-06-27 14:28:09.54 parameter change: mux sequence '34'
E 2019-06-27 14:28:57.89 supply power ok 12.6V
E 2019-06-27 14:28:57.90 database file opened
E 2019-06-27 14:28:57.90 starting reader after power up
D 2019-06-27 14:36:17.55 00:00:01.20 HA      900_228000093612 A4    7  2164
D 2019-06-27 14:36:24.80 00:00:00.61 HA      900_226000791727 A4    4    29
D 2019-06-27 14:36:30.14 00:00:00.00 HW 0000_0000000000004896 A3    1  2226
D 2019-06-27 14:36:30.54 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-27 14:36:30.94 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-27 14:36:32.36 00:00:00.00 HW 0000_0000000000004896 A3    1     6
D 2019-06-27 14:36:32.96 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-27 14:36:36.38 00:00:00.21 HW 0000_0000000000004896 A3    2    16
D 2019-06-27 14:36:36.00 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-27 14:36:37.80 00:00:00.00 HW 0000_0000000000004896 A3    1     3
D 2019-06-27 14:36:38.21 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-27 14:36:59.35 00:00:00.00 HW 0000_0000000000004896 A3    1   104
D 2019-06-27 14:37:00.56 00:00:00.00 HW 0000_0000000000004896 A3    1     5
