ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.23 Tx                 A3 0.85 A4 0.83 EA 0.53   11.9 V     3.2 V   14:43:04.73
Rx 0.20 Tx                 A3 0.85 A4 0.83 EA 0.52   11.9 V     3.2 V   14:43:05.24
Rx 0.21 Tx                 A3 0.85 A4 0.83 EA 0.52   11.9 V     3.2 V   14:43:05.75

>up
Upload #3
Reader: UPSTREAM 34  Site: Up
--------- upload 3 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2019-03-28 14:33:38.26 upload 2 complete
D 2019-03-28 14:36:20.42 00:00:00.00 HR 0000_0000000180843403 A4    1  1506
E 2019-03-28 14:43:18.90 supply power ok 12.6V
E 2019-03-28 14:43:18.90 database file opened
E 2019-03-28 14:43:18.90 starting reader after power up
D 2019-03-28 14:46:00.69 00:00:00.00 HW 0000_0000000000004896 A3    1   785
D 2019-03-28 14:46:30.51 00:00:00.00 HW 0000_0000000000004896 A3    1   147
D 2019-03-28 14:46:36.35 00:00:00.00 HW 0000_0000000000004896 A3    1    28
D 2019-03-28 14:46:40.78 00:00:00.00 HW 0000_0000000000004896 A3    1    21
D 2019-03-28 14:46:40.58 00:00:00.00 HW 0000_0000000000004896 A3    1     3
D 2019-03-28 14:46:42.39 00:00:00.00 HW 0000_0000000000004896 A3    1     3
D 2019-03-28 14:46:42.20 00:00:00.00 HW 0000_0000000000004896 A3    1     3
D 2019-03-28 14:46:43.00 00:00:00.00 HW 0000_0000000000004896 A3    1     3
D 2019-03-28 14:46:44.80 00:00:00.00 HW 0000_0000000000004896 A3    1     3
D 2019-03-28 14:46:56.68 00:00:00.00 HW 0000_0000000000004896 A3    1    58
D 2019-03-28 14:46:56.49 00:00:00.00 HW 0000_0000000000004896 A3    1     3
D 2019-03-28 14:46:59.70 00:00:00.00 HW 0000_0000000000004896 A3    1    10
D 2019-03-28 14:47:02.52 00:00:00.00 HW 0000_0000000000004896 A3    1    13
D 2019-03-28 14:47:31.53 00:00:00.00 HA      900_226000791733 A3    1   143
D 2019-03-28 14:47:33.75 00:00:00.20 HA      900_226000791733 A3    2    10
D 2019-03-28 14:47:35.96 00:00:00.21 HA      900_226000791733 A3    2     9
D 2019-03-28 14:47:37.97 00:00:00.00 HA      900_226000791733 A3    1     8
D 2019-03-28 14:47:38.58 00:00:00.00 HA      900_226000791733 A3    1     2
D 2019-03-28 14:48:30.85 00:00:02.43 HA      900_228000093612 A4   13  1529
D 2019-03-28 14:48:35.91 00:00:01.41 HA      900_228000093612 A4    8    12
D 2019-03-28 14:48:42.36 00:00:04.66 HA      900_228000093612 A4   24    24
D 2019-03-28 14:48:47.42 00:00:01.20 HA      900_228000093612 A4    7     1
D 2019-03-28 14:48:51.05 00:00:01.82 HA      900_228000093612 A4   10    11
D 2019-03-28 14:48:53.88 00:00:02.43 HA      900_228000093612 A4   13     4
D 2019-03-28 14:48:56.71 00:00:07.88 HA      900_228000093612 A4   40     1
