ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.18 Tx         A2 0.56                 EA 0.36   11.3 V     0.0 V   13:09:43.63
Rx 0.18 Tx A1 1.64 A2 0.55                 EA 0.62   11.3 V     0.0 V   13:09:44.15
Rx 0.18 Tx A1 1.67 A2 0.55                 EA 0.63   11.3 V     0.0 V   13:09:44.66

>up
Upload #5
Reader: Downstream12  Site: Do
--------- upload 5 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2019-04-04 13:49:45.79 upload 4 complete
E 2019-04-04 13:56:56.29 supply power ok 12.1V
E 2019-04-04 13:56:56.29 database file opened
E 2019-04-04 13:56:56.29 starting reader after power up
D 2019-04-04 13:57:05.20 00:00:00.40 HA      900_226000791733 A2    3    13
D 2019-04-04 13:57:06.60 00:00:00.20 HA      900_226000791733 A2    2     4
D 2019-04-04 13:57:07.61 00:00:01.21 HA      900_226000791733 A2    7     3
D 2019-04-04 13:57:09.43 00:00:00.00 HA      900_226000791733 A2    1     2
D 2019-04-04 13:57:09.83 23:59:59.20 HA      900_226000791733 A2    2     1
D 2019-04-04 13:57:10.83 00:00:00.41 HA      900_226000791733 A2    3     3
D 2019-04-04 13:57:21.11 00:00:01.00 HA      900_226000791733 A2    6    48
D 2019-04-04 13:57:23.32 00:00:00.81 HA      900_226000791733 A2    5     5
D 2019-04-04 13:57:25.93 00:00:00.41 HA      900_226000791733 A2    3     8
D 2019-04-04 13:57:26.15 00:00:00.00 HA      900_226000791733 A2    1     3
D 2019-04-04 13:58:01.08 00:00:01.40 HA      900_228000093612 A1    8   292
D 2019-04-04 13:58:09.53 00:00:00.61 HA      900_226000791727 A1    4    34
D 2019-04-04 14:02:14.58 00:00:00.00 HR 0000_0000000180598569 A1    1  1213
D 2019-04-04 14:17:11.27 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-04-04 14:31:42.36 00:00:01.41 HA      900_228000093612 A1    8  4325
D 2019-04-04 14:31:53.04 00:00:01.40 HA      900_226000791727 A1    8    45
D 2019-04-04 14:32:07.23 00:00:00.40 HA      900_226000791733 A2    3 10329
D 2019-04-04 14:32:07.93 00:00:00.00 HR 0000_0000000180598569 A1    1    66
D 2019-04-04 14:32:08.84 23:59:59.20 HA      900_226000791733 A2    2     5
D 2019-04-04 14:32:10.25 00:00:00.20 HA      900_226000791733 A2    2     5
D 2019-04-04 14:32:12.06 00:00:00.60 HA      900_226000791733 A2    4     7
D 2019-04-04 14:32:12.27 00:00:00.20 HA      900_226000791733 A2    2     2
D 2019-04-04 14:32:14.87 00:00:00.00 HA      900_226000791733 A2    1     1
D 2019-04-04 14:38:01.55 00:00:00.81 HA      900_228000093612 A1    5  1755
D 2019-04-04 14:38:05.38 00:00:00.60 HA      900_226000791727 A1    4    14
D 2019-04-04 14:38:21.59 00:00:00.40 HA      900_226000791733 A2    3  1825
D 2019-04-04 14:38:23.20 00:00:00.00 HA      900_226000791733 A2    1     5
D 2019-04-04 14:38:23.80 00:00:01.61 HA      900_226000791733 A2    9     2
D 2019-04-04 14:38:25.22 00:00:02.21 HA      900_226000791733 A2    7     3
D 2019-04-04 14:38:28.83 00:00:00.00 HW 0000_0000000000002321 A2    1     6
D 2019-04-04 14:47:04.68 00:00:00.00 HR 0000_0000000180598569 A1    1  2674
D 2019-04-04 14:53:25.77 00:00:00.00 HW 0000_0000000000002321 A2    1  4453
D 2019-04-04 15:02:01.35 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-04-04 15:16:58.02 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-04-04 15:31:54.67 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-04-04 15:46:51.28 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-04-04 16:01:47.92 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-04-04 16:16:44.37 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
