up
Upload #5
Reader: UPSTREAM 34  Site: Up
--------- upload 5 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2019-04-04 13:22:46.98 upload 4 complete
D 2019-04-04 13:23:00.41 00:00:00.00 HR 0000_0000000180843403 A4    1   551
E 2019-04-04 13:35:19.02 supply power ok 12.9V
E 2019-04-04 13:35:19.02 database file opened
E 2019-04-04 13:35:19.02 starting reader after power up
D 2019-04-04 13:35:44.16 00:00:01.41 HA      900_228000093612 A4    8   100
D 2019-04-04 13:35:45.97 23:59:59.41 HA      900_228000093612 A4    3     1
D 2019-04-04 13:35:46.78 00:00:00.20 HA      900_228000093612 A4    2     1
D 2019-04-04 13:35:49.01 00:00:02.82 HA      900_228000093612 A4   15     9
D 2019-04-04 13:36:02.91 00:00:01.00 HA      900_226000791727 A4    6    54
D 2019-04-04 13:36:07.15 00:00:01.61 HA      900_226000791727 A4    9    15
D 2019-04-04 13:36:40.79 00:00:01.41 HA      900_228000093612 A4    8   158
D 2019-04-04 13:36:50.46 00:00:00.61 HA      900_226000791727 A4    4    40
D 2019-04-04 13:36:58.72 00:00:00.60 HA      900_226000791727 A4    4    37
D 2019-04-04 13:36:59.93 00:00:00.61 HA      900_226000791727 A4    4     2
D 2019-04-04 13:37:00.15 00:00:01.60 HA      900_226000791727 A4    4     2
D 2019-04-04 13:37:01.55 00:00:02.41 HA      900_226000791727 A4    3     3
D 2019-04-04 13:37:11.53 00:00:00.00 HA      900_226000791733 A3    1   535
D 2019-04-04 13:37:11.93 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-04-04 13:37:12.53 00:00:00.00 HA      900_226000791733 A3    1     2
D 2019-04-04 13:37:14.35 00:00:00.00 HA      900_226000791733 A3    1     5
D 2019-04-04 13:37:15.35 00:00:00.00 HA      900_226000791733 A3    1     4
D 2019-04-04 13:37:15.75 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-04-04 13:37:17.77 00:00:00.40 HA      900_226000791733 A3    3     9
D 2019-04-04 13:37:18.57 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-04-04 13:37:19.18 00:00:00.20 HA      900_226000791733 A3    2     2
D 2019-04-04 13:37:19.00 00:00:00.00 HA      900_226000791733 A3    1     2
D 2019-04-04 13:37:21.39 00:00:00.41 HA      900_226000791733 A3    3     6
D 2019-04-04 13:37:22.61 00:00:00.00 HA      900_226000791733 A3    1     3
D 2019-04-04 13:37:54.93 00:00:00.00 HR 0000_0000000180843403 A4    1   254
D 2019-04-04 13:50:35.16 00:00:00.00 HW 0000_0000000000004896 A3    1  3935
D 2019-04-04 13:52:49.37 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-04-04 14:05:33.42 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-04 14:07:44.00 00:00:00.00 HR 0000_0000000180843403 A4    1  4442
D 2019-04-04 14:20:31.70 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-04 14:22:38.45 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-04-04 14:35:30.19 00:00:00.00 HW 0000_0000000000004896 A3    1  4461
D 2019-04-04 14:37:32.92 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-04-04 14:39:52.28 00:00:00.60 HA      900_228000093612 A4    4   691
D 2019-04-04 14:39:53.29 00:00:00.00 HA      900_228000093612 A4    1     1
D 2019-04-04 14:40:03.16 00:00:00.00 HA      900_226000791727 A4    1    48
D 2019-04-04 14:40:03.56 00:00:00.00 HA      900_226000791727 A4    1     1
D 2019-04-04 14:40:11.12 00:00:00.00 HA      900_226000791733 A3    1  1394
D 2019-04-04 14:40:11.72 00:00:00.80 HA      900_226000791733 A3    5     2
D 2019-04-04 14:40:13.93 00:00:00.22 HA      900_226000791733 A3    2     6
D 2019-04-04 14:40:15.55 00:00:00.00 HA      900_226000791733 A3    1     6
D 2019-04-04 14:40:15.95 00:00:00.81 HA      900_226000791733 A3    5     1
D 2019-04-04 14:40:16.58 00:00:02.40 HA      900_226000791733 A3    3     3
D 2019-04-04 14:40:19.79 00:00:00.21 HA      900_226000791733 A3    2     8
D 2019-04-04 14:50:28.33 00:00:00.00 HW 0000_0000000000004896 A3    1  3020
D 2019-04-04 14:52:27.44 00:00:00.00 HR 0000_0000000180843403 A4    1  3693
D 2019-04-04 15:05:26.60 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-04 15:07:22.09 00:00:00.00 HR 0000_0000000180843403 A4    1  4442
D 2019-04-04 15:20:24.87 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-04 15:22:16.52 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-04-04 15:35:22.91 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-04-04 15:37:11.14 00:00:00.00 HR 0000_0000000180843403 A4    1  4442
D 2019-04-04 15:50:20.93 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-04-04 15:52:05.73 00:00:00.00 HR 0000_0000000180843403 A4    1  4442
D 2019-04-04 16:05:19.20 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-04 16:07:00.37 00:00:00.00 HR 0000_0000000180843403 A4    1  4442
D 2019-04-04 16:20:17.27 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-04-04 16:21:54.83 00:00:00.21 HR 0000_0000000180843403 A4    2  4441
D 2019-04-04 16:35:15.38 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-04-04 16:36:49.72 00:00:00.00 HR 0000_0000000180843403 A4    1  4442
D 2019-04-04 16:50:13.27 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-04-04 16:51:44.58 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-04 17:05:11.34 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-04-04 17:06:39.64 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-04 17:20:09.39 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-04-04 17:21:34.46 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-04 17:35:07.26 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-04-04 17:36:29.32 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-04 17:50:05.15 00:00:00.20 HW 0000_0000000000004896 A3    2  4458
D 2019-04-04 17:51:24.18 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-04 18:05:03.15 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-04-04 18:06:19.15 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-04 18:20:00.93 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-04-04 18:21:13.93 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-04 18:34:58.75 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-04-04 18:36:08.72 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-04 18:49:56.57 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-04-04 18:51:03.51 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-04 19:04:54.19 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 19:05:58.11 00:00:00.00 HR 0000_0000000180843403 A4    1  4442
D 2019-04-04 19:19:51.77 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 19:20:52.88 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-04 19:34:49.55 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-04-04 19:49:47.14 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 19:50:42.82 00:00:00.00 HR 0000_0000000180843403 A4    1  8889
D 2019-04-04 20:04:44.90 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-04-04 20:05:37.77 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-04 20:19:42.72 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-04-04 20:20:32.76 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-04 20:34:40.28 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 20:35:27.70 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-04 20:49:37.71 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-04-04 20:50:22.71 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-04 21:04:35.34 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 21:05:17.73 00:00:00.20 HR 0000_0000000180843403 A4    2  4444
D 2019-04-04 21:19:32.82 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-04-04 21:20:12.78 00:00:00.20 HR 0000_0000000180843403 A4    2  4443
D 2019-04-04 21:34:30.05 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-04-04 21:35:08.01 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-04 21:49:27.67 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 21:50:03.02 00:00:00.20 HR 0000_0000000180843403 A4    2  4444
D 2019-04-04 22:04:25.10 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-04-04 22:04:58.22 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-04 22:19:22.73 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 22:19:53.23 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-04 22:34:20.32 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 22:34:48.40 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-04-04 22:49:17.93 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 22:49:43.40 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-04 23:04:15.58 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 23:04:38.42 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-04 23:19:13.23 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 23:19:33.26 00:00:00.20 HR 0000_0000000180843403 A4    2  4443
D 2019-04-04 23:34:10.86 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 23:34:28.28 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-04 23:49:08.49 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-04 23:49:23.28 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-05 00:04:05.94 00:00:00.22 HW 0000_0000000000004896 A3    2  4456
D 2019-04-05 00:04:18.14 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-05 00:19:03.61 00:00:00.20 HW 0000_0000000000004896 A3    2  4456
D 2019-04-05 00:19:12.98 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-05 00:34:01.28 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-04-05 00:34:08.02 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-05 00:48:58.70 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-04-05 00:49:02.83 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-05 01:03:55.92 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-04-05 01:03:57.83 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-05 01:18:52.79 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-05 01:18:53.30 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-04-05 01:33:47.77 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-05 01:33:50.49 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-04-05 01:48:42.76 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-05 01:48:48.10 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-05 02:03:37.73 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-05 02:03:45.48 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-04-05 02:18:32.53 00:00:00.20 HR 0000_0000000180843403 A4    2  4443
D 2019-04-05 02:18:43.10 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-05 02:33:27.73 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-05 02:33:40.71 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-05 02:48:22.72 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-05 02:48:38.33 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
