ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.18 Tx         A2 1.00                 EA 0.58   13.3 V     0.0 V   11:53:30.95
Rx 0.23 Tx A1 1.48 A2 1.02                 EA 0.73   13.3 V     0.0 V   11:53:31.47
Rx 0.21 Tx A1 1.50 A2 1.02                 EA 0.72   13.3 V     0.0 V   11:53:31.98

>eu  up
Upload #14
Reader: Downstream12  Site: Do
--------- upload 14 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2019-05-02 14:23:43.09 upload 13 complete
D 2019-05-02 14:23:54.61 00:00:00.00 HW 0000_0000000000002321 A2    1   224
E 2019-05-02 14:35:15.36 supply power ok 12.8V
E 2019-05-02 14:35:15.36 database file opened
E 2019-05-02 14:35:15.36 starting reader after power up
D 2019-05-02 14:35:31.36 00:00:00.81 HA      900_226000791727 A1    5    50
D 2019-05-02 14:35:44.35 00:00:00.60 HA      900_226000791733 A2    4   113
D 2019-05-02 14:35:46.36 00:00:00.81 HA      900_226000791733 A2    5     6
D 2019-05-02 14:35:48.78 00:00:01.00 HA      900_226000791733 A2    6     7
D 2019-05-02 14:35:51.79 00:00:00.00 HA      900_226000791733 A2    1     4
D 2019-05-02 14:38:54.07 00:00:00.00 HW 0000_0000000000002321 A2    1   909
D 2019-05-02 14:45:51.84 00:00:00.00 HR 0000_0000000180598569 A1    1  3076
D 2019-05-02 14:53:53.95 00:00:00.00 HW 0000_0000000000002321 A2    1  4467
D 2019-05-02 15:00:48.15 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2019-05-02 15:08:53.41 00:00:00.20 HW 0000_0000000000002321 A2    2  4465
D 2019-05-02 15:15:44.75 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-02 15:23:52.25 00:00:00.00 HW 0000_0000000000002321 A2    1  4461
D 2019-05-02 15:30:41.18 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-02 15:38:51.70 00:00:00.00 HW 0000_0000000000002321 A2    1  4465
D 2019-05-02 15:45:37.81 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-02 15:53:51.17 00:00:00.00 HW 0000_0000000000002321 A2    1  4465
D 2019-05-02 16:00:34.49 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-02 16:08:49.65 00:00:00.00 HW 0000_0000000000002321 A2    1  4460
D 2019-05-02 16:15:30.93 00:00:00.21 HR 0000_0000000180598569 A1    2  4450
D 2019-05-02 16:23:47.72 00:00:00.00 HW 0000_0000000000002321 A2    1  4458
D 2019-05-02 16:30:27.59 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-02 16:38:45.37 00:00:00.20 HW 0000_0000000000002321 A2    2  4456
D 2019-05-02 16:45:24.24 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-02 16:53:43.23 00:00:00.00 HW 0000_0000000000002321 A2    1  4456
D 2019-05-02 17:00:20.84 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-02 17:08:40.61 00:00:00.00 HW 0000_0000000000002321 A2    1  4455
D 2019-05-02 17:15:17.46 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-02 17:23:37.19 00:00:00.00 HW 0000_0000000000002321 A2    1  4451
D 2019-05-02 17:30:13.81 00:00:00.21 HR 0000_0000000180598569 A1    2  4450
D 2019-05-02 17:38:33.38 00:00:00.00 HW 0000_0000000000002321 A2    1  4449
D 2019-05-02 17:45:10.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-02 17:53:28.77 00:00:00.00 HW 0000_0000000000002321 A2    1  4445
D 2019-05-02 18:00:06.85 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-02 18:08:23.79 00:00:00.00 HW 0000_0000000000002321 A2    1  4443
D 2019-05-02 18:15:03.26 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
