ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx                 A3 2.75         EA 1.46   13.1 V     3.3 V   12:27:07.26
Rx 0.23 Tx                 A3 2.73 A4 0.85 EA 1.01   13.0 V     3.3 V   12:27:07.77
Rx 0.22 Tx                 A3 2.72 A4 0.89 EA 1.01   13.1 V     3.3 V   12:27:08.29

>up
Upload #14
Reader: UPSTREAM 34  Site: Up
--------- upload 14 start ---------
E 2019-05-02 14:12:42.55 upload 13 complete
E 2019-05-02 14:17:35.03 supply power ok 12.7V
E 2019-05-02 14:17:35.03 database file opened
E 2019-05-02 14:17:35.03 starting reader after power up
D 2019-05-02 14:17:51.37 00:00:00.20 HA      900_228000093612 A4    2    57
D 2019-05-02 14:17:51.98 00:00:00.00 HA      900_228000093612 A4    1     1
D 2019-05-02 14:17:51.38 00:00:00.00 HA      900_228000093612 A4    1     1
D 2019-05-02 14:17:54.60 00:00:00.20 HA      900_228000093612 A4    2    10
D 2019-05-02 14:18:04.06 00:00:00.00 HA      900_226000791727 A4    1    45
D 2019-05-02 14:18:04.46 00:00:00.00 HA      900_226000791727 A4    1     1
D 2019-05-02 14:18:07.69 00:00:00.00 HA      900_226000791727 A4    1    15
D 2019-05-02 14:18:07.10 00:00:00.20 HA      900_226000791727 A4    2     1
D 2019-05-02 14:18:24.71 00:00:00.61 HA      900_226000791733 A3    4   222
D 2019-05-02 14:18:28.94 00:00:00.00 HW 0000_0000000000004896 A3    1    17
D 2019-05-02 14:29:58.42 00:00:00.00 HR 0000_0000000180843403 A4    1  3525
D 2019-05-02 14:33:27.37 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-05-02 14:44:52.21 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-02 14:48:26.02 00:00:00.00 HW 0000_0000000000004896 A3    1  4461
D 2019-05-02 14:59:46.09 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-02 15:14:39.88 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-02 15:18:23.35 00:00:00.00 HW 0000_0000000000004896 A3    1  8923
D 2019-05-02 15:29:33.68 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-02 15:33:21.77 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-05-02 15:44:27.69 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-02 15:48:20.43 00:00:00.00 HW 0000_0000000000004896 A3    1  4461
D 2019-05-02 15:59:21.56 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-05-02 16:03:18.90 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-05-02 16:14:15.61 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-02 16:18:17.22 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-02 16:29:09.64 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-02 16:44:03.48 00:00:00.20 HR 0000_0000000180843403 A4    2  4437
D 2019-05-02 16:48:13.89 00:00:00.00 HW 0000_0000000000004896 A3    1  8920
D 2019-05-02 16:58:57.45 00:00:00.20 HR 0000_0000000180843403 A4    2  4437
D 2019-05-02 17:13:51.64 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-02 17:28:45.58 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-02 17:43:39.77 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-02 17:48:05.89 00:00:00.00 HW 0000_0000000000004896 A3    1 17835
D 2019-05-02 17:58:33.00 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-02 18:03:03.74 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-05-02 18:13:27.96 00:00:00.21 HR 0000_0000000180843403 A4    2  4438
D 2019-05-02 18:18:01.36 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-02 18:28:22.19 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-05-02 18:32:59.00 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-02 18:43:16.39 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-02 18:47:56.66 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-05-02 18:58:10.81 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-05-02 19:02:54.09 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-05-02 19:13:04.98 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-02 19:17:51.25 00:00:00.20 HW 0000_0000000000004896 A3    2  4454
D 2019-05-02 19:27:59.18 00:00:00.20 HR 0000_0000000180843403 A4    2  4439
D 2019-05-02 19:32:48.71 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-05-02 19:42:53.67 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-05-02 19:47:46.00 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-05-02 19:57:48.20 00:00:00.00 HR 0000_0000000180843403 A4    1  4442
D 2019-05-02 20:12:42.69 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-05-02 20:17:40.54 00:00:00.00 HW 0000_0000000000004896 A3    1  8917
D 2019-05-02 20:27:37.14 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-05-02 20:32:37.78 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-02 20:42:31.54 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-05-02 20:47:35.00 00:00:00.20 HW 0000_0000000000004896 A3    2  4459
D 2019-05-02 20:57:25.93 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-05-02 21:02:32.42 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-02 21:12:20.34 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-05-02 21:17:29.65 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-02 21:27:14.75 00:00:00.20 HR 0000_0000000180843403 A4    2  4445
D 2019-05-02 21:32:27.07 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-05-02 21:42:09.37 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-05-02 21:57:03.86 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-05-02 22:02:21.81 00:00:00.00 HW 0000_0000000000004896 A3    1  8919
D 2019-05-02 22:11:58.33 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-05-02 22:17:19.32 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-05-02 22:26:52.73 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-05-02 22:32:16.72 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-05-02 22:41:47.33 00:00:00.00 HR 0000_0000000180843403 A4    1  4446
D 2019-05-02 22:47:13.91 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-05-02 22:56:41.60 00:00:00.20 HR 0000_0000000180843403 A4    2  4443
D 2019-05-02 23:02:11.41 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-05-02 23:11:36.19 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-05-02 23:17:08.83 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-05-02 23:26:30.78 00:00:00.00 HR 0000_0000000180843403 A4    1  4446
D 2019-05-02 23:32:06.24 00:00:00.20 HW 0000_0000000000004896 A3    2  4460
D 2019-05-02 23:41:25.19 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-05-02 23:47:03.65 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-05-02 23:56:19.78 00:00:00.00 HR 0000_0000000180843403 A4    1  4446
D 2019-05-03 00:11:14.16 00:00:00.20 HR 0000_0000000180843403 A4    2  4445
D 2019-05-03 00:26:08.74 00:00:00.20 HR 0000_0000000180843403 A4    2  4445
D 2019-05-03 00:41:03.35 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
