ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.19 Tx A1 1.50 A2 0.97                 EA 0.70   12.4 V     3.3 V   13:35:08.53
Rx 0.18 Tx A1 1.48 A2 0.97                 EA 0.69   12.4 V     3.3 V   13:35:09.05
Rx 0.20 Tx A1 1.49 A2 0.96                 EA 0.70   12.4 V     3.3 V   13:35:09.56

>up
Upload #15
Reader: Downstream12  Site: Do
--------- upload 15 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2019-05-07 11:53:43.56 upload 14 complete
E 2019-05-07 11:54:15.95 supply power ok 13.3V
E 2019-05-07 11:54:15.95 database file opened
E 2019-05-07 11:54:15.95 starting reader after power up
D 2019-05-07 12:01:19.59 00:00:01.83 HA      900_228000093612 A1   10  2053
D 2019-05-07 12:01:27.72 00:00:01.64 HA      900_226000791727 A1    9    30
D 2019-05-07 12:02:05.66 00:00:02.24 HA      900_226000791733 A2   12  2280
D 2019-05-07 12:25:31.91 00:00:00.81 HA      900_228000093612 A1    5  7105
D 2019-05-07 12:25:32.53 00:00:02.40 HA      900_228000093612 A1    3     3
D 2019-05-07 12:25:38.75 00:00:00.61 HA      900_226000791727 A1    4    23
D 2019-05-07 12:25:40.57 00:00:00.81 HA      900_226000791727 A1    5     5
D 2019-05-07 12:49:54.92 00:00:00.00 HR 0000_0000000180598569 A1    1  7189
D 2019-05-07 12:49:56.76 00:00:00.20 HR 0000_0000000180598569 A1    2     8
D 2019-05-07 12:49:58.79 00:00:00.21 HR 0000_0000000180598569 A1    2     8
D 2019-05-07 12:50:31.93 00:00:00.00 HR 0000_0000000180598569 A1    1   161
D 2019-05-07 12:50:33.36 00:00:00.00 HR 0000_0000000180598569 A1    1     6
D 2019-05-07 12:50:40.07 00:00:00.00 HR 0000_0000000180598569 A1    1    32
D 2019-05-07 12:50:41.49 00:00:00.00 HR 0000_0000000180598569 A1    1     6
D 2019-05-07 12:54:54.94 00:00:00.00 HW 0000_0000000000002321 A2    1 15628
D 2019-05-07 12:55:03.28 00:00:00.00 HW 0000_0000000000002321 A2    1    40
D 2019-05-07 12:55:04.90 00:00:00.00 HW 0000_0000000000002321 A2    1     7
D 2019-05-07 12:55:07.75 00:00:00.00 HW 0000_0000000000002321 A2    1    13
D 2019-05-07 12:55:14.47 00:00:00.00 HW 0000_0000000000002321 A2    1    32
D 2019-05-07 12:55:24.63 00:00:00.00 HW 0000_0000000000002321 A2    1    49
D 2019-05-07 12:55:35.61 00:00:00.00 HW 0000_0000000000002321 A2    1    53
D 2019-05-07 12:55:35.43 00:00:00.00 HW 0000_0000000000002321 A2    1     3
D 2019-05-07 12:55:37.64 00:00:00.00 HW 0000_0000000000002321 A2    1     5
D 2019-05-07 12:56:42.30 00:00:00.00 HW 0000_0000000000002321 A2    1   317
D 2019-05-07 12:56:54.31 00:00:00.00 HW 0000_0000000000002321 A2    1    58
D 2019-05-07 12:57:23.38 00:00:00.00 HW 0000_0000000000002321 A2    1   142
D 2019-05-07 12:57:32.13 00:00:00.00 HW 0000_0000000000002321 A2    1    42
D 2019-05-07 13:05:38.41 00:00:00.00 HR 0000_0000000180598569 A1    1  4410
D 2019-05-07 13:12:30.03 00:00:00.00 HW 0000_0000000000002321 A2    1  4415
D 2019-05-07 13:20:35.05 00:00:00.00 HR 0000_0000000180598569 A1    1  4409
D 2019-05-07 13:27:28.90 00:00:00.00 HW 0000_0000000000002321 A2    1  4420
D 2019-05-07 13:35:31.51 00:00:00.00 HR 0000_0000000180598569 A1    1  4408
D 2019-05-07 13:42:28.24 00:00:00.00 HW 0000_0000000000002321 A2    1  4422
D 2019-05-07 13:50:27.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4408
D 2019-05-07 13:57:27.79 00:00:00.00 HW 0000_0000000000002321 A2    1  4423
D 2019-05-07 14:05:24.50 00:00:00.00 HR 0000_0000000180598569 A1    1  4408
D 2019-05-07 14:12:27.32 00:00:00.00 HW 0000_0000000000002321 A2    1  4423
D 2019-05-07 14:20:20.95 00:00:00.00 HR 0000_0000000180598569 A1    1  4408
D 2019-05-07 14:27:26.40 00:00:00.20 HW 0000_0000000000002321 A2    2  4421
D 2019-05-07 14:35:17.41 00:00:00.20 HR 0000_0000000180598569 A1    2  4408
D 2019-05-07 14:37:49.10 00:00:02.24 HA      900_228000093612 A1   12   744
D 2019-05-07 14:37:52.76 00:00:00.81 HA      900_228000093612 A1    5     6
D 2019-05-07 14:37:58.67 00:00:00.81 HA      900_226000791727 A1    5    24
D 2019-05-07 14:38:00.90 00:00:01.44 HA      900_226000791727 A1    8     6
D 2019-05-07 14:38:03.15 00:00:00.81 HA      900_226000791727 A1    5     3
D 2019-05-07 14:38:18.30 00:00:00.21 HA      900_226000791733 A2    2  3204
D 2019-05-07 14:38:19.33 00:00:00.40 HA      900_226000791733 A2    3     3
E 2019-05-07 14:41:55.25 supply power ok 13.2V
E 2019-05-07 14:41:55.25 database file opened
E 2019-05-07 14:41:55.25 starting reader after power up
D 2019-05-07 14:42:06.55 00:00:00.00 HA      900_226000791733 A2    1    25
D 2019-05-07 14:42:08.57 00:00:01.20 HA      900_226000791733 A2    7     9
D 2019-05-07 14:42:11.78 00:00:00.01 HA      900_226000791733 A2    6     4
D 2019-05-07 14:42:18.53 00:00:00.61 HA      900_228000093612 A1    4    86
D 2019-05-07 14:42:24.38 00:00:00.60 HA      900_226000791727 A1    4    25
D 2019-05-07 14:42:25.48 00:00:00.00 HW 0000_0000000000002321 A2    1    67
D 2019-05-07 14:50:13.86 00:00:00.00 HR 0000_0000000180598569 A1    1  2327
D 2019-05-07 14:57:24.10 00:00:00.20 HW 0000_0000000000002321 A2    2  4461
D 2019-05-07 15:05:10.40 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2019-05-07 15:12:22.84 00:00:00.00 HW 0000_0000000000002321 A2    1  4461
D 2019-05-07 15:20:06.93 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-07 15:27:21.21 00:00:00.00 HW 0000_0000000000002321 A2    1  4460
D 2019-05-07 15:35:03.48 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-07 15:42:19.37 00:00:00.00 HW 0000_0000000000002321 A2    1  4459
D 2019-05-07 15:50:00.00 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-07 15:57:17.31 00:00:00.00 HW 0000_0000000000002321 A2    1  4458
D 2019-05-07 16:04:56.53 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-07 16:12:15.05 00:00:00.00 HW 0000_0000000000002321 A2    1  4457
D 2019-05-07 16:19:52.85 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2019-05-07 16:27:12.73 00:00:00.00 HW 0000_0000000000002321 A2    1  4457
D 2019-05-07 16:34:49.56 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-05-07 16:42:10.08 00:00:00.00 HW 0000_0000000000002321 A2    1  4455
D 2019-05-07 16:49:46.08 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-07 16:57:07.19 00:00:00.00 HW 0000_0000000000002321 A2    1  4454
D 2019-05-07 17:04:42.58 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-05-07 17:12:04.09 00:00:00.00 HW 0000_0000000000002321 A2    1  4453
D 2019-05-07 17:19:39.24 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-05-07 17:27:00.73 00:00:00.00 HW 0000_0000000000002321 A2    1  4452
D 2019-05-07 17:34:35.87 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-05-07 17:41:57.56 00:00:00.00 HW 0000_0000000000002321 A2    1  4453
D 2019-05-07 17:49:32.50 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-05-07 17:56:53.98 00:00:00.00 HW 0000_0000000000002321 A2    1  4451
D 2019-05-07 18:04:28.95 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
