ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx                 A3 0.89 A4 0.91 EA 0.55   12.4 V     3.3 V   13:22:31.58
Rx 0.21 Tx                 A3 0.90 A4 0.91 EA 0.55   12.4 V     3.3 V   13:22:32.11
Rx 0.20 Tx                 A3 0.89 A4 0.91 EA 0.54   12.4 V     3.3 V   13:22:32.62

>up
Upload #15
Reader: UPSTREAM 34  Site: Up
--------- upload 15 start ---------
E 2019-05-07 12:27:17.84 upload 14 complete
E 2019-05-07 12:30:18.43 supply power ok 13.1V
E 2019-05-07 12:30:18.43 database file opened
E 2019-05-07 12:30:18.43 starting reader after power up
E 2019-05-07 12:30:48.77 parameter change: mux sequence '4'
E 2019-05-07 14:38:31.80 supply power ok 13.2V
E 2019-05-07 14:38:31.80 database file opened
E 2019-05-07 14:38:31.80 starting reader after power up
D 2019-05-07 14:41:03.23 00:00:01.12 HA      900_228000093612 A4   12  1466
D 2019-05-07 14:41:09.68 00:00:01.02 HA      900_226000791727 A4   11    52
D 2019-05-07 14:44:02.61 00:00:00.20 HR 0000_0000000180843403 A4    3  1706
D 2019-05-07 14:44:02.01 00:00:00.10 HR 0000_0000000180843403 A4    2     1
D 2019-05-07 14:44:02.41 00:00:00.10 HR 0000_0000000180843403 A4    2     2
D 2019-05-07 14:44:04.81 23:59:59.21 HR 0000_0000000180843403 A4    3     2
D 2019-05-07 14:44:04.33 00:00:00.10 HR 0000_0000000180843403 A4    2     2
D 2019-05-07 14:44:11.88 00:00:00.10 HR 0000_0000000180843403 A4    2    73
D 2019-05-07 14:44:13.19 00:00:00.10 HR 0000_0000000180843403 A4    2    11
D 2019-05-07 14:44:14.60 00:00:00.10 HR 0000_0000000180843403 A4    2    12
D 2019-05-07 14:44:15.90 00:00:00.21 HR 0000_0000000180843403 A4    3    11
D 2019-05-07 14:44:17.32 00:00:00.10 HR 0000_0000000180843403 A4    2    11
D 2019-05-07 14:59:11.16 00:00:00.10 HR 0000_0000000180843403 A4    2  8875
D 2019-05-07 15:14:05.06 00:00:00.10 HR 0000_0000000180843403 A4    2  8876
D 2019-05-07 15:28:58.88 00:00:00.10 HR 0000_0000000180843403 A4    2  8875
D 2019-05-07 15:43:52.70 00:00:00.21 HR 0000_0000000180843403 A4    3  8875
D 2019-05-07 15:58:46.63 00:00:00.20 HR 0000_0000000180843403 A4    3  8875
D 2019-05-07 16:13:40.64 00:00:00.10 HR 0000_0000000180843403 A4    2  8876
D 2019-05-07 16:28:34.49 00:00:00.20 HR 0000_0000000180843403 A4    3  8876
D 2019-05-07 16:43:28.51 00:00:00.21 HR 0000_0000000180843403 A4    3  8876
D 2019-05-07 16:58:22.63 00:00:00.10 HR 0000_0000000180843403 A4    2  8877
D 2019-05-07 17:13:16.77 00:00:00.10 HR 0000_0000000180843403 A4    2  8879
D 2019-05-07 17:28:10.80 00:00:00.21 HR 0000_0000000180843403 A4    3  8878
