ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                                 EA 0.00   12.5 V     3.3 V   14:05:06.79
Rx 0.22 Tx                         A4 0.84 EA 0.52   12.5 V     3.3 V   14:05:07.32
Rx 0.20 Tx                         A4 0.82 EA 0.50   12.5 V     3.3 V   14:05:07.83

>up
Upload #29
Reader: UPSTREAM 34  Site: Up
--------- upload 29 start ---------
E 2019-06-25 14:33:38.75 upload 28 complete
E 2019-06-25 14:37:25.81 supply power ok 12.8V
E 2019-06-25 14:37:25.81 database file opened
E 2019-06-25 14:37:25.81 starting reader after power up
D 2019-06-25 14:37:29.68 23:59:59.51 HA      900_226000791727 A4    6     1
D 2019-06-25 14:37:37.05 00:00:01.31 HA      900_228000093612 A4   14    66
D 2019-06-25 14:46:08.23 00:00:00.20 HR 0000_0000000180843403 A4    3  5064
D 2019-06-25 15:01:01.96 00:00:00.21 HR 0000_0000000180843403 A4    3  8876
D 2019-06-25 15:15:55.70 00:00:00.10 HR 0000_0000000180843403 A4    2  8876
D 2019-06-25 15:30:49.47 00:00:00.10 HR 0000_0000000180843403 A4    2  8877
D 2019-06-25 15:45:43.16 00:00:00.11 HR 0000_0000000180843403 A4    2  8876
D 2019-06-25 16:00:36.76 00:00:00.20 HR 0000_0000000180843403 A4    3  8875
D 2019-06-25 16:15:30.39 00:00:00.20 HR 0000_0000000180843403 A4    3  8874
D 2019-06-25 16:30:24.10 00:00:00.10 HR 0000_0000000180843403 A4    2  8875
D 2019-06-25 16:45:17.74 00:00:00.10 HR 0000_0000000180843403 A4    2  8876
D 2019-06-25 17:00:11.40 00:00:00.10 HR 0000_0000000180843403 A4    2  8876
D 2019-06-25 17:15:05.12 00:00:00.10 HR 0000_0000000180843403 A4    2  8876
D 2019-06-25 17:29:58.70 00:00:00.20 HR 0000_0000000180843403 A4    3  8875
D 2019-06-25 17:44:52.38 00:00:00.20 HR 0000_0000000180843403 A4    3  8875
D 2019-06-25 17:59:46.13 00:00:00.10 HR 0000_0000000180843403 A4    2  8875
D 2019-06-25 18:14:39.71 00:00:00.21 HR 0000_0000000180843403 A4    3  8874
D 2019-06-25 18:29:33.49 00:00:00.20 HR 0000_0000000180843403 A4    3  8875
D 2019-06-25 18:44:27.22 00:00:00.10 HR 0000_0000000180843403 A4    2  8875
D 2019-06-25 18:59:20.92 00:00:00.12 HR 0000_0000000180843403 A4    2  8876
D 2019-06-25 19:14:14.69 00:00:00.10 HR 0000_0000000180843403 A4    2  8876
D 2019-06-25 19:29:08.42 00:00:00.10 HR 0000_0000000180843403 A4    2  8876
D 2019-06-25 19:44:02.06 00:00:00.10 HR 0000_0000000180843403 A4    2  8875
D 2019-06-25 19:58:55.59 00:00:00.20 HR 0000_0000000180843403 A4    3  8874
D 2019-06-25 20:13:49.21 00:00:00.10 HR 0000_0000000180843403 A4    2  8874
D 2019-06-25 20:28:42.87 00:00:00.10 HR 0000_0000000180843403 A4    2  8875
