ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx                 A3 0.90         EA 0.55   12.5 V     3.3 V   13:32:36.92
Rx 0.21 Tx                 A3 0.90 A4 0.86 EA 0.54   12.4 V     3.3 V   13:32:37.45
Rx 0.21 Tx                 A3 0.90 A4 0.86 EA 0.54   12.4 V     3.3 V   13:32:37.96

>up
Upload #23
Reader: UPSTREAM 34  Site: Up
--------- upload 23 start ---------
E 2019-06-04 14:27:47.50 upload 22 complete
E 2019-06-04 15:07:53.43 supply power ok 12.8V
E 2019-06-04 15:07:53.43 database file opened
E 2019-06-04 15:07:53.43 starting reader after power up
E 2019-06-04 15:08:04.65 parameter change: mux sequence '34'
E 2019-06-04 15:12:18.70 supply power ok 12.8V
E 2019-06-04 15:12:18.70 database file opened
E 2019-06-04 15:12:18.70 starting reader after power up
D 2019-06-04 15:12:29.28 00:00:00.61 HA      900_226000791733 A3    4    34
D 2019-06-04 15:12:32.72 00:00:00.20 HA      900_226000791733 A3    2    13
D 2019-06-04 15:14:02.74 00:00:00.00 HW 0000_0000000000004896 A3    1   445
D 2019-06-04 15:14:02.15 00:00:02.61 HW 0000_0000000000004896 A3    4     1
D 2019-06-04 15:14:04.37 00:00:00.20 HW 0000_0000000000004896 A3    2     2
D 2019-06-04 15:14:05.17 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:05.97 00:00:00.00 HW 0000_0000000000004896 A3    1     3
D 2019-06-04 15:14:06.58 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:08.59 00:00:00.00 HW 0000_0000000000004896 A3    1     4
D 2019-06-04 15:14:08.19 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:08.59 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-04 15:14:08.01 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-04 15:14:09.61 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:09.02 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-04 15:14:10.42 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-04 15:14:10.02 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:10.42 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-04 15:14:12.03 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:12.43 00:00:00.20 HW 0000_0000000000004896 A3    2     1
D 2019-06-04 15:14:12.24 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:46.47 00:00:00.00 HW 0000_0000000000004896 A3    1   164
D 2019-06-04 15:14:46.87 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-04 15:14:47.48 00:00:00.40 HW 0000_0000000000004896 A3    3     2
D 2019-06-04 15:14:48.29 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-04 15:14:48.89 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:49.49 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:50.10 00:00:00.21 HW 0000_0000000000004896 A3    2     2
D 2019-06-04 15:14:50.91 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:50.32 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-04 15:14:51.92 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:51.52 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:53.92 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-04 15:14:53.53 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:53.14 00:00:00.00 HW 0000_0000000000004896 A3    1     2
D 2019-06-04 15:14:53.54 00:00:02.20 HW 0000_0000000000004896 A3    2     1
D 2019-06-04 15:14:57.97 00:00:00.00 HW 0000_0000000000004896 A3    1    15
D 2019-06-04 15:14:58.37 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-04 15:14:58.77 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-06-04 15:15:26.76 00:00:00.00 HW 0000_0000000000004896 A3    1   138
D 2019-06-04 15:15:26.17 00:00:00.00 HW 0000_0000000000004896 A3    1     1
