"species","year","nhat_med","nhat_q2.5","nhat_q97.5","nhat_q10","nhat_q90","n"
"American Shad",2013,774.475105014811,489.993816048004,1720.61364544097,579.165190823822,1176.11310935604,309
"American Shad",2014,856.358467400586,527.249892719597,4820.85543515424,600.958674405919,2227.20844758907,279
"American Shad",2015,315.608800428118,206.464251218734,732.285518816645,237.778161472044,488.844714952209,123
"American Shad",2016,102.37031257276,61.0513133529801,172.182566972124,71.8292907082751,142.520163309635,47
"American Shad",2017,2616.62744706428,1714.16469060019,4191.75608240919,1947.55792741865,3532.19945901024,1207
"American Shad",2018,1160.89296136542,567.911193384981,5634.55252421616,765.33499568521,2163.99213854672,473
"American Shad",2019,254.968418887497,144.611015791988,1731.37332923322,179.299221127025,549.776424111018,98
"American Shad",2020,1633.77404291922,798.769439688091,8529.33443583905,1072.27855447579,2992.36038659341,662
"American Shad",2021,718.252167517358,360.947005538002,3561.87667959031,479.41509184644,1306.94102310268,293
"River Herring",2013,8726.66918494178,790.693359761726,8726.66918494178,1534.04305542469,8726.66918494178,41
"River Herring",2014,26084.4163064563,2395.83686277529,26084.4163064563,4600.95890069401,26084.4163064563,120
"River Herring",2015,2120.43713671011,184.749368660457,2120.43713671011,369.95351504989,2120.43713671011,10
"River Herring",2016,23446.3557342792,2007.87164815049,23446.3557342792,4057.83633116896,23446.3557342792,114
"River Herring",2017,54446.2947022243,4518.16202842049,54446.2947022243,9505.60825782633,54446.2947022243,267
"River Herring",2018,23594.35989882,2218.65065099918,23594.35989882,4173.84157529613,23594.35989882,109
"River Herring",2019,6024.02016011348,562.071641962707,6024.02016011348,1044.45102007895,6024.02016011348,27
"River Herring",2020,2421.92619037245,94.0285317489598,2421.92619037245,399.186381811747,2421.92619037245,13
"River Herring",2021,1297.13568860338,30.3014751343671,1297.13568860338,214.258753246091,1297.13568860338,7
