"file","date","time","datetime","antenna","tag","tag_short","year"
"3_27_17 Up.TXT",2017-03-24,"20:38:21.14",2017-03-24 20:38:21.13,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Up.TXT",2017-03-24,"20:43:44.05",2017-03-24 20:43:44.04,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"20:44:03.87",2017-03-24 20:44:03.86,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"20:44:03.87",2017-03-24 20:44:03.86,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Down.TXT",2017-03-24,"20:48:07.23",2017-03-24 20:48:07.23,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"20:48:07.23",2017-03-24 20:48:07.23,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"20:53:17.65",2017-03-24 20:53:17.65,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Up.TXT",2017-03-24,"20:58:40.97",2017-03-24 20:58:40.97,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"20:58:57.37",2017-03-24 20:58:57.36,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"20:58:57.37",2017-03-24 20:58:57.36,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Down.TXT",2017-03-24,"21:03:01.57",2017-03-24 21:03:01.57,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"21:03:01.57",2017-03-24 21:03:01.57,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"21:08:14.21",2017-03-24 21:08:14.21,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Up.TXT",2017-03-24,"21:13:37.91",2017-03-24 21:13:37.90,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"21:13:51.10",2017-03-24 21:13:51.09,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"21:13:51.10",2017-03-24 21:13:51.09,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Down.TXT",2017-03-24,"21:17:55.89",2017-03-24 21:17:55.88,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"21:17:55.89",2017-03-24 21:17:55.88,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"21:23:10.53",2017-03-24 21:23:10.52,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Up.TXT",2017-03-24,"21:28:34.66",2017-03-24 21:28:34.65,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"21:28:44.45",2017-03-24 21:28:44.45,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"21:28:44.45",2017-03-24 21:28:44.45,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Down.TXT",2017-03-24,"21:32:50.27",2017-03-24 21:32:50.26,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"21:32:50.27",2017-03-24 21:32:50.26,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"21:38:06.72",2017-03-24 21:38:06.72,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Up.TXT",2017-03-24,"21:43:31.23",2017-03-24 21:43:31.23,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"21:43:38.02",2017-03-24 21:43:38.01,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"21:43:38.02",2017-03-24 21:43:38.01,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Down.TXT",2017-03-24,"21:47:44.59",2017-03-24 21:47:44.59,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"21:47:44.59",2017-03-24 21:47:44.59,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"21:53:03.04",2017-03-24 21:53:03.03,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Up.TXT",2017-03-24,"21:58:27.97",2017-03-24 21:58:27.97,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"21:58:31.34",2017-03-24 21:58:31.34,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"21:58:31.34",2017-03-24 21:58:31.34,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Down.TXT",2017-03-24,"22:02:38.92",2017-03-24 22:02:38.92,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"22:02:38.92",2017-03-24 22:02:38.92,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"22:07:59.39",2017-03-24 22:07:59.38,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Up.TXT",2017-03-24,"22:13:24.70",2017-03-24 22:13:24.70,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"22:13:24.87",2017-03-24 22:13:24.86,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"22:13:24.87",2017-03-24 22:13:24.86,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Down.TXT",2017-03-24,"22:17:33.47",2017-03-24 22:17:33.47,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-24,"22:17:33.47",2017-03-24 22:17:33.47,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-24,"22:22:55.71",2017-03-24 22:22:55.71,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-24,"22:28:18.01",2017-03-24 22:28:18.00,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-24,"22:28:18.01",2017-03-24 22:28:18.00,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-24,"22:28:21.26",2017-03-24 22:28:21.25,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-24,"22:32:28.02",2017-03-24 22:32:28.01,"A1","0000_0000000180843403","180843403","2017"
