"year","antenna","first_day_date","first_day","last_day","season_length","days_96","days_86","days_72","days_any","pct_96","pct_86","pct_72","pct_any"
2012,"A1","Apr 27",118,222,104,0,0,0,19,0,0,0,18.3
2012,"A4","Apr 27",118,222,104,49,51,52,65,47.1,49,50,62.5
2013,"A1","Apr 26",116,176,60,0,0,1,41,0,0,1.7,68.3
2013,"A4","Apr 26",116,176,60,31,32,34,44,51.7,53.3,56.7,73.3
2014,"A1","Apr 14",104,181,77,24,26,34,67,31.2,33.8,44.2,87
2014,"A4","Apr 14",104,181,77,69,69,71,74,89.6,89.6,92.2,96.1
2015,"A1","Apr 13",103,182,79,66,69,69,79,83.5,87.3,87.3,100
2015,"A2","Apr 13",103,182,79,0,0,0,22,0,0,0,27.8
2015,"A3","Apr 13",103,182,79,0,0,0,26,0,0,0,32.9
2015,"A4","Apr 13",103,182,79,56,68,69,74,70.9,86.1,87.3,93.7
2016,"A1","Apr 6",97,183,86,73,73,76,83,84.9,84.9,88.4,96.5
2016,"A2","Apr 6",97,183,86,73,74,76,83,84.9,86,88.4,96.5
2016,"A3","Apr 6",97,183,86,78,78,79,83,90.7,90.7,91.9,96.5
2016,"A4","Apr 6",97,183,86,60,72,72,79,69.8,83.7,83.7,91.9
2017,"A1","Apr 12",102,181,79,72,73,74,79,91.1,92.4,93.7,100
2017,"A2","Apr 12",102,181,79,51,74,75,79,64.6,93.7,94.9,100
2017,"A3","Apr 12",102,181,79,32,44,58,73,40.5,55.7,73.4,92.4
2017,"A4","Apr 12",102,181,79,44,74,75,79,55.7,93.7,94.9,100
2018,"A1","Apr 10",100,181,81,67,68,69,76,82.7,84,85.2,93.8
2018,"A2","Apr 10",100,181,81,56,66,67,76,69.1,81.5,82.7,93.8
2018,"A3","Apr 10",100,181,81,34,48,57,76,42,59.3,70.4,93.8
2018,"A4","Apr 10",100,181,81,37,64,65,76,45.7,79,80.2,93.8
2019,"A1","Apr 10",100,182,82,58,61,63,74,70.7,74.4,76.8,90.2
2019,"A2","Apr 10",100,182,82,53,62,65,74,64.6,75.6,79.3,90.2
2019,"A3","Apr 10",100,182,82,17,26,36,59,20.7,31.7,43.9,72
2019,"A4","Apr 10",100,182,82,41,57,59,69,50,69.5,72,84.1
