"tag_short","Common.Name","tag_time","first_ping_A1","first_ping_A4","last_ping_A1","last_ping_A4","n_A1","n_A4","Date.and.Time","Species","Photo.ID","Tag.Number","Total.Length..mm.","attraction.days","staging.days","transit.days","passage.days"
"000010987","Blueback Herring",2013-05-01 10:00:00,2012-06-25 15:44:07.36,2012-06-25 16:30:39.32,2012-06-28 10:10:28.19,2012-06-28 10:09:53.65,60,43,"5/1/2013 10:00","Alosa aestivalis","","226000010987","263",-309.761025925924,2.76829664351764,-0.000399768518077003,-306.993129050925
"000010995","Gizzard Shad",2012-05-22 13:00:00,NA,2012-06-13 13:53:05.11,NA,2012-06-13 13:53:05.11,NA,1,"5/22/2012 13:00","Dorosoma cepedianum","","226000010995","294",NA,NA,NA,22.0368648148135
"000010998","Alewife",2013-05-23 13:00:00,2012-06-18 11:21:53.00,NA,2012-06-18 11:23:41.00,NA,18,NA,"5/23/2013 13:00","Alosa pseudoharengus","","226000010998","192",-339.068136574074,0.00125,NA,NA
"000011010","Gizzard Shad",2012-05-22 13:00:00,2012-05-27 08:55:14.75,2012-05-30 06:23:41.11,2012-05-27 09:22:45.83,2012-05-30 06:23:41.11,2,1,"5/22/2012 13:00","Dorosoma cepedianum","","226000011010","435",4.8300318287037,0.0191098379619696,2.87563969907661,7.72478136574229
"000011012","Gizzard Shad",2012-05-17 12:00:00,2012-05-01 00:17:05.21,2012-05-01 00:16:45.77,2012-05-01 00:17:05.21,2012-05-01 00:17:15.76,1,2,"5/17/2012 12:00","Dorosoma cepedianum","","226000011012","165",-16.4881341435181,0,0.000122222221559948,-16.4880119212965
"000011035","Gizzard Shad",2012-05-22 13:00:00,2012-04-30 20:27:47.32,2012-04-30 20:25:26.45,2012-04-30 20:27:47.72,2012-04-30 20:27:13.59,4,5,"5/22/2012 13:00","Dorosoma cepedianum","","226000011035","360",-21.6890355324083,4.51389010305758e-06,-0.000394907408842334,-21.689425925927
"000011050","River Herring",2018-04-24 12:25:00,NA,2012-06-25 16:29:13.68,NA,2012-06-25 16:29:55.55,NA,8,"4/24/18 12:25","-","","226000011050","259",NA,NA,NA,-2128.8299125
"000011058","Blueback Herring",2012-05-14 12:15:00,2012-05-01 12:33:27.20,2012-05-01 12:33:03.33,2012-05-01 12:34:25.82,2012-05-01 12:33:03.33,11,1,"5/14/2012 12:15","Alosa aestivalis","","226000011058","146",-12.9871851851846,0.000678587961528036,-0.000954745370480749,-12.9874613425936
"000011075","Gizzard Shad",2012-05-17 12:00:00,2012-05-10 16:02:25.79,2012-05-10 16:01:48.66,2012-05-10 16:02:25.79,2012-05-10 16:01:48.66,1,1,"5/17/2012 12:00","Dorosoma cepedianum","","226000011075","162",-6.83164583333389,0,-0.000429861109565806,-6.83207569444345
"000011082","Alewife",2013-05-17 14:00:00,2012-04-30 23:38:31.34,2012-04-30 23:38:10.11,2012-05-01 00:16:08.65,2012-06-25 15:39:00.94,4,11,"5/17/2013 14:00","Alosa pseudoharengus","","226000011082","292",-381.59824826389,0.026126157409615,55.6408829861107,-325.93123912037
"166982662","Blueback Herring",2012-04-30 13:00:00,NA,2012-04-07 15:11:36.21,NA,2012-04-07 15:11:45.67,NA,8,"4/30/2012 13:00","Alosa aestivalis","","379091166982662","185",NA,NA,NA,-22.9084991898139
"166982949","Blueback Herring",2012-04-30 13:00:00,2012-05-10 17:44:31.70,2012-05-15 13:27:40.20,2012-05-15 13:12:01.48,2012-05-15 13:27:40.20,4,1,"4/30/2012 13:00","Alosa aestivalis","","379091166982949","270",10.1975891203709,4.81076134259226,0.010864814815146,15.0192152777783
"166983459","Alewife",2012-05-01 13:30:00,NA,2012-04-15 13:50:27.40,NA,2012-04-15 13:54:53.49,NA,90,"5/1/2012 13:30","Alosa pseudoharengus","","379091166983459","163",NA,NA,NA,-15.982714236111
"166983514","Blueback Herring",2012-05-07 14:00:00,NA,2012-04-15 13:55:38.26,NA,2012-04-15 13:56:51.03,NA,10,"5/7/2012 14:00","Alosa aestivalis","","379091166983514","204",NA,NA,NA,-22.0021870370375
"166984516","Blueback Herring",2012-04-30 14:30:00,NA,2012-02-22 13:09:54.29,NA,2012-02-22 13:09:54.29,NA,2,"4/30/2012 14:30","Alosa aestivalis","","379091166984516","192",NA,NA,NA,-68.0139548611117
"166985255","Gizzard Shad",2012-05-07 14:00:00,NA,2012-04-07 15:03:01.91,NA,2012-04-15 14:11:19.33,NA,20,"5/7/2012 14:00","Dorosoma cepedianum","","0379091166985255","153",NA,NA,NA,-21.9921372685195
