"detect_year","tag_short","species","tag_time","first_ping_A1","last_ping_A1","first_ping_A2","last_ping_A2","first_ping_A3","last_ping_A3","first_ping_A4","last_ping_A4","n_A1","n_A2","n_A3","n_A4","attraction.days","staging.days","transit.days","passage.days"
2012,"166987604","American Shad",2012-04-27 18:15:00,2012-05-04 19:54:32.45,2012-05-04 19:54:32.45,NA,NA,NA,NA,2012-05-05 19:52:51.45,2012-05-05 19:52:51.45,1,NA,NA,1,7.06912557870426,0,0.998831018518519,8.06795659722277
2013,"178695694","American Shad",2013-04-28 13:00:00,2013-05-03 23:32:54.17,2013-05-05 08:55:05.45,NA,NA,NA,NA,2013-05-05 09:18:37.81,2013-05-05 09:18:37.81,33,NA,NA,1,5.43951585648236,1.390408333333,0.0163468749986755,6.84627106481404
2013,"178695699","American Shad",2013-04-30 13:00:00,2013-05-01 20:31:52.91,2013-05-21 10:03:08.09,NA,NA,NA,NA,2013-05-21 10:13:13.61,2013-05-21 10:13:13.61,48,NA,NA,1,1.3138068287047,19.5633702546275,0.00700821759524169,20.8841853009275
2013,"178695701","American Shad",2013-05-06 10:00:00,2013-05-08 14:13:22.77,2013-05-11 07:56:41.95,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,2.17595810185152,2.73841631944533,NA,NA
2013,"178695689","American Shad",2013-05-17 14:00:00,2013-05-18 00:41:02.22,2013-05-18 00:41:28.83,NA,NA,NA,NA,2013-05-18 00:54:24.24,2013-05-18 00:54:24.24,3,NA,NA,1,0.445164583333664,0.000308101850527304,0.00897453703814083,0.454447222222333
2014,"178695685","American Shad",2014-04-22 09:00:00,NA,NA,NA,NA,NA,NA,2014-05-09 15:15:13.86,2014-05-09 15:15:13.86,NA,NA,NA,1,NA,NA,NA,17.2605771990727
2015,"181177682","American Shad",2015-04-27 11:00:00,2015-05-07 00:32:50.96,2015-05-07 00:59:22.80,2015-05-07 00:59:46.26,2015-05-07 00:59:48.69,2015-05-07 01:05:53.06,2015-05-07 01:05:53.06,2015-05-07 01:07:43.72,2015-05-07 01:07:43.72,4,2,1,1,9.56447870370414,0.018424189813711,0.00579756944543785,9.58870046296329
2015,"181177683","American Shad",2015-04-27 11:00:00,2015-05-08 07:54:57.63,2015-05-08 07:55:10.92,2015-05-08 07:55:33.38,2015-05-08 07:55:33.38,2015-05-08 08:06:54.05,2015-05-08 08:06:54.05,2015-05-08 08:07:39.86,2015-05-08 08:07:39.86,3,1,1,1,10.8715003472235,0.000153819444002929,0.0086684027755702,10.8803225694431
2015,"000008997","American Shad",2015-05-15 11:00:00,2015-05-15 19:50:25.25,2015-05-15 19:50:25.25,2015-05-15 19:50:30.40,2015-05-15 19:50:30.40,2015-05-15 19:56:37.08,2015-05-15 19:56:37.08,2015-05-15 19:56:57.73,2015-05-15 19:56:57.73,1,1,1,1,0.368347916666556,0,0.00454247685218299,0.372890393518739
2015,"000008996","American Shad",2015-05-15 13:00:00,2015-05-15 19:31:30.57,2015-05-16 05:31:47.33,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,0.27188171296208,0.416860648148038,NA,NA
