"species","year","daytime","n","pday"
"American Shad",2013,0,87,0.281553398058252
"American Shad",2013,1,222,0.718446601941748
"American Shad",2014,0,28,0.100358422939068
"American Shad",2014,1,251,0.899641577060932
"American Shad",2015,0,15,0.121951219512195
"American Shad",2015,1,108,0.878048780487805
"American Shad",2016,0,9,0.191489361702128
"American Shad",2016,1,38,0.808510638297872
"American Shad",2017,0,156,0.129246064623032
"American Shad",2017,1,1051,0.870753935376968
"American Shad",2018,0,55,0.122494432071269
"American Shad",2018,1,394,0.87750556792873
"American Shad",2019,0,7,0.0714285714285714
"American Shad",2019,1,91,0.928571428571429
"River Herring spp.",2013,0,9,0.219512195121951
"River Herring spp.",2013,1,32,0.780487804878049
"River Herring spp.",2014,0,19,0.158333333333333
"River Herring spp.",2014,1,101,0.841666666666667
"River Herring spp.",2015,0,1,0.1
"River Herring spp.",2015,1,9,0.9
"River Herring spp.",2016,0,22,0.372881355932203
"River Herring spp.",2016,1,37,0.627118644067797
"River Herring spp.",2017,0,22,0.0823970037453183
"River Herring spp.",2017,1,245,0.917602996254682
"River Herring spp.",2018,0,55,0.264423076923077
"River Herring spp.",2018,1,153,0.735576923076923
"River Herring spp.",2019,0,6,0.222222222222222
"River Herring spp.",2019,1,21,0.777777777777778
